"Table 1-7:  Number of Stations Served by Amtrak and Rail Transit, Fiscal Year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996 ,1997,1998,1999 ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Amtrak,510,503,491,487,498,504,516,523,524,535,540,530,542,516,508,510,515,512,515,514,529,531,510,508,510,511,512,511,512,516,518
Rail transit,"1,822","1,895","1,920","2,164","2,027","2,143","2,169","2,192","2,240","2,286","2,376","2,382","2,325","2,391","2,524","2,567","2,595","2,621","2,784","2,797","2,909","2,946","2,985","2,997","3,027","3,101","3,124","3,165","3,216","3,227","3,355"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rail transit is the sum of Alaska Railroad, Commuter Rail, Heavy Rail, and Light Rail. In several large urban areas, Amtrak and commuter rail stations are shared. Starting in 2001, stations serving the Alaska Railroad are included in the rail transit total. Stations serve for Street Car and Hybrid Rail are included in the rail transit total from 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rail transit data for 2002 and later years include both directly operated and purchased transit services. Prior to 2002, data include directly operated services only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amtrak:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1984-98: Amtrak, Amtrak Annual Report, Statistical Appendix (Washington, DC: Annual Issues).  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1999-2009: Amtrak,  Annual Report (Washington, DC: Annual Issues), p. 67 and similar pages in previous editions, available at http://www.amtrak.com/servlet/ContentServer?c=Page&pagename=am%2FLayout&cid=1241245669222 as of Nov. 2, 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2010-14: Amtrak, personal communication, Nov. 14, 2012, and Nov. 17, 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rail transit:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Transportation, Federal Transit Administration, National Transit Database (Washington, DC: Annual Issues), table 21, and similar table in earlier editions, available at http://www.ntdprogram.gov/ntdprogram/data.htm as of Feb. 23, 2016. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
