Table 1-13:  Active U.S. Air Carrier and General Aviation Fleet by Type of Aircraft (Number of carriers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AIR CARRIERa,"2,125","2,679","2,495","3,805","4,678","6,083","6,054","7,320","7,297","7,370","6,865","7,077","7,043","7,451","7,859","7,826","7,746","7,673","7,564","7,764","7,686","7,637","7,732","7,337","7,169","7,185","7,168","6,914","(R) 6,736","(R) 6,754","6,871"
"Fixed Wing, total","2,104","2,663","2,488","3,803","4,673","6,072","6,048","7,187","7,173","7,242","7,293","7,357","7,482","7,994","8,106","8,010","8,370","8,161","8,144","8,150","8,182","8,042","7,998","7,808",U,U,U,U,U,U,U
"Turbojet, total",725,"2,136","2,114","2,526","3,164","4,148","4,167","4,446","4,584","4,636","4,832","4,922","5,108","5,411","5,630","5,956","6,296","6,383","6,523","6,691","6,839","6,784","6,784","6,670",U,U,U,U,U,U,U
Four engine,511,931,602,436,322,432,410,389,410,420,435,440,450,447,441,432,419,365,337,305,310,272,263,237,U,U,U,U,U,U,U
Three engine,173,659,994,"1,347","1,488","1,438","1,376","1,381","1,292","1,236","1,210","1,212","1,224","1,238","1,181","1,061",996,790,602,519,540,523,416,373,U,U,U,U,U,U,U
Two engine,41,546,518,743,"1,354","2,278","2,381","2,676","2,882","2,980","3,187","3,270","3,434","3,726","4,008","4,463","4,881","5,228","5,584","5,867","5,989","5,989","6,105","6,060",U,U,U,U,U,U,U
"Turboprop, total",312,374,260,682,"1,073","1,595","1,598","1,894","1,868","1,782","1,713","1,696","1,646","1,832","1,788","1,469","1,494","1,250","1,123",989,889,803,761,701,U,U,U,U,U,U,U
Four engine,215,110,68,92,108,88,75,107,102,87,81,56,45,39,28,29,24,17,16,17,7,7,7,7,U,U,U,U,U,U,U
Two engine,89,259,192,590,965,"1,507","1,523","1,787","1,751","1,695","1,632","1,635","1,596","1,789","1,759","1,440","1,470","1,233","1,107",968,880,791,750,685,U,U,U,U,U,U,U
One engine,8,5,U,U,U,U,U,U,15,0,0,5,5,4,1,0,0,0,0,4,2,5,4,9,U,U,U,U,U,U,U
"Piston, total","1,067",153,114,595,436,329,283,847,721,824,748,739,728,751,688,585,580,528,498,470,454,455,453,437,U,U,U,U,U,U,U
Four engine,447,34,37,73,38,31,26,20,22,19,15,18,19,17,19,17,16,12,13,20,20,18,18,18,U,U,U,U,U,U,U
Three engine,590,110,69,U,4,6,5,5,0,5,1,7,4,3,3,3,3,3,3,2,2,14,15,14,U,U,U,U,U,U,U
Two engine,30,9,8,522,394,292,252,415,293,335,333,317,298,391,292,255,173,154,143,125,126,184,181,176,U,U,U,U,U,U,U
One engine,U,U,U,U,U,U,U,407,406,465,399,397,407,340,374,310,388,359,339,323,306,239,239,229,U,U,U,U,U,U,U
Helicopter,21,16,7,2,5,11,6,133,124,128,118,121,134,117,122,39,127,33,32,36,43,47,46,48,U,U,U,U,U,U,U
GENERAL AVIATION (GENERAL FLEET)b,"95,442","161,743","168,475","211,043","196,500","198,000","196,874","185,650","177,120","172,935","188,089","191,129","192,414","204,710","219,464","217,533","211,446","211,244","209,708","219,426","224,352","221,943","231,607","228,663","223,877","223,370","220,453","209,034","199,927","204,408","210,030"
"Fixed Wing, totalc","93,130","127,934","161,570","200,094","184,700","184,500","182,585","171,671","156,936","150,158","162,342","163,691","166,854","175,203","184,723","183,276","177,697","176,283","176,624","182,867","185,373","182,186","186,806","182,961","177,446","176,272","173,755","165,257","158,911","161,321","164,293"
"Turbojet, total",U,950,"1,776","2,992","4,100","4,100","4,126","4,004","3,663","3,914","4,559","4,424","5,178","6,066","7,120","7,001","7,787","8,355","7,997","9,298","9,823","10,379","10,385","11,042","11,268","11,484","11,650","11,793","11,637","12,362","13,440"
Two engined,U,822,"1,742","2,551","3,600","3,700","3,863","3,738","3,426","3,652","4,071","4,077","4,638","5,513","6,387","6,215","5,643","7,655","7,465","8,649","9,097","10,379",U,U,U,U,U,U,U,U,U
Othere,U,128,34,441,50,400,263,266,237,262,488,347,539,552,733,786,831,701,532,650,727,U,U,U,U,U,U,U,U,U,U
"Turboprop, total",U,"1,458","2,519","4,089","5,000","5,300","4,941","4,786","4,117","4,093","4,995","5,716","5,618","6,174","5,679","5,762","6,596","6,841","7,689","8,379","7,942","8,063","9,514","8,906","9,055","9,369","9,523","10,304","9,619","9,777","9,712"
