Table 1-14:  U.S. Automobile and Truck Fleets by Use (Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001e,2002e,2003e,2004e,2005e,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
TOTAL automobiles and trucks in fleets,U,U,U,U,U,"15,257","15,570","15,869","16,879","15,530","15,196","13,642","11,985","12,128","11,884","12,274","12,538","12,132","11,211","10,865","11,550","11,777","11,744","11,876","12,424","12,276"
"Automobiles in fleets, total",U,U,U,U,U,"9,042","9,124","9,225","9,550","7,742","7,346","6,640","5,600","5,647","5,514","5,621","5,662","5,441","4,882","4,804","5,291","5,484","5,413","5,384","5,603","5,772"
Automobiles in fleets of 15 or more (10 or more cars for 1999-2001 and 15 or more cars for 2002-15)a,,,,,,,,,,,,,,,,,,,,,,,,,,
Businessb,"2,889","2,628","2,492","1,751","1,722","1,326","1,295","1,188","1,159","3,195","2,950","2,620",930,929,873,877,927,891,791,741,804,835,728,689,659,685
Governmentc,538,504,516,401,428,"1,214","1,209","1,218","1,030",885,883,734,"1,360","1,420","1,200","1,200","1,237","1,263","1,299","1,352","1,330","1,240","1,290","1,245","1,325","1,340"
Utilities,551,544,548,386,382,376,376,377,359,320,317,U f,U f,U f,U f,U f,U f,U f,U f,U f,U f,U f,U f,U f,U f,U f
Police,249,250,264,264,266,269,274,280,289,302,306,312,317,317,402,412,414,420,432,417,424,408,416,430,441,441
Taxi (includes vans),141,141,140,140,141,139,130,181,190,135,136,142,148,148,156,162,169,172,175,159,155,148,155,159,155,135
Rental (includes vans and SUVs),990,"1,160","1,448","1,501","1,473","1,518","1,590","1,608","1,602","1,733","1,581","1,542","1,555","1,520","1,570","1,620","1,595","1,440","1,289","1,175","1,553","1,745","1,850","1,920","2,040","2,156"
Automobiles in fleets of 4 to 14 (4 to 9 cars for 1999-2001 and 5 to 14 cars for 2002-15)a,U,U,U,U,U,"4,200","4,250","4,373","4,921","1,172","1,173","1,290","1,290","1,313","1,313","1,350","1,320","1,255",896,960,"1,025","1,108",975,941,983,"1,015"
"Trucks in fleets, total",U,U,U,U,U,"6,215","6,446","6,644","7,329","7,788","7,850","7,002","6,385","6,481","6,370","6,653","6,876","6,691","6,329","6,061","6,259","6,293","6,331","6,492","6,822","6,504"
Trucks in fleets of 15 or more (10 or more trucks for 1999-2001 and 15 or more trucks for 2002-15)a,,,,,,,,,,,,,,,,,,,,,,,,,,
Businessd,U,U,"1,080","1,378","1,375","1,205","1,275","1,332","1,360","3,016","3,026","2,820","2,180","2,181","2,337","2,370","2,411","2,306","2,224","1,999","2,136","2,237","2,187","2,136","2,232","2,340"
Governmentc,U,U,297,632,646,"2,221","2,215","2,223","2,010","2,400","2,408","2,052","2,070","2,102","1,615","1,615","1,673","1,704","1,701","1,751","1,684","1,512","1,560","1,632","1,727","1,810"
Utilities,U,U,593,493,487,480,482,483,459,499,498,U f,U f,U f,U f,U f,U f,U f,U f,U f,U f,U f,U f,U f,U f,U f
"Other (police, taxi, etc.)",U,U,7,7,7,7,7,7,8,8,8,9,9,9,26,37,49,46,59,55,58,62,67,75,77,77
Rental trucks (not including vans and SUVs),U,U,304,308,363,202,197,179,181,213,248,246,251,289,492,521,540,490,381,380,391,417,465,480,535,582
Trucks in fleets of 4 to 14 (4 to 9 trucks for 1999-2001 and 5 to 14 trucks from 2002-15)a,U,U,U,U,U,"2,100","2,270","2,420","3,311","1,652","1,662","1,875","1,875","1,900","1,900","2,110","2,203","2,145","1,964","1,875","1,990","2,065","2,053","2,169","2,250","1,694"
KEY:  SUV = sport utility vehicle; U = data are not available.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"a The data source, Bobit Publishing, changed data collection categories in 1999 and again in 2002. ",,,,,,,,,,,,,,,,,,,,,,,,,,
b  Includes driver schools.,,,,,,,,,,,,,,,,,,,,,,,,,,
"c  Includes military vehicles and federal, state, county, and local government vehicles.",,,,,,,,,,,,,,,,,,,,,,,,,,
"d  Businesses with Class 1-5 trucks may include leasing, construction, plumbing, heating, food distribution, pest control, cable TV, etc. ",,,,,,,,,,,,,,,,,,,,,,,,,,
e 2001-2015 data do not include employee-owned fleet information as the source has stopped publishing the data.,,,,,,,,,,,,,,,,,,,,,,,,,,
f Business and utility data have been combined in the 2002 to 2013 issues of the Automotive Fleet Fact Book.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bobit Publishing Co., Automotive Fleet Fact Book, annual issues, available at http://www.automotive-fleet.com/statistics/?prestitial=1 as of Jan. 1, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
