Table 1-16:  Retaila New Passenger Car Sales (Thousands of units),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Total new passenger car sales,"8,400","8,624","8,949","10,979","9,303","8,185","8,213","8,518","8,991","8,620","8,479","8,217","8,085","8,638","8,778","8,352","8,042","7,556","7,483","7,660","7,762","7,562","6,769","5,402","5,636","6,090","7,244","7,585","(R) 7,689","7,525"
Domesticb,"7,119","7,053","6,580","8,205","6,919","6,162","6,286","6,742","7,255","7,114","7,206","6,862","6,705","6,919","6,762","6,254","5,817","5,473","5,333","5,473","5,417","5,197","4,491","3,558","3,791","4,143","5,119","5,433","(R) 5,591","5,611"
Imports,"1,280","1,572","2,369","2,775","2,384","2,023","1,927","1,776","1,735","1,506","1,272","1,355","1,380","1,719","2,016","2,098","2,226","2,083","2,149","2,187","2,345","2,365","2,278","1,843","1,844","1,947","2,125","2,153","2,098","1,914"
Japan,313,808,"1,894","2,171","1,719","1,500","1,452","1,328","1,239",982,727,726,691,758,863,837,930,830,810,923,"1,154","1,183","1,142",829,799,806,905,897,820,731
Germany,750,493,292,408,263,193,201,186,192,207,237,297,367,467,517,523,547,544,542,534,575,582,507,407,482,522,545,566,546,468
Other,217,271,184,196,402,330,275,262,303,317,308,332,322,494,637,738,749,709,797,729,616,600,630,606,563,619,676,690,733,714
KEY: R = revised.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Retail new car sales include both sales to individuals and to corporate fleets. It also includes leased cars.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b Includes cars produced in Canada and Mexico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add to totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970: American Automobile Manufacturers Association, Motor Vehicle Facts & Figures 1992 (Detroit, MI: 1992), p. 16.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980-2015: WardsAuto.com, Motor Vehicle Facts & Figures (Southfield, MI: Annual Issues), pp. 17, 21, and similar pages in earlier editions..",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
