Table 1-19:  Sales of Hybrid Vehicles in the United States,,,,,,,,,,,,,,,,
,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010(R),2011(R),2012(R),2013,2014
Total U.S. salesa of hybrid vehicles,17,"9,350","20,282","22,335","47,566","84,199","205,828","253,518","352,862","315,688","290,740","274,431","269,178","470,383","547,097","507,272"
Domesticb,0,0,0,0,0,"2,993","15,960","24,198","77,629","86,082","81,882","64,893","52,356","140,126","210,413","206,030"
Imports,17,"9,350","20,282","22,335","47,566","81,206","189,868","229,320","275,233","229,606","208,858","209,538","216,822","330,257","336,684","301,242"
KEY: R = revised.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
a Sales includes leased vehicles and fleet sales.,,,,,,,,,,,,,,,,
b Includes cars produced in Canada and Mexico.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,
The first domestic hybrid vehicle was not introduced in the U.S. market until 2004. A hybrid vehicle is a vehicle powered by a combination of battery-electric motor(s) and an internal combustion engine.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,
"WardsAuto.com, Ward's Automotive Group, personal communications, Jan. 18, 2012, Jan. 23, 2013, and Feb. 25, 2015",,,,,,,,,,,,,,,,
