"Table 1-20:  Productions, Production Shares, and Production-Weighted Fuel Economies of New Domestic and Imported Automobiles (Thousands of vehicles)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,(R) 2012,(R) 2013,(R) 2014,2015,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL productions,"11,306","14,460","12,615","12,573","12,172","13,211","14,125","15,145","13,144","14,458","14,456","15,215","16,571","15,605","16,115","15,773","15,709","15,892","15,104","15,276","13,898","9,316","(R) 11,116","(R) 12,018","13,448","15,198","15,512",U,,,,,,,,,,,,,,,,,,,,,,,,,,
Car,"9,443","10,791","8,810","8,524","8,108","8,456","8,415","9,396","7,890","8,334","7,971","8,376","9,125","8,405","8,301","7,921","7,537","8,027","7,993","8,082","7,319","5,636","(R) 6,061","(R) 5,743","7,392","8,226","7,639",U,,,,,,,,,,,,,,,,,,,,,,,,,,
Car SUV,0,88,65,224,243,473,332,220,287,361,454,488,617,743,603,575,639,813,751,919,924,608,915,"1,207","1,265","1,514","1,566",U,,,,,,,,,,,,,,,,,,,,,,,,,,
Pickup,"1,437","2,078","1,835","1,920","1,840","2,002","2,669","2,271","1,955","2,408","2,415","2,544","2,612","2,519","2,380","2,474","2,505","2,300","2,188","2,113","1,794",989,"1,276","1,479","1,357","1,577","1,929",U,,,,,,,,,,,,,,,,,,,,,,,,,,
Van,242,855,"1,262","1,034","1,221","1,441","1,418","1,662","1,409","1,265","1,489","1,463","1,691","1,232","1,243","1,232",953,"1,481","1,166",847,790,368,559,521,661,571,672,U,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck SUV,184,648,643,871,761,838,"1,291","1,596","1,603","2,089","2,127","2,342","2,526","2,707","3,588","3,571","4,075","3,272","3,006","3,314","3,072","(R) 1,714","2,305","3,069","2,771","3,310","3,706",U,,,,,,,,,,,,,,,,,,,,,,,,,,
"Market share, percent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car,83.5,74.6,69.8,67.8,66.6,64.0,59.6,62.0,60.0,57.6,55.1,55.1,55.1,53.9,51.5,50.2,48.0,50.5,52.9,52.9,52.7,60.5,54.5,(R) 47.8,55.0,54.1,49.2,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Car SUV,0.0,0.6,0.5,1.8,2.0,3.6,2.3,1.5,2.2,2.5,3.1,3.2,3.7,4.8,3.7,3.6,4.1,5.1,5.0,6.0,6.6,6.5,8.2,(R) 10.0,9.4,10.0,10.1,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Pickup,12.7,14.4,14.5,15.3,15.1,15.2,18.9,15.0,14.9,16.7,16.7,16.7,15.8,16.1,14.8,15.7,15.9,14.5,14.5,13.8,12.9,10.6,11.5,12.3,10.1,10.4,12.4,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,
