Table 1-28: Condition of U.S. Highway Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992  ,1993  ,1994  ,1995  ,1996  ,1997  ,1998  ,1999  ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,
TOTAL all bridges,"572,205","574,036","572,197","573,716","576,460","581,135","581,863","582,751","582,976","585,542","587,135","589,673","590,868","591,922","593,812","595,362","597,339","599,765","601,396","603,259","604,460","605,087","607,378","607,708","610,749","611,845",,
Urban,"108,770","112,363","115,312","117,488","121,141","122,537","124,950","127,633","128,312","130,339","131,778","133,397","135,339","135,415","137,598","142,408","146,041","151,171","153,407","156,305","157,571","158,864","160,605","163,220","166,292","168,753",,
Rural,"463,435","461,673","456,885","456,228","455,319","458,598","456,913","455,118","454,664","455,203","455,357","456,276","455,529","456,507","456,214","452,954","451,298","448,594","447,989","446,954","446,889","446,223","446,773","444,488","444,457","443,092",,
"Structurally deficient bridges, total","137,865","134,534","118,698","111,980","107,683","104,317","101,518","98,475","93,072","88,150","89,415","86,107","83,992","82,244","79,949","77,835","75,401","74,056","72,870","72,397","70,427","68,755","66,749","63,510","61,365","58,791",,
Urban,"16,847","17,032","16,323","15,932","15,692","15,205","15,094","14,846","14,073","12,967","13,442","13,060","12,885","12,670","12,540","12,944","12,884","13,291","13,244","13,135","12,736","12,271","11,967","11,470","11,093","10,660",,
Rural,"121,018","117,502","102,375","96,048","91,991","89,112","86,424","83,629","78,999","75,183","75,973","73,047","71,107","69,574","67,409","64,891","62,517","60,765","59,626","59,262","57,691","56,484","54,782","52,040","50,272","48,131",,
"Functionally obsolete bridges, total","100,355","97,593","80,393","80,000","79,832","80,950","81,208","77,410","79,500","81,900","91,132","91,309","90,775","90,296","90,062","89,989","89,564","89,066","89,175","87,455","85,857","84,832","84,748","84,344","84,525","84,124",,
Urban,"30,266","30,842","26,243","26,511","27,024","27,487","28,087","26,865","27,588","29,065","33,214","33,475","33,691","33,952","34,497","35,711","36,546","37,654","38,228","38,295","38,067","38,231","38,491","38,832","39,215","39,476",,
Rural,"70,089","66,751","54,150","53,489","52,808","53,463","53,121","50,545","51,912","52,835","57,918","57,834","57,084","56,344","55,565","54,278","53,018","51,412","50,947","49,160","47,790","46,601","46,257","45,512","45,310","44,648",,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For the data for 2000 -15, Deficiency (Structurally Deficient, SD, and Functionally Obsolete, FO) are defined in http://www.fhwa.dot.gov/bridge/0650dsup.cfm (Note: Bridges with a Year Built or Year Reconstructed within the past 10 years will not be assigned a deficient status.) Therefore, when referring to the deficiency being calculated not using the 10-yr rule, the status will be calculated without taking into consideration the year built or the year reconstructed. A text definition of SD and FO can be found in the Bridge Conditions section of Chapter 3 of the latest ""Status of the Nation's Highways, Bridges, and Transit: Conditions & Performance, Report to Congress"" http://www.fhwa.dot.gov/policy/2010cpr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Explanations for the terms Structurally Deficient and Functionally Obsolete for years before 2000 can be found on pages 14 and 15 in Chapter 3 of the Federal Highway Administration, 2006 Conditions and Performance Report, available at http://www.fhwa.dot.gov/policy/2006cpr/pdfs/chap3.pdf.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. totals include the 50 states, the District of Columbia, and Puerto Rico.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table includes: Rural–Interstate, principal arterial, minor arterial, major collector, minor collector and local roads; Urban–Interstate, other freeways or expressways, other principal arterial, minor arterial, collector, and local roads. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1990, 1992, 1997-99, 2000, and 2001-15 are as of December of those years; data for 1991 and 1994-96 are as of June of those years; data for 1993 are as of September of that year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
