Table 1-32:  Class I Railroad Locomotive Fleet by Year Built (Locomotive Units),,,,,,,,,,,,,,,,,,,,,,,,,
Year builta,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Total,"18,835","18,344","18,004","18,161","18,505","18,812","19,269","19,684","20,261","20,256","20,028","19,745","20,506","20,774","22,015","22,779","23,732","24,143","24,003","24,045","23,893","24,250","24,707","25,033","25,916"
Before 1970,"5,117","4,353","4,038","3,766","3,535",b,b,b,b,b,f,f,f,f,f,j,j,j,j,j,n,n,n,n,n
1970-74,"3,852","3,617","3,384","3,248","3,184","c 6,048","c 5,783","c 5,529","c 5,565",c 5196,f,f,f,f,f,j,j,j,j,j,n,n,n,n,n
1975-79,"4,432","4,375","4,292","4,352","4,275","4,254","4,274","4,219","4,116","4,000","g 8,541","g 7,862","g 7,133","g 6,889","g 7,056",j,j,j,j,j,n,n,n,n,n
1980-84,"2,837","2,826","2,784","2,730","2,625","2,754","2,735","2,728","2,723","2,581","2,411","2,153","1,790","1,655","1,585","k 8,705","k 8,237","k 7,907","k 7,297","k 7,054",n,n,n,n,n
1985-89,"1,989","1,985","1,970","1,968","1,971","1,890","1,866","1,829","1,830","1,779","1,775","1,672","1,807","1,791","1,799","1,786","1,735","1,695","1,604","1,558","o 8,420","o 8,304","o 8,145","o 7,901","o 7,737"
1990,608,605,604,604,599,"d 2,965","d 2,959","d 2,958","d 2,736","d 2,688","d 2,648","d 2,667","d 2,702","d 2,700","d 2,715","d 2,783","d 2,740","d 2,718","d 2,494","d 2,464","d 2,384","d 2,365","d 2,368","d 2,363","d 2,259"
1991,,583,595,595,594,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
1992,,,337,340,339,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
1993,,,,558,602,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
1994,,,,,781,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
1995,,,,,,901,945,983,953,951,973,"h 4,020","h 4,582","h 4,673","h 4,672","h 4,348","h 4,535","h 4,300","h 4,146","h 4,173","h 4,467","h 4,461","h 4,411","h 4,382","h 4,458"
1996,,,,,,,707,696,708,706,697,i,i,i,i,i,i,i,i,i,i,i,i,i,i
1997,,,,,,,,742,741,743,745,i,i,i,i,i,i,i,i,i,i,i,i,i,i
1998,,,,,,,,,889,890,890,i,i,i,i,i,i,i,i,i,i,i,i,i,i
1999,,,,,,,,,,722,713,i,i,i,i,i,i,i,i,i,i,i,i,i,i
2000,,,,,,,,,,,635,691,987,863,863,"l 4,350","l 4,673","l 4,618","l 4,777","l 4,650","l 4,265","l 4,268","l 4,262","l 4,258","l 4,267"
2001,,,,,,,,,,,,680,810,891,891,m,m,m,m,m,m,m,m,m,m
2002,,,,,,,,,,,,,695,725,722,m,m,m,m,m,m,m,m,m,m
2003,,,,,,,,,,,,,,587,591,m,m,m,m,m,m,m,m,m,m
2004,,,,,,,,,,,,,,,"1,121",m,m,m,m,m,m,m,m,m,m
2005,,,,,,,,,,,,,,,,807,881,876,876,875,"p 4,098","p 4,091","p 4,087","p 4,039","p 4,028"
2006,,,,,,,,,,,,,,,,,931,"1,097","1,145","1,122",q,q,q,q,q
2007,,,,,,,,,,,,,,,,,,932,907,911,q,q,q,q,q
2008,,,,,,,,,,,,,,,,,,,757,777,q,q,q,q,q
2009,,,,,,,,,,,,,,,,,,,,461,q,q,q,q,q
2010,,,,,,,,,,,,,,,,,,,,,259,256,256,253,252
2011,,,,,,,,,,,,,,,,,,,,,,503,498,495,495
2012,,,,,,,,,,,,,,,,,,,,,,,683,693,692
2013,,,,,,,,,,,,,,,,,,,,,,,,649,688
2014,,,,,,,,,,,,,,,,,,,,,,,,,"1,040"
a Disregards year of rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,
b Included in 1970-74 category.,,,,,,,,,,,,,,,,,,,,,,,,,
c Includes all locomotives built before 1975.,,,,,,,,,,,,,,,,,,,,,,,,,
d Includes locomotives built between 1990-94.,,,,,,,,,,,,,,,,,,,,,,,,,
e Included in 1990 category.,,,,,,,,,,,,,,,,,,,,,,,,,
f Included in 1975-79 category.,,,,,,,,,,,,,,,,,,,,,,,,,
g Includes all locomotives built before 1980.,,,,,,,,,,,,,,,,,,,,,,,,,
h Includes locomotives built between 1995-99.,,,,,,,,,,,,,,,,,,,,,,,,,
i Included in 1995 category.,,,,,,,,,,,,,,,,,,,,,,,,,
j Included in 1980-84 category.,,,,,,,,,,,,,,,,,,,,,,,,,
k Includes all locomotives built before 1985.,,,,,,,,,,,,,,,,,,,,,,,,,
l Includes locomotives built between 2000-04.,,,,,,,,,,,,,,,,,,,,,,,,,
m Included in 2000 category.,,,,,,,,,,,,,,,,,,,,,,,,,
n Included in 1990 category.,,,,,,,,,,,,,,,,,,,,,,,,,
o Includes all locomotives built before 1990.,,,,,,,,,,,,,,,,,,,,,,,,,
p Includes locomotives built between 2005-09.,,,,,,,,,,,,,,,,,,,,,,,,,
q Included in 2005 category.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,
"Association of American Railroads, Railroad Facts (Washington, DC: Annual Issues) p. 52 and similar pages in earlier editions.",,,,,,,,,,,,,,,,,,,,,,,,,
