Table 1-34:  U.S. Flag Vessels by Type and Age (Number of vessels),,,,,,,,,,,,,,,,,,
,Vessel type,,,,,,,,,,Vessel type,,,,,,,
Agea,Dry cargo,Tanker,Towboat,Passenger,Offshore support / crewboatsb,Dry barge,Tank / liquid bargec,Total,,Agea,Dry cargo,Tanker,Towboat,Passenger,Offshore support / crewboatsb,Dry barge,Tank / liquid bargec,Total
"1990–91, total",900,257,"5,210",721,"1,168","27,110","3,874","39,342",,"2003, total",969,104,"5,172",789,"1,609","27,304","4,031","39,983"
<6,80,6,132,151,85,"2,335",162,"2,951",,<6,114,9,362,69,314,"4,909",604,"6,381"
6–10,161,38,706,120,318,"4,570",316,"6,229",,6–10,93,7,217,89,126,"4,155",396,"5,085"
11–15,212,50,"1,029",110,474,"7,639",829,"10,343",,11–15,110,3,148,122,93,"2,976",260,"3,712"
16–20,141,35,844,80,144,"6,374",750,"8,368",,16–20,127,15,198,133,111,"1,054",71,"1,709"
21–25,82,38,750,65,84,"2,607",759,"4,385",,21–25,168,32,"1,135",84,584,"7,135",774,"9,912"
>25,196,86,"1,718",188,51,"3,372","1,049","6,660",,>25,354,38,"3,105",287,378,"6,884","1,923","12,972"
"1992, total",497,249,"5,203","1,201","1,205","26,981","3,864","39,313",,"2004, total",987,103,"5,314",834,"1,746","27,227","4,069","40,290"
<6,36,5,134,219,93,"3,224",296,"4,012",,<6,126,11,367,72,279,"4,556",676,"6,087"
6–10,73,28,398,198,208,"1,783",121,"2,829",,6–10,112,10,272,97,198,"4,840",453,"5,983"
11–15,135,54,"1,137",203,567,"9,114",902,"12,150",,11–15,95,3,166,119,109,"3,057",296,"3,846"
16–20,73,33,926,169,189,"6,696",740,"8,853",,16–20,132,8,157,144,64,"1,169",35,"1,709"
21–25,31,42,716,122,91,"2,475",677,"4,167",,21–25,130,31,"1,083",92,580,"6,240",639,"8,795"
>25,124,82,"1,874",287,53,"3,496","1,123","7,049",,>25,390,40,"3,262",308,512,"7,152","1,970","13,642"
"1993, total",470,205,"5,219","1,243","1,197","26,982","3,970","39,306",,"2005, total",969,100,"5,290",841,"1,768","27,901","4,151","41,028"
<6,25,3,135,207,103,"3,558",325,"4,356",,<6,115,11,336,62,244,"4,140",743,"5,651"
6–10,67,22,205,221,107,"1,070",68,"1,764",,6–10,106,13,321,96,262,"5,611",512,"6,921"
11–15,135,43,"1,221",211,597,"8,810",869,"11,894",,11–15,74,4,157,114,107,"3,120",333,"3,911"
16–20,70,33,968,164,218,"6,772",791,"9,019",,16–20,137,3,155,150,59,"1,507",43,"2,054"
21–25,41,31,674,129,106,"2,904",655,"4,543",,21–25,116,30,907,98,464,"5,174",535,"7,324"
>25,128,73,"2,008",311,64,"3,713","1,256","7,555",,>25,419,39,"3,406",321,629,"8,113","1,985","14,918"
"1994, total",778,202,"5,179",928,"1,236","26,757","3,966","39,064",,"2006, total",946,90,"5,285",828,"1,721","27,961","4,250","41,109"
<6,46,4,146,157,107,"3,630",399,"4,489",,<6,123,14,362,53,237,"3,955",833,"5,577"
6–10,103,12,151,185,61,"1,171",36,"1,719",,6–10,103,10,336,88,277,"6,006",496,"7,316"
11–15,200,36,"1,135",123,540,"7,903",754,"10,691",,11–15,75,2,172,101,103,"2,913",386,"3,752"
16–20,130,44,966,122,309,"6,314",799,"8,684",,16–20,127,3,132,148,55,"1,949",84,"2,498"
21–25,90,32,664,82,130,"3,873",638,"5,509",,21–25,96,21,690,110,359,"3,629",293,"5,198"
>25,206,74,"2,107",259,86,"3,706","1,327","7,765",,>25,421,40,"3,581",328,685,"9,204","2,155","16,414"
"1995, total",726,178,"5,127",954,"1,288","27,375","3,985","39,641",,"2007, total",931,80,"5,356",833,"1,810","27,187","4,467","40,695"
<6,38,5,168,149,119,"3,975",489,"4,943",,<6,100,8,411,46,258,"4,340","1,005","6,169"
6–10,90,8,134,195,58,"1,483",46,"2,014",,6–10,102,10,355,79,288,"5,508",481,"6,827"
11–15,168,34,959,133,463,"6,387",611,"8,760",,11–15,90,3,191,106,104,"3,537",418,"4,451"
16–20,135,38,988,121,412,"6,507",736,"8,939",,16–20,117,2,144,142,87,"2,080",172,"2,744"
21–25,80,29,726,91,141,"4,897",697,"6,661",,21–25,86,15,380,123,213,"1,482",123,"2,424"
>25,213,64,"2,146",263,92,"3,966","1,403","8,148",,>25,435,42,"3,860",337,853,"9,893","2,263","17,705"
"1996, total",713,161,"5,177",967,"1,274","28,775","4,036","41,104",,"2008, total",894,76,"5,424",821,"1,830","26,678","4,560","40,301"
<6,43,7,205,153,123,"5,189",573,"6,293",,<6,90,10,475,45,295,"4,494","1,127","6,536"
6–10,74,8,118,188,61,"2,041",87,"2,577",,6–10,102,8,360,72,292,"4,435",494,"5,766"
11–15,141,29,715,142,351,"4,505",346,"6,229",,11–15,96,6,214,95,123,"4,543",390,"5,469"
16–20,155,36,"1,036",119,460,"7,234",840,"9,881",,16–20,94,3,155,129,93,"2,524",259,"3,257"
21–25,79,23,842,87,155,"5,416",723,"7,325",,21–25,87,12,205,138,88,935,63,"1,528"
>25,229,62,"2,386",290,144,"4,766","1,576","9,453",,>25,425,37,"4,003",341,936,"9,395","2,225","17,375"
"1997, total",692,147,"5,173","1,025","1,369","29,040","3,971","41,419",,"2009, total",891,72,"5,437",833,"1,856","26,447","4,561","40,109"
<6,52,8,227,150,122,"5,515",519,"6,593",,<6,70,10,517,39,279,"4,782","1,212","6,910"
6–10,66,2,118,187,94,"2,582",181,"3,230",,6–10,105,7,330,63,244,"3,910",510,"5,170"
11–15,96,27,396,152,223,"1,800",137,"2,831",,11–15,111,9,272,95,197,"5,028",444,"6,157"
16–20,183,36,"1,173",131,588,"8,943",928,"11,982",,16–20,81,3,159,122,101,"2,786",291,"3,543"
21–25,84,21,918,102,177,"5,772",727,"7,801",,21–25,98,5,154,145,63,969,25,"1,459"
>25,209,53,"2,332",302,159,"4,284","1,477","8,816",,>25,426,38,"3,992",367,969,"8,634","2,074","16,509"
"1998, total",714,135,"5,237","1,011","1,423","29,557","3,952","42,032",,"2010, total",875,77,"5,466",843,"1,817","26,848","4,564","40,512"
<6,56,12,247,150,163,"5,877",485,"6,991",,<6,61,17,573,27,271,"5,391","1,170","7,511"
6–10,55,3,124,168,105,"3,117",267,"3,839",,6–10,110,7,303,59,212,"3,398",548,"4,640"
