Table 1-35: U.S. Vehicle-Miles (Millions) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,
Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air carrier, domestic, all services",858,"1,134","2,068","1,638","2,276","3,026","3,963","3,854","3,995","4,156","4,378","4,628","4,807","4,907","5,030","5,326","5,662","5,545","5,613","6,106","6,602","6,716","6,606","6,733","6,446","5,935","5,976","6,005","5,956","5,965","(R) 5,947","6,046",,,
General aviationa,"1,769","2,562","3,207","4,238","5,204","4,673","4,548","4,400","3,465","3,253","3,358","3,795","3,524","3,877",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,
"Highway, total","718,763","887,811","1,109,724","1,327,664","1,527,295","1,774,827","2,144,362","2,172,050","2,247,151","2,296,378","2,357,588","2,422,696","2,485,848","2,561,695","2,631,522","2,691,056","2,746,925","2,795,610","2,855,508","2,890,221","2,964,788","2,989,430","3,014,371","3,031,124","2,976,528","2,956,764","2,967,266","2,950,402","2,969,433","2,988,281","3,025,656","3,130,509",,,
"Light duty vehicle, short wheel-baseb,c,d",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"2,104,416","2,024,757","2,015,714","2,025,745","2,046,282","2,062,828","2,074,423","2,072,071",U,,,
"Passenger carsb,e","587,012","722,696","916,700","1,033,950","1,111,596","1,246,798","1,408,266","1,358,185","1,371,569","1,374,709","1,406,089","1,438,294","1,469,854","1,502,556","1,549,577","1,569,100","1,600,287","1,627,365","1,658,474","1,671,967","1,699,890","1,708,421","1,690,534",N,N,N,N,N,N,N,N,N,,,
"Motorcyclec,d",U,U,"2,979","5,629","10,214","9,086","9,557","9,178","9,557","9,906","10,240","9,797","9,920","10,081","10,283","10,584","10,469","9,633","9,552","9,576","10,122","10,454","12,049","21,396","20,811","20,822","18,513","18,542","21,385","20,366","19,970",U,,,
"Light duty vehicle, long wheel-baseb,c,d",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"586,618","605,456","617,534","622,712","604,175","601,232","603,307","638,484",U,,,
"Other 2-axle 4-tire vehiclesb,e",U,U,"123,286","200,700","290,935","390,961","574,571","649,394","706,863","745,750","764,634","790,029","816,540","850,739","868,275","901,022","923,059","942,614","966,034","984,020","1,027,164","1,041,051","1,082,490",N,N,N,N,N,N,N,N,N,,,
"Truck, single-unit 2-axle 6-tire or mored","98,551","128,769","27,081","34,606","39,813","45,441","51,901","52,898","53,874","56,772","61,284","62,705","64,072","66,893","68,021","70,304","70,500","72,394","75,866","77,748","78,441","78,496","80,344","119,979","126,855","120,207","110,738","103,803","105,605","106,582","109,301",U,,,
"Truck, combination","28,854","31,665","35,134","46,724","68,678","78,063","94,341","96,645","99,510","103,116","108,932","115,451","118,899","124,584","128,359","132,384","135,020","136,534","138,737","140,128","142,370","144,028","142,169","184,199","183,826","168,100","175,789","163,791","163,602","168,436","169,830",U,,,
Busf,"4,346","4,681","4,544","6,055","6,059","4,478","5,726","5,750","5,778","6,125","6,409","6,420","6,563","6,842","7,007","7,662","7,590","7,070","6,845","6,782","6,801","6,980","6,783","14,516","14,823","14,387","13,770","13,807","14,781","15,167","15,999",U,,,
"Transitg, total","2,143","2,008","1,883","2,176","2,287","2,791","3,242","3,306","3,355","3,435","3,468","3,550","3,082","3,201","3,347","3,500","3,605","3,735","3,855","3,915","3,972","4,054","4,127","4,238","4,375","4,475","4,400","4,331","4,347","4,413","4,429",U,,,
