Table 1-39:  Worldwide Commercial Space Launches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,TOTAL         1990-2014,,,,
TOTAL space launches,15,12,14,11,15,23,24,38,41,39,35,16,24,17,15,18,21,23,28,24,23,18,20,23,23,560,,,,
"United States, total",9,6,6,5,5,12,11,17,22,15,7,3,5,5,6,1,2,3,6,4,4,0,2,6,11,173,,,,
Antares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,
Athena,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,,,,
Atlas ,1,2,3,3,4,8,7,6,5,4,3,1,3,4,5,1,1,0,1,1,0,0,0,0,1,64,,,,
Conestoga,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,
Delta ,5,4,3,1,1,1,3,7,11,5,2,1,2,0,0,0,1,3,2,2,2,0,0,0,1,57,,,,
Falcon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,3,6,16,,,,
Minotaur I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,
Pegasus,0,0,0,1,0,1,1,3,4,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,16,,,,
Taurus,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,,,,
Titan ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,
"Europe, total",5,6,6,6,8,8,9,11,9,8,12,8,10,4,1,5,5,6,5,5,6,4,6,4,6,163,,,,
Ariane 4,5,6,6,6,8,8,9,11,9,8,8,6,7,1,0,0,0,0,0,0,0,0,0,0,0,98,,,,
Ariane 5,0,0,0,0,0,0,0,0,0,0,4,2,3,3,1,5,5,6,5,5,6,4,6,3,4,62,,,,
Soyuz 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,,,,
"Russia, total",0,0,0,0,0,0,2,7,5,13,13,3,8,5,5,8,9,12,11,10,13,10,7,12,4,157,,,,
Cosmos,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,3,0,0,0,0,0,0,8,,,,
Dnepr,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,3,2,1,3,1,0,2,2,19,,,,
Kosmos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,,,,
Proton ,0,0,0,0,0,0,2,6,4,5,6,2,5,1,4,4,4,4,6,7,8,7,7,7,2,91,,,,
