Table 1-48: U.S.-Mexican Border Land-Passenger Gateways: Entering the United States,,,,,,,,,,,,,
2002,,2003,,2004,,2005,,2006,,2007,,2008,
All U.S.-Mexican land gateways,,,,,,,,,,,,,
All personal vehicle passengers,"199,020,692",All personal vehicle passengers,"193,697,482",All personal vehicle passengers,"190,936,607",All personal vehicle passengers,"186,067,448",All personal vehicle passengers,"179,255,014",All personal vehicle passengers,"164,534,262",All personal vehicle passengers,"157,981,839"
All personal vehicles,"89,849,415",All personal vehicles,"88,068,391",All personal vehicles,"91,133,889",All personal vehicles,"91,556,319",All personal vehicles,"88,295,570",All personal vehicles,"81,788,235",All personal vehicles,"78,856,542"
All pedestrians,"50,278,281",All pedestrians,"48,663,773",All pedestrians,"48,084,235",All pedestrians,"45,829,612",All pedestrians,"46,251,414",All pedestrians,"49,538,963",All pedestrians,"44,841,640"
All bus passengers,"3,926,154",All bus passengers,"3,746,885",All bus passengers,"3,388,517",All bus passengers,"3,169,779",All bus passengers,"3,187,282",All bus passengers,"3,389,055",All bus passengers,"3,455,630"
All buses,"309,360",All buses,"319,087",All buses,"269,027",All buses,"256,396",All buses,"262,862",All buses,"265,162",All buses,"266,414"
All train passengers,"15,108",All train passengers,"12,101",All train passengers,"12,664",All train passengers,"17,833",All train passengers,"21,504",All train passengers,"20,482",All train passengers,"22,016"
Personal vehicle passengers ? top 5 gateways,,,,,,,,,,,,,
"San Ysidro, CA","36,171,884","San Ysidro, CA","39,180,519","San Ysidro, CA","33,382,991","San Ysidro, CA","32,265,477","San Ysidro, CA","31,868,563","San Ysidro, CA","28,390,175","San Ysidro, CA","25,319,449"
"El Paso, TX","26,363,164","El Paso, TX","26,317,018","El Paso, TX","28,108,167","El Paso, TX","29,180,824","El Paso, TX","27,999,510","El Paso, TX","23,674,992","El Paso, TX","21,806,353"
"Hidalgo, TX","17,613,527","Brownsville, TX","15,673,205","Hidalgo, TX","15,514,648","Brownsville, TX","14,614,745","Laredo, TX","14,244,080","Laredo, TX","13,367,960","Laredo, TX","15,397,879"
"Laredo, TX","15,915,545","Hidalgo, TX","15,587,611","Brownsville, TX","15,374,317","Laredo, TX","14,017,324","Brownsville, TX","14,023,353","Hidalgo, TX","13,304,851","Hidalgo, TX","13,467,615"
"Brownsville, TX","15,820,595","Laredo, TX","15,208,606","Laredo, TX","15,032,956","Hidalgo, TX","13,989,453","Hidalgo, TX","12,632,201","Brownsville, TX","13,062,876","Brownsville, TX","13,274,693"
Personal vehicles ? top 5 gateways,,,,,,,,,,,,,
"San Ysidro, CA","16,441,766","San Ysidro, CA","17,408,481","San Ysidro, CA","17,621,030","San Ysidro, CA","17,208,106","San Ysidro, CA","17,135,163","San Ysidro, CA","15,696,262","El Paso, TX","13,716,434"
"El Paso, TX","13,095,153","El Paso, TX","13,699,206","El Paso, TX","14,817,206","El Paso, TX","15,971,739","El Paso, TX","15,602,602","El Paso, TX","14,062,053","San Ysidro, CA","13,672,329"
"Hidalgo, TX","8,136,100","Brownsville, TX","7,219,865","Brownsville, TX","7,211,401","Brownsville, TX","7,103,553","Brownsville, TX","6,967,503","Hidalgo, TX","6,835,305","Hidalgo, TX","6,982,770"
"Brownsville, TX","7,896,809","Hidalgo, TX","7,169,629","Hidalgo, TX","7,183,674","Hidalgo, TX","6,969,846","Hidalgo, TX","6,480,467","Brownsville, TX","6,476,671","Brownsville, TX","6,567,121"
"Laredo, TX","6,921,709","Laredo, TX","6,777,423","Laredo, TX","6,725,119","Otay Mesa, CA","6,672,994","Calexico, CA","6,110,214","Calexico, CA","5,747,309","Laredo, TX","6,105,126"
Pedestrians ? top 5 gateways,,,,,,,,,,,,,
"El Paso, TX","9,301,395","El Paso, TX","8,899,168","San Ysidro, CA","9,457,600","San Ysidro, CA","8,156,350","San Ysidro, CA","7,811,614","El Paso, TX","8,454,434","El Paso, TX","8,029,106"
"San Ysidro, CA","7,903,483","San Ysidro, CA","8,302,110","El Paso, TX","8,441,671","El Paso, TX","7,613,546","Nogales, AZ","7,726,045","San Ysidro, CA","7,756,569","San Ysidro, CA","7,289,862"
"Calexico, CA","6,894,820","Calexico, CA","6,230,123","Nogales, AZ","6,131,407","Nogales, AZ","6,930,198","El Paso, TX","7,500,141","Nogales, AZ","7,722,877","Nogales, AZ","6,568,207"
"Nogales, AZ","5,911,866","Nogales, AZ","5,583,533","Calexico, CA","4,847,096","Calexico, CA","4,481,014","Laredo, TX","4,245,842","Calexico, CA","5,290,977","Calexico, CA","4,359,901"
"Laredo, TX","4,648,046","Laredo, TX","4,577,725","Laredo, TX","4,507,105","Laredo, TX","4,356,041","Calexico, CA","4,048,629","Laredo, TX","4,625,416","Laredo, TX","3,873,872"
Bus passengers ? top 5 gateways,,,,,,,,,,,,,
"San Ysidro, CA","1,199,630","San Ysidro, CA","1,244,973","San Ysidro, CA","1,032,343","San Ysidro, CA","995,337","San Ysidro, CA","1,060,444","Laredo, TX","899,461","Laredo, TX","928,793"
"Laredo, TX","757,459","Laredo, TX","748,644","Laredo, TX","802,635","Laredo, TX","826,679","Laredo, TX","878,164","San Ysidro, CA","875,450","El Paso, TX","748,259"
