Table 1-50:  U.S. Ton-Miles of Freight (BTS Special Tabulation) (Millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,,,,
TOTAL U.S. ton-miles of freight ,"4,172,989","4,132,385","4,010,592","4,112,419","4,227,617","4,221,461","4,280,091","4,459,963","4,606,023","4,577,594","4,655,432","4,676,163","4,805,060","4,858,768","5,089,119","5,288,639","5,394,429","5,444,841","5,463,709","5,482,577","5,501,444","5,520,312","5,539,180","5,579,251","5,619,322","5,659,393","5,699,463","5,739,534","5,998,009","5,468,001","5,689,672","5,899,165",,,,
Air ,"4,528","4,658","4,476","5,055","5,493","5,156","6,356","7,589","8,169","8,954","9,064","8,860","9,820","10,675","11,803","12,520","12,861","13,601","13,840","14,202","14,983","13,069","13,370","15,231","16,451","15,745","15,361","15,141","13,774","12,027","12,541","12,134",,,,
Truck,"1,266,631","1,269,094","1,300,864","1,355,837","1,421,966","1,441,906","1,478,928","1,558,806","1,610,977","1,666,597","1,707,373","1,745,913","1,790,756","1,866,690","1,987,270","2,080,039","2,136,184","2,233,950","2,273,588","2,297,372","2,326,524","2,362,063","2,427,693","2,478,740","2,427,170","2,453,347","2,405,811","2,495,786","2,752,658","2,449,509","2,512,429","2,643,567",,,,
Railroad,"932,000","924,000","810,000","841,000","900,091","876,209","891,235","951,940","1,025,683","1,045,628","1,064,408","1,041,929","1,098,379","1,135,016","1,221,073","1,317,010","1,377,095","1,391,089","1,448,352","1,503,665","1,546,319","1,599,332","1,605,532","1,603,564","1,683,895","1,733,324","1,855,897","1,819,626","1,729,734","1,582,092","1,706,505","1,725,634",,,,
Domestic water transportation,"921,835","929,413","886,469","919,566","887,719","892,971","873,401","895,415","890,029","815,550","833,544","848,399","856,685","789,658","814,919","807,728","764,687","707,410","672,795","655,862","645,799","621,686","612,080","606,146","621,170","591,277","561,629","553,151","520,521","477,122","502,212","499,748",,,,
Coastwise,"631,149","634,765","632,707","649,750","593,923","610,977","580,889","586,818","561,595","483,889","479,134","502,133","502,311","448,404","457,601","440,345","408,086","349,843","314,864","292,730","283,872","274,559","263,688","278,919","279,857","263,464","227,155","228,052","207,877","196,290","192,348","180,212",,,,
Lakewise,"61,747","62,148","35,623","43,088","49,784","48,184","43,198","50,077","58,160","58,308","60,930","55,339","55,785","56,438","58,263","59,704","58,335","62,166","61,654","57,045","57,879","50,854","53,653","47,539","55,733","51,924","53,105","51,893","50,263","33,509","45,346","49,079",,,,
Internal,"227,343","231,184","217,027","225,628","242,855","232,708","248,117","257,336","269,036","272,157","292,393","289,959","297,639","283,894","297,762","306,329","296,791","294,023","294,896","304,724","302,558","294,861","293,410","278,352","284,096","274,367","279,778","271,617","260,960","244,995","263,242","269,192",,,,
Intraport,"1,596","1,316","1,112","1,100","1,157","1,102","1,197","1,184","1,238","1,196","1,087",968,950,922,"1,293","1,350","1,475","1,378","1,381","1,362","1,490","1,413","1,329","1,336","1,484","1,521","1,591","1,589","1,421","2,327","1,277","1,265",,,,
Pipeline,"1,047,995","1,005,219","1,008,784","990,961","1,012,349","1,005,219","1,030,172","1,046,212","1,071,165","1,040,865","1,041,044","1,031,063","1,049,420","1,056,728","1,054,054","1,071,343","1,103,602","1,098,790","1,055,133","1,011,476","967,819","924,162","880,504","875,570","870,635","865,700","860,766","855,831","981,323","947,252","955,986","1,018,082",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data in this table are improved estimates based on the Freight Analysis Framework (FAF). Technical Summary of Updated Methodology is available at http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/FreightTonMilesMethodology.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total:   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-96:  Summation of individual modes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1997-2011:  U.S. Department of Transportation, Federal Highway Administration, Freight Analysis Framework, Version 3, for 1997, 2002, 2007, 2008, and 2009, available at http://faf.ornl.gov/fafweb/Extraction0.aspx.   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air:  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Transportation, Bureau of Transportation Statistics, Office of Airline Information, Air Carrier Statistics - Green Book, (Washington, DC, December issues), p. 3, line 3.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rail:  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates come from the Association of American Railroads using ton mile values from the Surface Transportation Board’s Waybill Sample.  The Waybill Sample represents all major U.S. railroads, including all Class I railroads and several short-line railroads.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck:  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980-96:  1997 Truck value, adjusted using U.S. Department of Transportation, Federal Highway Administration, Highway Statistics, (Washington, DC: Annual Issues), Table VM-1, Vehicle Miles Traveled, Total Rural and Urban, for Single-Unit 2 Axle 6-Tire or more and Combination Trucks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1997-2011:  Difference between total of all modes, and sum of other modes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipeline:  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980-96: 1997 Pipeline value, adjusted using Association of Petroleum Pipelines, Shifts in Petroleum Transportation (Washington, DC: Annual Issues), table 1, available at http://www.aopl.org/publications/?fa=reports as of Oct. 22, 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1997-2011:  U.S. Department of Transportation, Federal Highway Administration, Freight Analysis Framework, Version 3, for 1997, 2002, 2007, 2008, and 2009, available at http://faf.ornl.gov/fafweb/Extraction0.aspx.   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
