Table 1-55:  U.S.-Mexican Border Land-Freight Gateways: Number of Incoming Truck and Train Crossings,,,,,,,,,,,,,
Truck,2002,2003,,2004,,2005,,2006,,2007,,2008,
Total U.S.-Mexican border,"4,426,593",Total U.S.-Mexican border,"4,238,045",Total U.S.-Mexican border,"4,503,688",Total U.S.-Mexican border,"4,675,897",Total U.S.-Mexican border,"4,759,679",Total U.S.-Mexican border,"4,882,500",Total U.S.-Mexican border,"4,866,252"
Total top 5 gateways,"3,544,815",Total top 5 gateways,"3,378,199",Total top 5 gateways,"3,604,137",Total top 5 gateways,"3,737,803",Total top 5 gateways,"3,778,528",Total top 5 gateways,"3,895,641",Total top 5 gateways,"3,893,000"
"Laredo, TX","1,441,653","Laredo, TX","1,354,229","Laredo, TX","1,391,850","Laredo, TX","1,455,607","Laredo, TX","1,518,989","Laredo, TX","1,563,836","Laredo, TX","1,555,197"
"Otay Mesa, CA","731,291","Otay Mesa, CA","697,152","Otay Mesa, CA","726,164","El Paso, TX","740,654","Otay Mesa, CA","749,472","El Paso, TX","782,936","Otay Mesa, CA","776,972"
"El Paso, TX","705,199","El Paso, TX","659,614","El Paso, TX","719,545","Otay Mesa, CA","730,253","El Paso, TX","744,951","Otay Mesa, CA","738,765","El Paso, TX","758,856"
"Hidalgo, TX","390,282","Hidalgo, TX","406,064","Hidalgo, TX","454,351","Hidalgo, TX","491,077","Hidalgo, TX","457,825","Hidalgo, TX","486,756","Hidalgo, TX","476,000"
"Calexico East, CA","276,390","Calexico East, CA","261,140","Calexico East, CA","312,227","Calexico East, CA","320,212","Calexico East, CA","307,291","Calexico East, CA","323,348","Calexico East, CA","325,975"
Train,2002,2003,,2004,,2005,,2006,,2007,,2008,
Total U.S.-Mexican border,"7,757",Total U.S.-Mexican border,"7,774",Total U.S.-Mexican border,"7,844",Total U.S.-Mexican border,"9,458",Total U.S.-Mexican border,"10,166",Total U.S.-Mexican border,"10,648",Total U.S.-Mexican border,"10,262"
Total top 5 gateways,"7,179",Total top 5 gateways,"7,265",Total top 5 gateways,"7,282",Total top 5 gateways,"8,719",Total top 5 gateways,"9,344",Total top 5 gateways,"9,745",Total top 5 gateways,"9,563"
"Laredo, TX","3,270","Laredo, TX","3,510","Laredo, TX","3,443","Laredo, TX","3,459","Laredo, TX","3,850","Laredo, TX","3,994","Laredo, TX","3,921"
"Eagle Pass, TX","1,718","Eagle Pass, TX","1,624","Eagle Pass, TX","1,653","Eagle Pass, TX","1,812","El Paso, TX","2,449","El Paso, TX","2,691","El Paso, TX","2,473"
"Brownsville, TX",964,"Brownsville, TX","1,045","Brownsville, TX",998,"El Paso, TX","1,618","Eagle Pass, TX","1,337","Eagle Pass, TX","1,485","Eagle Pass, TX","1,654"
"Nogales, AZ",607,"El Paso, TX",629,"El Paso, TX",744,"Brownsville, TX","1,045","Brownsville, TX","1,055","Brownsville, TX",984,"Brownsville, TX",875
"El Paso, TX",620,"Nogales, AZ",457,"Nogales, AZ",444,"Nogales, AZ",785,"Nogales, AZ",653,"Calexico East, CA",591,"Nogales, AZ",640
,,,,,,,,,,,,,
Truck,2009,2010,,2011,,2012,,2013,,2014,,2015,
Total U.S.-Mexican border,"4,291,465",Total U.S.-Mexican border,"4,742,925",Total U.S.-Mexican border,"4,868,376",Total U.S.-Mexican border,"5,103,923",Total U.S.-Mexican border,"5,194,867",Total U.S.-Mexican border,"5,414,568",Total U.S.-Mexican border,"5,535,371"
Total top 5 gateways,"3,407,336",Total top 5 gateways,"3,792,491",Total top 5 gateways,"3,921,752",Total top 5 gateways,"4,097,483",Total top 5 gateways,"4,191,478",Total top 5 gateways,"4,372,500",Total top 5 gateways,"4,476,789"
"Laredo, TX","1,382,319","Laredo, TX","1,585,682","Laredo, TX","1,695,916","Laredo, TX","1,789,546","Laredo, TX","1,846,282","Laredo, TX","1,947,846","Laredo, TX","2,015,773"
"Otay Mesa, CA","684,425","Otay Mesa, CA","729,605","Otay Mesa, CA","744,929","Otay Mesa, CA","778,929","Otay Mesa, CA","769,886","Otay Mesa, CA","810,193","Otay Mesa, CA","829,581"
"El Paso, TX","644,272","El Paso, TX","710,363","El Paso, TX","714,699","El Paso, TX","724,964","El Paso, TX","738,914","El Paso, TX","759,125","El Paso, TX","747,702"
"Hidalgo, TX","419,426","Hidalgo, TX","459,331","Hidalgo, TX","453,235","Hidalgo, TX","481,620","Hidalgo, TX","510,706","Hidalgo, TX","530,093","Hidalgo, TX","546,259"
"Calexico East, CA","276,894","Nogales, AZ","307,510","Calexico East, CA","312,973","Calexico East, CA","322,424","Calexico East, CA","325,690","Calexico East, CA","325,243","Calexico East, CA","337,474"
Train,2009,2010,,2011,,2012,,2013,,2014,,2015,
Total U.S.-Mexican border,"7,475",Total U.S.-Mexican border,"7,667",Total U.S.-Mexican border,"8,366",Total U.S.-Mexican border,"8,957",Total U.S.-Mexican border,"9,341",Total U.S.-Mexican border,"10,413",Total U.S.-Mexican border,"9,991"
Total top 5 gateways,"6,969",Total top 5 gateways,"7,198",Total top 5 gateways,"7,885",Total top 5 gateways,"8,490",Total top 5 gateways,"8,837",Total top 5 gateways,"9,956",Total top 5 gateways,"9,526"
"Laredo, TX","2,716","Laredo, TX","3,036","Laredo, TX","3,413","Laredo, TX","3,492","Laredo, TX","3,629","Laredo, TX","3,758","Laredo, TX","3,634"
"Eagle Pass, TX","1,704","Eagle Pass, TX","2,012","Eagle Pass, TX","2,151","Eagle Pass, TX","2,349","Eagle Pass, TX","2,459","Eagle Pass, TX","2,728","Eagle Pass, TX","2,814"
"El Paso, TX","1,502","El Paso, TX","1,046","El Paso, TX","1,152","El Paso, TX","1,392","El Paso, TX","1,357","El Paso, TX","1,990","El Paso, TX","1,528"
"Nogales, AZ",563,"Nogales, AZ",602,"Nogales, AZ",709,"Nogales, AZ",657,"Nogales, AZ",866,"Nogales, AZ",795,"Nogales, AZ",801
"Brownsville, TX",484,"Brownsville, TX",502,"Brownsville, TX",460,"Brownsville, TX",600,"Brownsville, TX",526,"Brownsville, TX",685,"Brownsville, TX",749
,,,,,,,,,,,,,
NOTE,,,,,,,,,,,,,
Data do not include privately owned pickup trucks.,,,,,,,,,,,,,
,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,
"U.S. Department of Transportation, Bureau of Transportation Statistics, Border Crossing/Entry Data, available at http://transborder.bts.gov/programs/international/transborder/TBDR_BC/TBDR_BC_Index.html as of July 15, 2016.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
