Table 1-65:  Mishandled-Baggage Reports Filed by Passengers with the Largest U.S. Air Carriersa,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,(R) 2014,2015
Total mishandled-baggage reports (millions),2.66,2.20,2.45,2.28,2.32,2.28,2.46,2.28,2.48,2.54,2.74,2.14,1.81,2.20,2.82,2.94,4.08,4.40,3.14,2.10,1.95,1.72,1.78,1.83,1.88,1.92
Enplaned passengers (domestic) (millions),395.70,408.47,416.95,407.55,435.67,439.80,464.00,459.83,481.75,499.10,517.47,467.93,471.35,524.52,575.36,442.02,606.60,624.69,595.82,527.83,554.50,514.23,574.61,569.53,520.28,594.06
"Reports per 1,000 passengers",6.73,5.38,5.87,5.60,5.33,5.18,5.30,4.96,5.16,5.08,5.29,4.58,3.84,4.19,4.91,6.64,6.73,7.05,5.26,3.99,3.51,3.35,3.09,3.22,3.61,3.24
KEY:  R = revised.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Data include nonstop scheduled service between points within the United States (including territories) by U.S. air carriers with at least 1% of the total domestic scheduled service passenger revenues and those carriers that report voluntarily. In 2010, the air carriers were AirTran, Alaska, American, American Eagle, Atlantic Southeast, Comair, Continental, Delta, ExpressJet, Frontier, Hawaiian, JetBlue, Mesa, Pinnacle, SkyWest, Southwest, United, and US Airways.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,
Domestic system only. ,,,,,,,,,,,,,,,,,,,,,,,,,,
"Based on passenger reports of mishandled-baggage, including those that did not subsequently result in claims for compensation. ",,,,,,,,,,,,,,,,,,,,,,,,,,
"Since merging with Delta, data for Northwest Airlines are included under Delta as of January 2010.",,,,,,,,,,,,,,,,,,,,,,,,,,
United Airlines revised its mishandled baggage reports for January 2011 thru October 2011 after the submissions were published in the ATCR. This table reflects these revisions.,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwest Airlines revised its mishandled baggage reports for January 2011 thru February 2011 after the submissions were published in the ATCR. This table reflects these revisions.,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effective January 2011, Comair and Pinnacle Airlines are no longer ranked in this table. Totals for January – December 2010 reflect the deletion of Comair and Pinnacle’s data.",,,,,,,,,,,,,,,,,,,,,,,,,,
"Effective January 2012, data of the merged operations of United Air Lines and Continental Airlines are combined. Effective January 2012, data of the merged operations of ExpressJet Airlines and Atlantic Southeast Airlines are combined. ",,,,,,,,,,,,,,,,,,,,,,,,,,
"Endeavor Air, formerly Pinnacle Airlines, was ranked for the first time in 1st Quarter of 2013.  ",,,,,,,,,,,,,,,,,,,,,,,,,,
"Effective January 2014, the American Airlines and US Airways data are combined as American Airlines; the Southwest Airlines and AirTran Airways data are combined as Southwest Airlines.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE ,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Transportation, Office of Aviation Enforcement and Proceedings, Aviation Consumer Protection Division, Air Travel Consumer Report (Washington, DC: Annual February Issues), Mishandled Baggage Reports Filed by Passengers U. S. Airlines, available at http://www.dot.gov/airconsumer/air-travel-consumer-reports as of  July 14, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
