Table 1-72:  Annual Highway Congestion Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban area,Population group,Annual congestion cost per auto commuter (2014 dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annual congestion cost (2014 dollars- millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Value,,,,,,,,,,,,,,,,,Rank,,,,,,,,,,,,,,,,,Value,,,,,,,,,,,,,,,,,Rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012,2013,2014,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012,2013,2014,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012,2013,2014,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012,2013,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Akron, OH",Medium,789,783,780,760,767,768,770,759,752,747,699,645,637,622,625,627,634,59,65,69,75,76,79,79,80,80,85,87,88,89,90,90,90,90,354,351,350,341,344,345,345,341,337,335,314,289,286,279,281,281,284,67,68,72,72,72,73,74,75,75,75,79,80,81,81,81,82,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albany-Schenectady, NY",Medium,679,704,762,791,841,936,985,1060,1063,1064,1029,1020,1011,990,983,988,991,74,75,73,72,69,60,53,41,36,38,39,37,38,39,40,41,39,328,340,368,382,406,452,476,512,514,514,497,493,488,478,475,477,479,70,71,67,67,65,64,60,57,58,58,58,58,59,59,59,58,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albuquerque, NM",Medium,1086,1128,1106,1086,1078,1065,1054,1039,1007,992,969,934,917,901,892,889,886,17,17,23,28,33,35,40,44,49,55,52,53,55,57,61,61,63,614,638,625,614,610,602,596,587,569,561,548,528,518,509,504,503,501,48,48,50,51,52,52,53,53,54,56,55,55,55,55,56,57,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allentown-Bethlehem, PA-NJ",Medium,925,930,946,917,906,859,844,827,801,783,725,711,727,713,704,699,694,36,42,42,52,60,71,73,76,77,79,85,82,82,83,84,87,87,524,527,536,520,514,487,478,468,454,444,411,403,412,404,399,396,393,54,55,54,54,55,59,59,61,63,65,67,66,65,65,67,67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anchorage, AK",Small,772,847,879,903,917,915,914,889,896,901,912,817,854,880,872,874,913,62,58,56,54,56,65,66,69,71,71,64,72,72,65,65,66,54,153,168,174,179,181,181,181,176,177,178,180,162,169,174,172,173,181,87,86,86,87,89,90,90,90,90,91,90,92,91,91,92,92,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atlanta, GA",Very large,"1,194","1,244","1,253","1,280","1,317","1,323","1,323","1,307","1,284","1,273","1,214","1,167","1,159","1,140","1,132","1,137","1,130",10,9,10,10,11,11,13,13,14,15,15,17,20,22,23,22,22,"3,397","3,537","3,564","3,640","3,747","3,763","3,763","3,717","3,652","3,620","3,453","3,320","3,295","3,241","3,221","3,233","3,214",12,12,12,12,11,11,11,12,12,11,11,11,12,13,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin, TX",Large,700,761,792,856,893,935,987,"1,013","1,044","1,100","1,069","1,032","1,078","1,098","1,134","1,154","1,159",73,69,67,63,65,61,52,47,41,32,35,34,31,24,22,20,20,689,749,779,842,878,920,971,996,"1,027","1,082","1,052","1,015","1,060","1,080","1,115","1,135","1,140",45,44,44,43,43,43,42,38,37,35,35,36,33,32,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bakersfield, CA",Medium,167,167,171,204,226,272,337,363,386,419,453,398,420,429,439,437,512,100,100,100,100,100,100,99,98,98,99,99,99,99,98,98,98,94,70,70,72,85,95,114,141,152,162,175,190,166,176,180,184,183,215,96,97,97,96,96,96,96,95,93,92,88,90,90,88,87,88,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baltimore, MD",Large,"1,007","1,062","1,072","1,145","1,177","1,199","1,227","1,208","1,200","1,182","1,095","1,073","1,086","1,068","1,068","1,075","1,115",27,28,27,19,19,19,18,19,20,20,30,30,28,27,28,27,25,"1,874","1,976","1,996","2,131","2,191","2,232","2,283","2,249","2,233","2,201","2,039","1,997","2,021","1,987","1,989","2,001","2,075",16,16,16,16,16,16,16,17,17,17,17,18,18,19,19,19,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baton Rouge, LA",Medium,738,775,787,795,820,851,862,909,"1,122","1,154","1,160","1,160","1,208","1,177","1,180","1,222","1,262",67,67,68,71,71,72,71,67,28,25,21,19,11,14,15,12,12,365,383,389,393,405,420,426,449,554,570,573,573,596,581,583,603,623,66,65,65,65,66,66,65,64,56,55,54,53,53,53,53,53,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beaumont, TX",Small,575,612,639,676,741,809,840,872,858,848,728,768,785,767,757,784,800,82,84,81,81,78,74,74,71,73,75,84,78,76,78,78,76,77,137,146,152,161,176,192,200,207,204,202,173,183,187,182,180,187,190,91,91,92,92,90,88,88,88,88,88,91,88,87,87,88,87,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Birmingham, AL",Medium,879,949,939,923,962,960,957,948,948,944,949,889,897,891,902,903,891,42,40,43,49,48,53,58,62,64,64,55,62,62,60,57,57,58,495,534,528,520,541,540,539,533,533,531,534,500,505,502,508,508,501,55,54,55,54,54,54,56,56,57,57,56,57,57,56,55,56,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boise, ID",Small,394,451,501,566,602,631,682,711,745,779,736,703,707,699,700,747,833,93,91,90,89,89,89,88,85,84,80,82,85,85,84,85,79,74,127,146,162,183,194,204,220,229,240,251,238,227,228,226,226,241,269,92,91,88,86,86,86,86,86,86,86,86,86,86,86,86,86,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boston, MA-NH-RI",Very large,"1,557","1,544","1,571","1,578","1,588","1,578","1,559","1,538","1,511","1,491","1,387","1,370","1,417","1,401","1,401","1,396","1,388",7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,9,"3,772","3,741","3,807","3,824","3,846","3,822","3,777","3,726","3,661","3,612","3,360","3,318","3,432","3,394","3,394","3,382","3,363",8,10,9,10,10,10,10,11,11,12,12,12,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boulder, CO",Small,579,636,639,670,731,742,757,750,747,763,765,709,722,719,721,735,752,80,79,81,82,81,82,81,82,81,82,78,83,83,82,80,82,80,68,75,75,79,86,88,89,88,88,90,90,84,85,85,85,87,89,97,96,96,97,97,98,97,98,98,99,98,99,99,99,99,99,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bridgeport-Stamford, CT-NY",Medium,"1,072","1,101","1,132","1,172","1,231","1,286","1,301","1,296","1,270","1,267","1,254","1,181","1,176","1,158","1,160","1,173","1,174",20,20,17,15,13,13,15,14,16,16,13,13,19,19,20,17,16,820,842,866,897,942,983,995,991,972,969,959,903,900,886,887,897,898,39,40,40,42,40,40,39,39,39,39,40,41,41,41,42,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brownsville, TX",Small,197,204,286,303,327,367,432,461,480,505,521,501,513,512,504,499,494,99,99,97,97,97,97,97,97,97,96,94,94,94,94,94,94,97,32,33,47,50,54,60,71,75,78,83,85,82,84,84,82,82,81,101,101,100,100,100,100,99,99,100,100,99,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
