Table 2-4:  Distribution of Transportation Fatalities by Mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,(R) 2014,,(P) 2015,
 ,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
TOTAL fatalities,"43,975",100.0,"44,276",100.0,"44,873",100.0,"45,292",100,"45,121",100.0,"45,028",100.0,"(R) 45,641",100.0,"(R) 45,061",100.0,"(R) 43,347",100.0,"39,542",100.0,"35,978",100.0,"(R) 35,036",100.0,"(R) 34,570",100.0,"35,696",100.0,"34,685",100.0,"34,641",100.0,"36,982",100.0
Passenger car occupants,"20,862",47.4,"20,699",46.7,"20,320",45.3,"20,569",45.4,"19,725",43.7,"19,192",42.6,"18,512",40.6,"17,925",39.8,"16,614",38.3,"14,646",37.0,"13,135",36.5,"12,491",35.7,"12,014",34.8,"12,361",34.6,"12,037",34.7,"11,947",34.5,"12,628",34.1
"Truck occupants a, light","11,265",25.6,"11,526",26.0,"11,723",26.1,"12,274",27.1,"12,546",27.8,"12,674",28.1,"13,037",28.6,"12,761",28.3,"12,458",28.7,"10,816",27.4,"10,312",28.7,"9,782",27.9,"9,302",26.9,"9,418",26.4,"9,187",26.5,"9,103",26.3,"9,813",26.5
Pedestrians,"4,939",11.2,"4,763",10.8,"4,901",10.9,"4,851",10.7,"4,774",10.6,"4,675",10.4,"4,892",10.7,"4,795",10.6,"4,699",10.8,"4,414",11.2,"4,109",11.4,"4,302",12.3,"4,457",12.9,"4,818",13.5,"4,779",13.8,"4,910",14.2,"5,376",14.5
Motorcyclists,"2,483",5.6,"2,897",6.5,"3,197",7.1,"3,270",7.2,"3,714",8.2,"4,028",8.9,"4,576",10.0,"4,837",10.7,"5,174",11.9,"5,312",13.4,"4,469",12.4,"4,518",12.9,"4,630",13.4,"4,986",14.0,"4,692",13.5,"4,594",13.3,"4,976",13.5
Pedalcyclists,754,1.7,693,1.6,732,1.6,665,1.5,629,1.4,727,1.6,786,1.7,772,1.7,701,1.6,718,1.8,628,1.7,623,1.8,682,2.0,734,2.1,749,2.2,729,2.1,818,2.2
"Highway, other incident b",596,1.4,591,1.3,581,1.3,642,1.4,729,1.6,732,1.6,845,1.9,786,1.7,772,1.8,768,1.9,705,2.0,709,2.0,699,2.0,729,2.0,701,2.0,761,2.2,765,2.1
"Truck occupants a, large",759,1.7,754,1.7,708,1.6,689,1.5,726,1.6,766,1.7,804,1.8,805,1.8,805,1.9,682,1.7,499,1.4,530,1.5,640,1.9,697,2.0,695,2.0,656,1.9,667,1.8
Recreational boating c,734,1.7,701,1.6,681,1.5,750,1.7,703,1.6,676,1.5,697,1.5,710,1.6,685,1.6,709,1.8,736,2.0,672,1.9,758,2.2,651,1.8,560,1.6,610,1.8,626,1.7
"Railroad, trespassers",479,1.1,463,1.0,511,1.1,540,1.2,498,1.1,472,1.0,458,1.0,511,1.1,470,1.1,457,1.2,416,1.2,441,1.3,400,1.2,410,1.1,425,1.2,470,1.4,459,1.2
General aviation d,621,1.4,596,1.3,562,1.3,581,1.3,633,1.4,559,1.2,563,1.2,706,1.6,496,1.1,496,1.3,479,1.3,458,1.3,(R) 458,1.3,(R) 438,1.2,391,1.1,424,1.2,376,1.0
Highway-rail grade crossing,402,0.9,425,1.0,421,0.9,357,0.8,334,0.7,371,0.8,359,0.8,369,0.8,339,0.8,290,0.7,248,0.7,261,0.7,246,0.7,231,0.6,232,0.7,262,0.8,235,0.6
"Transit, other incident",N,N/A,N,N/A,N,N/A,130,0.3,143,0.3,136,0.3,94,0.2,133,0.3,153,0.4,134,0.3,167,0.5,166,0.5,189,0.5,192,0.5,196,0.6,174,0.5,220,0.6
"Rail, other incidents f",42,0.1,39,0.1,33,0.1,39,0.1,29,0.1,35,0.1,34,0.1,17,0.0,33,0.1,30,0.1,27,0.1,25,0.1,30,0.1,24,0.1,32,0.1,31,0.1,52,0.1
Bus occupants,59,0.1,22,0.0,34,0.1,45,0.1,41,0.1,42,0.1,58,0.1,27,0.1,36,0.1,67,0.2,26,0.1,44,0.1,55,0.2,39,0.1,54,0.2,44,0.1,49,0.1
"Water, freight j",N,N/A,N,N/A,N,N/A,48,0.1,39,0.1,37,0.1,33,0.1,37,0.1,42,0.1,34,0.1,30,0.1,22,0.1,18,0.1,14,0.0,19,0.1,18,0.1,40,0.1
Transit passenger/occupant,N,N/A,N,N/A,N,N/A,47,0.1,51,0.1,33,0.1,48,0.1,20,0.0,26,0.1,30,0.1,48,0.1,49,0.1,36,0.1,67,0.2,60,0.2,58,0.2,30,0.1
On-demand air taxi g,38,0.1,71,0.2,60,0.1,35,0.1,42,0.1,64,0.1,18,0.0,16,0.0,43,0.1,69,0.2,17,0.0,17,0.0,41,0.1,12,0.0,25,0.1,20,0.1,27,0.1
"Water, passenger e",N,N/A,15,0.0,0,0.0,48,0.1,52,0.1,55,0.1,52,0.1,91,0.2,79,0.2,65,0.2,62,0.2,87,0.2,96,0.3,84,0.2,26,0.1,14,0.0,14,0.0
"Railroad, train accidents",9,0.0,10,0.0,6,0.0,15,0.0,4,0.0,13,0.0,33,0.1,6,0.0,9,0.0,27,0.1,4,0.0,8,0.0,6,0.0,9,0.0,11,0.0,5,0.0,13,0.0
