Table 2-12:  U.S. Commuter Air Carriera Fatal Accidents by First Phase of Operation,,,,,,,,,,,,,,,,,,,,,,,,,
 ,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,2014
TOTAL fatal accidents,3,8,7,4,3,2,1,5,0,5,1,2,0,1,0,0,1,0,0,0,0,0,0,2,0
Phase of operation ,,,,,,,,,,,,,,,,,,,,,,,,,
Approach / descent / landing,0,3,5,1,2,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Taxi / takeoff / climb,0,0,1,1,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cruise (in-flight),2,2,1,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Standing (static),0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maneuveringb,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other / not reported,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"a 14 CFR 135, scheduled operations. Before Mar. 20, 1997, 14 CFR applied to aircraft with 30 or fewer seats. Since Mar. 20, 1997, 14 CFR 135 includes only aircraft with fewer than 10 seats. This change makes it difficult to compare pre-1997 data with more recent years' data.",,,,,,,,,,,,,,,,,,,,,,,,,
b Includes instructional flights performing turns and agricultural flights for spraying and buzzing (repeated passes over a particular location).,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE,,,,,,,,,,,,,,,,,,,,,,,,,
First Phase of Operation is the part of the flight where the problem leading to the accident first occurs. ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,
"National Transportation Safety Board, personal communications, Dec. 20, 2010, and Aug. 11, 2011, July 18, 2012,  Aug. 7, 2013, Sept. 24, 2014, and Mar. 23, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
