Table 2-13:  U.S. On-Demand Air Taxia Safety Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,(R) 2012,(R) 2013,(P) 2014
Total fatalities,69,105,76,51,78,68,42,63,52,63,39,45,38,71,60,35,42,64,18,16,43,69,17,17,41,12,25,20
Total seriously injured persons ,U,43,44,36,26,19,24,32,14,22,23,10,15,12,24,16,12,17,20,11,20,12,4,3,15,9,16,15
Total accidents,152,171,157,107,88,76,69,85,75,90,82,77,74,80,72,60,73,66,65,52,61,58,47,30,50,36,44,35
"Total accidents, fatal",24,46,35,29,28,24,19,26,24,29,15,17,12,22,18,18,18,23,11,10,14,20,2,6,16,8,10,8
Flight hours (thousands),"2,526","3,618","2,570","2,249","2,241","2,844","2,324","2,465","2,486","3,220","3,098","3,802","3,204","3,930","2,997","2,911","2,927","3,238","3,815","3,742","4,033","3,408","3,064","3,113",U,"3,522","3,384","3,448"
"Rates per 100,000 flight hoursb",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatalities,2.73,2.90,2.96,2.27,3.48,2.39,1.81,2.56,2.09,1.96,1.26,1.18,1.19,1.81,2.00,1.20,1.43,1.98,0.47,0.43,1.07,2.02,0.55,0.55,U,0.34,0.74,0.58
Seriously injured persons,U,1.19,1.71,1.60,1.16,0.67,1.03,1.30,0.56,0.68,0.74,0.26,0.47,0.31,0.80,0.55,0.41,0.53,0.52,0.29,0.50,0.35,0.13,0.10,U,0.26,0.47,0.44
Total accidents,6.02,4.73,6.11,4.76,3.93,2.67,2.97,3.45,3.02,2.80,2.65,2.03,2.31,2.04,2.40,2.06,2.49,2.04,1.70,1.39,1.51,1.70,1.53,0.96,U,1.02,1.30,1.02
"Total accidents, fatal",0.95,1.27,1.36,1.29,1.25,0.84,0.82,1.05,0.97,0.90,0.48,0.45,0.37,0.56,0.60,0.62,0.61,0.71,0.29,0.27,0.35,0.59,0.07,0.19,U,0.23,0.30,0.23
KEY: P = preliminary; R = revised; U = data are unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Air carriers operating under 14 CFR 135, nonscheduled service. Accidents on foreign soil and in foreign waters are excluded.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Rates are computed by dividing the number of Total fatalities, Total seriously injured persons, Total accidents, and Total accidents, fatal by the number of Flight hours. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2011 Flight hours are not currently available, Federal Aviation Administration is engaged in re-calibration efforts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fatalities, accidents and flight hours:",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-80: National Transportation Safety Board, Annual Review of Aircraft Accident Data: U.S. Air Carrier Operations, Calendar Year 1981, NTSB/ARC-85/01 (Washington, DC: February 1985), table 61.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985-2014: National Transportation Safety Board, Aviation Accident Statistics, table 9, available at http://www.ntsb.gov/data/aviation_stats.html as of Mar. 23, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serious injuries:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980-85: Ibid., Annual Review of Aircraft Accident Data: U.S. Air Carrier Operations (Washington, DC: Annual Issues).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-2014: Ibid., Analysis and Data Division, personal communications, July 1, 2010, July 20, 2011, July 20, 2012, Sept. 24, 2014, and Mar. 22, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
