Table 2-34:  Transit Safety Data by Modea for All Reported Incidentsb,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(P) 2013,(P) 2014
"Fatalities, total",339,300,273,281,320,274,264,275,286,299,295,267,289,259,263,249,246,307,264,290,313,323,373,361,314
Motor busc,110,88,99,83,108,82,101,109,109,102,90,95,80,109,82,75,108,105,81,78,84,92,97,103,86
Light rail,7,13,9,15,13,15,6,3,23,17,30,21,13,15,21,19,17,33,16,34,24,36,45,33,39
Heavy rail,117,103,91,83,85,79,74,77,54,84,80,59,73,47,60,35,23,32,67,100,96,96,102,108,93
Commuter rail,104,93,74,98,112,92,72,79,94,95,87,87,116,77,86,105,85,124,93,66,97,97,112,104,85
Demand responsive,0,3,0,2,2,6,11,7,4,1,8,5,6,11,6,12,12,11,7,7,10,2,14,10,10
Van pool,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,1,1,0,4,1,0,2,2,0
Automated guideway,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,1,0,1,1,0,1,1,1
"Injured persons, totalf","54,556","52,125","55,089","52,668","58,193","57,196","55,288","56,132","55,990","55,325","56,697","53,945","20,313","20,175","20,794","19,696","21,433","23,350","26,260","27,870","27,037","22,250","23,099","25,495","22,973"
Motor busc,"40,006","38,619","40,090","38,873","42,195","41,297","39,709","39,181","41,035","41,221","40,925","38,840","12,323","12,537","12,925","12,385","12,852","14,126","14,266","15,470","14,901","11,361","11,872","13,737","13,584"
Light rail,"1,244","1,251","1,268",982,"1,181","1,319","1,604","1,087","1,076","1,271","1,338","1,201",539,556,654,614,656,843,"1,006","1,054",917,766,888,771,917
Heavy rail,"10,036","9,285","10,446","10,532","11,673","11,238","11,093","12,285","11,059","9,665","10,848","10,641","4,833","4,154","4,759","3,814","4,820","5,015","7,264","7,536","7,521","6,688","7,212","7,708","5,286"
Commuter rail,"2,438","2,308","2,546","1,560","2,374","2,374","1,953","2,388","1,677","1,761","1,783","1,813","1,483","1,597","1,364","1,672","1,426","1,548","1,700","1,808","1,928","1,811","1,575","1,574","1,433"
Demand responsive,807,622,713,652,731,935,882,"1,121","1,064","1,345","1,736","1,374","1,070","1,283","1,031","1,180","1,607","1,768","1,979","1,896","1,642","1,500","1,455","1,554","1,669"
Van pool,21,40,19,59,29,25,27,54,67,41,52,40,37,19,46,29,55,39,23,69,39,10,18,62,19
Automated guideway,4,0,7,10,10,8,20,16,12,21,15,36,28,29,15,2,17,11,22,37,89,114,79,89,65
"All incidents, totalf","90,163","83,139","73,531","64,986","70,693","62,471","59,392","61,561","60,094","58,703","59,898","58,149","25,827","22,490","23,490","23,828","26,109","25,468","24,935","25,897","24,664","19,492","20,061","23,473","20,780"
Motor busc,"70,437","63,453","52,182","45,580","49,185","42,780","40,456","40,524","41,616","41,094","41,677","40,321","13,883","12,006","12,593","12,767","14,274","13,601","11,555","12,496","11,466","8,325",8637,10102,9876
Light rail,"1,465","1,543","1,492","1,136","1,413","1,276","1,350","1,173","1,121","1,182","1,319","1,299","1,056",985,939,"1,129","1,130","1,181","1,009",986,810,696,855,838,920
Heavy rail,"12,178","14,102","15,512","15,082","15,869","14,327","13,748","15,151","13,516","12,196","12,782","12,406","6,919","5,534","6,270","5,738","6,267","6,963","8,902","8,697","8,724","7,928",8330,8828,6327
Commuter rail,"3,031","2,716","3,160","2,111","3,115","2,847","2,449","3,078","2,410","2,499","2,072","2,159","1,720","1,749","1,598","1,663","1,575","1,732","1,707","1,937","2,133","1,987","1,723","2,274","2,187"
Demand responsive,"2,965","1,241","1,137",946,"1,062","1,173","1,284","1,454","1,221","1,577","1,871","1,719","2,195","2,171","2,037","2,402","2,816","1,924","1,724","1,716","1,437",429,423,1313,1391
Van pool,84,83,40,121,39,58,80,162,194,135,160,209,31,12,34,123,36,46,12,25,14,8,11,26,11
Automated guideway,3,1,8,10,10,10,25,19,16,20,17,36,23,33,19,6,11,21,26,40,80,119,82,92,68
"Unlinked passenger trips (millions)d, total","7,646","7,380","7,318","7,059","7,335","7,172","7,211","7,615","7,774","8,149","8,337","8,554","8,836","8,738","8,782","9,020","9,234","9,801","10,068","9,932","9,563","9,189","9,990","9,992","10,007"
