"Table 2-38:  Reports of Violent Crime, Property Crime, and Arrests by Transit Mode",,,,,,,,,,,,,,,,,,
,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"Reported Offenses, Violent Crime",,,,,,,,,,,,,,,,,,
Homicidea,19,20,19,51,21,12,16,0,4,1,1,2,4,9,9,14,11,14
Motor bus,8,9,6,40,7,7,8,0,2,0,1,0,4,3,4,6,4,8
Commuter rail,1,1,4,1,3,1,2,0,1,0,0,2,0,0,0,0,0,0
Demand responsive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heavy rail,8,9,8,6,11,4,4,0,1,1,0,0,0,4,4,7,6,4
Light rail,2,1,1,4,0,0,2,0,0,0,0,0,0,2,1,1,1,2
Otherb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forcible rapec,29,38,31,47,27,37,37,65,25,24,23,5,1,4,3,6,7,12
Motor bus,11,13,10,16,14,10,7,40,2,7,11,1,0,1,0,2,2,3
Commuter rail,5,4,7,1,3,3,5,1,3,0,2,0,0,1,0,0,3,0
Demand responsive,0,0,2,4,1,0,1,0,0,1,0,0,0,0,0,0,1,0
Heavy rail,13,19,8,24,8,20,9,20,15,12,4,3,0,2,1,2,1,9
Light rail,0,2,4,2,0,4,2,4,5,4,6,1,1,0,2,2,0,0
Otherb,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0
Robberyd,"2,811","4,563","4,760","3,684","3,789","3,480","3,308","1,641","1,408","1,561","1,656","2,222","2,634","2,799","2,849","2,077",99,124
Motor bus,909,871,870,605,764,916,953,386,369,476,535,730,800,882,915,611,20,22
Commuter rail,181,242,187,133,183,144,144,89,29,44,107,126,110,91,92,76,9,15
Demand responsive,1,3,0,1,3,4,4,7,1,0,2,14,1,5,4,1,0,0
Heavy rail,"1,490","3,164","3,394","2,686","2,588","2,174","1,966",864,762,676,630,861,"1,196","1,239","1,302","1,000",58,69
Light rail,181,238,222,220,200,213,217,287,236,353,377,463,486,554,512,352,12,18
Otherb,49,45,87,39,51,29,24,8,11,12,5,28,41,28,24,37,0,0
Aggravated assaulte,"2,701","3,084","3,105","2,314","2,448","2,217","2,286","2,560","1,638","1,330","1,332","1,768","2,066",310,300,0,0,0
Motor bus,"1,941","1,677","1,294","1,186","1,268","1,070","1,146","1,383",957,774,760,"1,007","1,263",205,192,0,0,0
Commuter rail,133,69,92,80,97,58,109,102,33,78,115,172,107,3,4,0,0,0
Demand responsive,6,13,13,13,14,16,8,24,4,3,6,19,11,0,0,0,0,0
Heavy rail,437,"1,074","1,051",837,903,839,786,815,395,279,249,334,421,60,68,0,0,0
Light rail,157,199,143,170,135,208,187,227,220,184,177,217,235,35,33,0,0,0
Otherb,27,52,512,28,31,26,50,9,29,12,25,19,29,7,3,0,0,0
"Reported Offenses, Property Crime",,,,,,,,,,,,,,,,,,
Theftf,"10,596","13,238","14,486","11,830","12,896","13,393","13,636","12,843","8,146","7,847","6,007","6,409","7,943","8,446","9,267","5,959",4,6
Motor bus,"2,738","3,408","2,920","2,327","2,487","2,548","2,826","2,631","1,846","1,787","1,593","1,520","1,560","1,996","2,236","1,587",0,2
Commuter rail,"2,238","2,262","2,345","2,021","1,872","2,139","2,001","1,912",563,730,"1,224","1,449","1,293","1,255","1,078","1,001",4,4
Demand responsive,2,8,40,15,4,19,5,42,8,4,2,13,1,9,8,8,0,0
Heavy rail,"4,625","6,794","8,321","6,807","7,789","7,856","7,807","7,158","4,802","4,396","2,204","2,527","4,121","4,053","4,695","2,504",0,0
Light rail,451,609,479,496,530,724,706,"1,055",877,915,856,847,919,"1,108","1,202",810,0,0
Otherb,542,157,381,164,214,107,291,45,50,15,128,53,49,25,48,49,0,0
Vehicle theftg,"2,182","2,261","2,276","2,225","1,876","2,112","1,909","2,117","1,800","1,584","1,361","1,051","1,756","1,442","1,008",547,1,1
Motor bus,263,306,198,208,198,169,213,222,149,169,382,229,206,172,125,141,0,0
Commuter rail,253,125,262,470,272,367,308,152,67,63,54,126,84,78,38,20,1,1
Demand responsive,0,1,3,9,28,6,6,5,3,1,0,8,0,5,0,3,0,0
Heavy rail,"1,536","1,694","1,630","1,234","1,203","1,285","1,143","1,426","1,267",966,490,388,"1,140",902,583,140,0,0
Light rail,128,135,179,273,156,279,226,310,306,385,434,298,322,277,254,240,0,0
Otherb,2,0,4,31,19,6,13,2,8,0,1,2,4,8,8,3,0,0
Burglaryh,"1,759","1,650","1,757",491,415,563,625,467,429,601,393,681,"2,947","1,338","1,278","1,289",1,0
Motor bus,156,104,94,75,86,142,120,95,79,160,142,100,"2,125",76,63,27,0,0
Commuter rail,178,177,260,217,170,191,188,78,83,96,112,154,94,71,45,25,0,0
Demand responsive,2,0,4,3,1,6,2,2,2,1,1,1,1,0,1,0,0,0
Heavy rail,"1,367","1,278","1,343",110,91,82,119,95,53,40,25,54,525,"1,005","1,045",266,0,0
Light rail,43,78,48,70,42,131,180,197,212,303,105,367,195,182,123,970,1,0
Otherb,13,13,8,16,25,11,16,0,0,1,8,5,7,4,1,1,0,0
Arsoni,63,96,75,60,53,50,44,23,23,42,27,26,26,0,1,0,2,1
Motor bus,29,67,33,21,15,24,12,8,9,23,11,13,8,0,1,0,0,1
Commuter rail,14,1,21,10,12,6,9,8,3,2,2,1,3,0,0,0,0,0
Demand responsive,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Heavy rail,14,22,16,27,20,16,15,4,10,7,2,5,8,0,0,0,2,0
Light rail,6,6,5,2,6,4,8,0,1,10,12,6,5,0,0,0,0,0
Otherb,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0
"Reported Offenses, Arrests",,,,,,,,,,,,,,,,,,
Other assaultsj,"2,991","3,088","2,697","2,787","2,641","2,799","2,441","1,589","1,752","1,546","1,530","2,141","2,266","2,748","2,702","2,139",780,916
Motor bus,"1,896","1,571","1,439","1,400","1,217","1,159","1,024",715,800,710,703,"1,023",954,"1,209","1,152","1,065",358,415
Commuter rail,144,106,140,122,164,142,156,72,37,136,181,196,245,217,221,229,39,30
Demand responsive,4,0,16,3,4,3,6,12,2,3,3,29,47,38,28,6,0,0
Heavy rail,645,932,881,898,888,"1,085",999,662,750,572,462,630,708,860,852,502,295,379
Light rail,181,330,195,282,269,354,204,101,153,107,164,214,248,344,376,317,87,90
Otherb,121,149,26,82,99,56,52,27,10,18,17,49,64,80,73,20,1,2
Vandalismk,"17,228","8,627","9,539","6,571","6,895","7,312","2,971","1,130",953,994,"1,298","1,748","1,751","1,493","1,184",843,5,3
Motor bus,"13,343","6,167","5,262","3,656","4,178","4,579","1,410",523,456,429,568,589,673,701,560,416,2,2
Commuter rail,"1,071",309,659,778,507,264,293,145,9,122,276,507,371,252,82,112,0,0
Demand responsive,12,17,8,10,16,7,9,7,2,0,5,5,3,6,0,3,1,0
Heavy rail,"1,157","1,339","1,128","1,067","1,222","1,200",984,190,220,201,209,213,327,257,279,101,0,1
Light rail,"1,505",609,"2,084",947,892,"1,215",246,256,246,235,233,408,346,250,238,179,2,0
