Table 2-40:  Railroad and Grade-Crossing Injured Persons by Victim Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,(R) 2011,(R) 2012,(R) 2013,(P) 2014,(P) 2015
Passengers on trains,593,657,473,382,411,559,497,573,513,601,535,481,658,746,877,727,703,959,935,"1,516","1,338","1,208","1,369","1,582","1,588","1,695","1,427","1,605"
Railroad only,569,646,462,360,329,515,413,543,489,558,516,438,648,726,851,653,675,926,840,"1,444","1,237","1,147","1,255","1,337","1,409","1,586","1,349","1,425"
Grade crossing,24,11,11,22,82,44,84,30,24,43,19,43,10,20,26,74,28,33,95,72,101,61,114,245,179,109,78,180
Employees on duty,"56,331","29,822","20,970","19,626","17,755","15,363","13,080","10,777","9,199","8,595","8,398","8,622","8,423","7,815","6,644","6,258","6,022","5,822","5,275","5,462","5,000","4,500","4,411","4,228","3,991","4,292","4,471","4,332"
Railroad only,"56,186","29,667","20,801","19,479","17,598","15,220","12,955","10,654","9,120","8,484","8,276","8,482","8,323","7,718","6,534","6,182","5,906","5,711","5,179","5,461","4,999","4,498","4,408","4,224","3,986","4,286","4,464","4,324"
Grade crossing,145,155,169,147,157,143,125,123,79,111,122,140,100,97,110,76,116,111,96,1,1,2,3,4,5,6,7,8
Employees not on duty,671,419,326,362,310,348,306,252,228,263,219,216,286,209,213,226,200,172,169,177,160,148,134,124,87,123,131,139
Railroad only,669,418,324,362,309,347,305,248,226,260,216,215,283,208,213,226,196,169,167,176,159,148,134,124,87,122,130,139
Grade crossing,2,1,2,0,1,1,1,4,2,3,3,1,3,1,0,0,4,3,2,1,1,0,0,0,0,1,1,0
Contractor employees,74,110,242,219,226,262,252,269,208,334,380,384,368,383,375,372,360,415,209,445,439,359,445,439,360,433,453,417
Railroad only,74,109,240,216,224,261,251,268,208,333,379,384,367,380,374,370,359,413,209,415,436,356,443,437,358,432,452,417
Grade crossing,0,1,2,3,2,1,1,1,0,1,1,0,1,3,1,2,1,2,0,30,3,3,2,2,2,1,1,0
Nontrespassersa,"3,849","2,562","2,339","2,110","1,909","1,856","1,913","1,869","1,660","1,540","1,236","1,342","1,294","1,201","2,380","1,058","1,247","1,495","1,295","1,373","1,435","1,248","1,391","1,477","1,789","1,512","1,549","1,637"
Railroad only,384,285,349,423,408,432,475,372,431,370,243,335,381,388,"1,732",393,553,858,597,803,882,865,930,965,"1,300",964,"1,047","1,166"
Grade crossing,"3,465","2,277","1,990","1,687","1,501","1,424","1,438","1,497","1,229","1,170",993,"1,007",913,813,648,665,694,637,698,570,553,383,461,512,489,548,502,471
Trespassers,728,734,793,769,772,733,764,700,750,728,677,650,606,627,609,616,657,684,707,688,689,569,621,583,634,666,652,688
Railroad only,474,492,560,534,540,509,452,461,474,516,513,445,414,404,395,398,406,420,477,407,432,345,390,366,410,434,424,416
Grade crossing,254,242,233,235,232,224,312,239,276,212,164,205,192,223,214,218,251,264,230,281,257,224,231,217,224,232,228,272
Volunteer employees,N,N,N,N,N,N,N,N,N,6,14,5,8,4,5,7,5,1,6,6,4,5,5,1,2,3,6,3
Railroad only,N,N,N,N,N,N,N,N,N,6,13,5,8,4,5,7,5,1,6,6,4,5,5,1,1,3,6,3
Grade crossing,N,N,N,N,N,N,N,N,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Railroad only and grade crossing, total","62,246","34,304","25,143","23,468","21,383","19,121","16,812","14,440","12,558","12,067","11,459","11,700","11,643","10,985","11,103","9,264","9,194","9,548","8,596","9,667","9,065","8,037","8,376","8,434","8,451","8,724","8,689","8,821"
Railroad only,"58,356","31,617","22,736","21,374","19,408","17,284","14,851","12,546","10,948","10,521","10,143","10,299","10,416","9,824","10,099","8,222","8,095","8,497","7,469","8,706","8,145","7,359","7,560","7,454","7,551","7,827","7,872","7,890"
