Table 3-1:  U.S. Gross Domestic Product (GDP) Attributed to For-Hire Transportation Services (Billions of current dollars),,,,,,,,,,,,,,,,,,,,,,,
,1980,1985,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,(R) 2012,(R) 2013,2014
TOTAL U.S. GDP,"2,788.1","4,217.5","5,800.5","7,414.7","7,838.5","8,608.5","9,089.2","9,660.6","10,284.8","10,621.8","10,977.5","11,510.7","12,274.9","13,093.7","13,855.9","14,477.6","14,718.6","14,418.7","14,964.4","15,517.9","16,155.3","16,663.2","17,348.1"
"For-hire transportation services GDP, total",102.6,137.1,172.8,231.7,241.3,256.1,278.2,288.3,305.6,307.8,305.3,320.9,351.1,375.1,407.6,409.6,422.4,398.8,425.1,446.9,467.4,483.5,505.7
Air transportation,13.1,19.3,31.3,46.2,46.9,53.1,53.5,56.1,56.0,48.0,51.0,53.1,58.7,60.0,64.6,68.8,64.0,63.7,72.2,74.3,75.4,81.8,84.0
Rail transportation,20.2,21.0,18.6,21.1,20.9,20.0,22.2,22.6,23.3,23.4,21.8,23.5,25.4,28.1,32.2,32.4,37.6,33.7,35.0,37.9,41.8,43.8,46.2
Water transportation,3.5,4.0,5.1,6.3,6.6,6.6,6.5,6.6,8.1,8.5,7.3,8.6,9.0,9.3,13.2,14.7,16.9,16.6,15.9,15.5,15.0,17.1,18.5
Truck transportation,28.4,39.4,49.7,69.3,73.1,77.4,85.8,92.5,98.3,97.6,97.3,101.6,109.3,116.8,125.2,123.0,119.9,109.3,113.3,121.7,128.3,129.0,135.1
Transit and ground passenger transportation,5.8,7.3,9.0,11.8,12.8,15.1,16.1,17.6,18.3,19.0,19.4,21.4,23.1,23.6,25.9,26.3,26.9,27.2,28.0,29.5,30.6,31.5,32.7
Pipeline transportation,5.1,7.3,6.0,6.7,7.1,6.9,9.8,10.4,9.3,16.3,10.2,10.5,10.9,10.1,11.0,13.4,15.9,14.0,18.7,19.4,22.4,23.4,25.7
Other transportation and support activities,20.2,29.3,39.9,51.6,54.3,55.9,59.7,58.0,65.7,69.3,71.9,73.5,81.2,89.1,94.7,89.9,95.8,88.4,95.7,101.8,104.9,107.5,112.3
Warehousing and storage,6.4,9.5,13.0,18.8,19.6,21.0,24.6,24.4,26.5,25.6,26.4,28.6,33.6,38.1,40.8,41.3,45.5,45.9,46.2,46.6,49.1,49.5,51.1
Percent of U.S. GDP,,,,,,,,,,,,,,,,,,,,,,,
For-hire transportation services,3.68,3.25,2.98,3.12,3.08,2.97,3.06,2.98,2.97,2.90,2.78,2.79,2.86,2.86,2.94,2.83,2.87,2.77,2.84,2.88,2.89,2.90,2.92
Air transportation,0.47,0.46,0.54,0.62,0.60,0.62,0.59,0.58,0.54,0.45,0.46,0.46,0.48,0.46,0.47,0.48,0.43,0.44,0.48,0.48,0.47,0.49,0.48
Rail transportation,0.72,0.50,0.32,0.28,0.27,0.23,0.24,0.23,0.23,0.22,0.20,0.20,0.21,0.21,0.23,0.22,0.26,0.23,0.23,0.24,0.26,0.26,0.27
Water transportation,0.13,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.07,0.10,0.10,0.11,0.12,0.11,0.10,0.09,0.10,0.11
Truck transportation,1.02,0.93,0.86,0.93,0.93,0.90,0.94,0.96,0.96,0.92,0.89,0.88,0.89,0.89,0.90,0.85,0.81,0.76,0.76,0.78,0.79,0.77,0.78
