Table 3-3: U.S. Gross Domestic Product (GDP) Attributed to Transportation Functions (Billions of current dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,(R) 2014,2015
Gross Domestic Product,"2,862.5","4,346.7","5,979.6","6,174.0","6,539.3","6,878.7","7,308.8","7,664.1","8,100.2","8,608.5","9,089.2","9,660.6","10,284.8","10,621.8","10,977.5","11,510.7","12,274.9","13,093.7","13,855.9","14,477.6","14,718.6","14,418.7","14,964.4","15,517.9","16,155.3","16,691.5","17,393.1","18,036.6"
Total transportation-related final demanda,332.6,486.4,598.3,595.8,638.0,682.7,742.0,772.1,828.1,(R) 896.4,931.1,"1,009.4","1,059.9","1,052.6","1,075.4","1,097.3","1,160.5","1,248.2","1,312.4","1,391.1","1,359.7","1,175.6","1,320.2","1,467.1","1,560.5","1,608.0","1,661.1","1,630.6"
Total transportation in GDP (percent),11.6,11.2,10.0,9.7,9.8,9.9,10.2,10.1,10.2,(R) 10.4,10.2,10.4,10.3,9.9,9.8,9.5,9.5,9.5,9.5,9.6,9.2,8.2,8.8,9.5,9.7,9.6,9.6,9.0
"Personal consumption of transportation, total",226.5,357.4,442.9,418.3,451.3,485.3,528.2,554.0,599.0,641.8,668.6,729.0,795.3,810.5,813.1,846.0,899.3,960.8,993.0,"1,032.7","1,009.6",867.0,942.2,"1,052.0","1,105.8","1,136.2","1,168.1","1,116.2"
Motor vehicles and parts,84.4,170.1,205.1,185.7,204.8,224.7,249.8,255.7,273.5,293.1,320.2,350.7,363.2,383.3,401.3,401.5,409.3,410.0,395.0,400.6,339.6,317.1,342.0,363.5,395.8,416.1,442.8,464.8
"Motor vehicle fuels, lubricants, and fluids",86.7,97.2,111.4,108.9,112.9,114.5,116.5,120.4,130.5,134.4,120.8,134.2,168.6,162.5,153.6,179.0,213.4,261.4,295.9,319.9,358.3,260.2,307.3,380.4,390.5,385.6,371.2,283.0
Transportation services,55.4,90.1,126.4,123.7,133.6,146.1,161.9,177.9,195.0,214.3,227.6,244.1,263.5,264.7,258.2,265.5,276.6,289.4,302.1,312.2,311.7,289.7,292.9,308.1,319.5,334.5,354.1,368.4
"Gross private domestic investment, total",51.6,73.7,73.4,74.6,78.3,93.3,111.9,120.5,128.6,141.6,154.3,180.9,177.6,161.2,148.4,140.7,166.0,186.7,203.0,197.8,156.1,79.7,137.4,183.4,224.0,251.6,284.0,321.6
Transportation structures,3.2,4.7,3.4,3.1,3.6,3.9,4.2,4.4,5.4,6.1,7.2,6.5,6.8,7.0,6.8,6.6,6.8,7.1,8.7,9.0,9.9,9.1,9.9,9.5,10.9,11.0,12.2,13.5
Transportation equipment,48.4,69.0,70.0,71.5,74.7,89.4,107.7,116.1,123.2,135.5,147.1,174.4,170.8,154.2,141.6,134.1,159.2,179.6,194.3,188.8,146.2,70.6,127.5,173.9,213.1,240.6,271.8,308.1
"Exports ( + ), total",45.7,57.5,105.7,115.0,122.7,122.9,129.8,132.5,141.7,162.7,171.7,171.4,174.3,169.7,171.2,168.7,183.0,206.9,229.3,260.1,270.5,218.7,255.6,293.2,324.4,344.5,363.6,358.6
"Civilian aircraft, engines, and parts",14.1,13.5,32.2,36.6,37.7,32.8,31.5,26.1,30.8,41.4,53.5,52.9,48.1,52.6,50.4,46.7,46.1,55.9,64.5,73.0,74.0,74.8,71.9,80.4,94.3,105.0,113.1,119.5
"Automotive vehicles, engines, and parts",17.4,24.9,36.2,39.9,46.9,51.6,57.5,61.4,64.4,73.4,72.5,75.3,80.4,75.4,78.9,80.6,89.2,98.4,107.3,121.3,121.5,81.7,112.0,133.0,146.2,152.7,159.8,151.9
Transport,14.2,19.1,37.3,38.5,38.1,38.5,40.8,45.0,46.5,47.9,45.7,43.2,45.8,41.7,41.9,41.4,47.7,52.6,57.5,65.8,75.0,62.2,71.7,79.8,83.9,86.8,90.7,87.2
"Imports ( - ), total",46.8,92.3,134.2,132.2,138.5,149.3,168.5,176.1,184.6,203.1,220.7,251.6,279.0,273.9,279.8,291.2,320.8,340.1,362.5,372.3,352.7,254.0,331.5,372.1,423.6,447.2,477.0,502.4
"Civilian aircraft, engines, and parts",3.1,5.3,10.5,11.7,12.6,11.3,11.3,10.7,12.7,16.6,21.8,23.8,26.4,31.4,25.5,24.1,24.3,25.8,28.5,34.5,35.5,30.7,31.3,35.5,40.1,47.0,53.3,55.2
"Automotive vehicles, engines, and parts",28.3,64.9,88.2,85.5,91.5,102.1,118.1,123.7,128.7,139.4,148.6,178.2,195.0,188.7,202.8,209.2,227.3,238.7,256.0,258.5,233.2,159.2,225.6,255.2,298.5,309.6,329.5,350.1
Transport,15.4,22.1,35.5,35.0,34.4,35.9,39.1,41.7,43.2,47.1,50.3,49.6,57.6,53.8,51.5,57.9,69.2,75.6,78.0,79.3,84.0,64.1,74.6,81.4,85.0,90.6,94.2,97.1
Net exports of transportation-related goods and servicesb,-1.1,-34.8,-28.5,-17.2,-15.8,-26.4,-38.7,-43.6,-42.9,-40.4,-49.0,-80.2,-104.7,-104.2,-108.6,-122.5,-137.8,-133.2,-133.2,-112.2,-82.2,-35.3,-75.9,-78.9,-99.2,-102.7,-113.4,-143.8
"Government transportation-related purchases, total",60.2,84.0,111.9,123.7,122.9,126.8,133.2,135.5,140.8,148.3,155.4,167.3,179.8,194.4,205.3,220.3,225.7,236.8,250.3,269.9,288.5,297.1,304.2,309.3,307.5,305.3,314.1,329.1
Federal purchasesc,7.4,10.5,12.8,14.5,15.3,16.2,17.5,16.5,17.2,17.5,18.5,18.5,19.0,20.6,24.8,29.1,28.4,29.8,31.5,31.4,34.9,35.9,38.9,40.9,41.7,39.0,39.4,41.2
State and local purchasesc,48.6,67.3,90.3,93.5,96.2,101.3,107.3,110.6,115.0,122.6,128.4,139.8,151.8,163.8,170.3,174.6,180.6,191.1,203.9,218.8,232.9,238.7,240.6,243.8,247.0,251.3,260.3,274.7
Defense-related purchasesd,4.2,6.2,8.8,15.7,11.4,9.3,8.4,8.4,8.6,8.2,8.5,9.0,9.0,10.0,10.2,16.6,16.7,15.9,14.9,19.7,20.7,22.5,24.7,24.6,18.8,15.0,14.4,13.2
Change in Private Inventories by Industry,-4.6,6.1,-1.4,-3.6,1.3,3.7,7.4,5.7,2.6,(R) 5.1,1.8,12.4,11.9,-9.3,17.2,12.8,7.3,-2.9,-0.7,2.9,-12.3,-32.9,12.3,1.3,22.4,17.6,8.3,7.5
KEY: R = revised.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Sum of total Personal consumption of transportation, total Gross private domestic investment, Net exports of transportation-related goods and services, and total Government transportation-related purchases. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
b Exports minus Imports.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c Federal purchases and State and local purchases are the sum of consumption expenditures and gross investment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d Defense-related purchases are the sum of transportation of material and travel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This table is not comparable with the previous'  version since the categories for ""Export"" and ""Import"" were changed based on US Bureau of Economic Analysis' reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Commerce, Bureau of Economic Analysis, National Income and Product Accounts Tables, tables 1.1.5, 2.4.5, 3.11.5, 3.15.5, 4.2.5, 5.4.5, 5.5.5, and 5.7.5B, available at http://www.bea.gov/National/nipaweb/SelectTable.asp?Selected=N as of Sep. 29, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
