Table 3-15: Personal Expenditures by Category (Millions of current dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,(R) 2012,(R) 2013,(R) 2014,2015
Total expenditures,"331,578","443,582","647,688","1,032,755","1,754,616","2,722,674","3,825,630","3,960,151","4,215,654","4,471,002","4,741,018","4,984,178","5,268,071","5,560,720","5,903,033","6,307,022","6,792,396","7,103,104","7,384,053","7,765,529","8,260,018","8,794,112","9,303,992","9,750,505","10,013,648","9,846,968","10,202,191","10,689,299","11,050,627","11,361,174","11,863,366","12,283,683"
Transportation,"(R) 40,766","56,529","(R) 76,502","(R) 124,391","(R) 226,485","357,415","442,931","418,274","(R) 451,284","485,332","528,231","(R) 554,065","598,935","(R) 641,819","668,623","(R) 729,011","795,384","(R) 810,478","(R) 813,117","845,959","(R) 899,250","(R) 960,769","(R) 992,932","(R) 1,032,708","1,009,672","866,981","(R) 942,142","(R) 1,051,990","1,105,743","1,136,249","1,168,011","1,116,236"
Transportation as a percent of total expenditures,12.3,12.7,11.8,12.0,12.9,13.1,11.6,10.6,10.7,10.9,11.1,11.1,11.4,11.5,11.3,11.6,11.7,11.4,11.0,10.9,10.9,10.9,10.7,10.6,10.1,8.8,9.2,9.8,10.0,10.0,9.8,9.1
Food and beverage,"83,041","101,623","145,130","225,387","360,888","477,253","653,911","676,347","690,778","711,879","740,407","759,884","788,437","818,204","849,273","895,860","949,361","983,666","1,011,363","1,061,478","1,129,028","1,198,859","1,266,512","1,332,965","1,385,350","1,370,292","1,406,610","1,478,650","1,533,918","1,568,374","1,645,088","1,709,474"
Clothing and footwear,"(R) 29,262","36,483","49,944","71,433","108,834","154,309","206,534","(R) 210,118","(R) 223,025","231,122","(R) 240,072","244,705","(R) 253,502","(R) 262,011","273,082","(R) 287,191","297,541","294,642","(R) 295,169","301,463","(R) 313,500","326,573","336,346","(R) 339,726","335,351","(R) 321,608","335,798","(R) 354,578","370,080","379,965","387,780","396,759"
Communication,"5,206","(R) 7,536","(R) 11,606","(R) 19,956","(R) 31,797","53,104","70,093","73,870","81,142","85,767","93,263","98,943","108,317","120,106","(R) 129,495","142,299","(R) 158,256","(R) 164,927","168,929","174,388","(R) 181,117","(R) 186,987","201,197","216,417","(R) 230,691","(R) 230,567","(R) 239,590","(R) 253,714","264,630","270,914","288,171","296,866"
Final consumption expenditures of nonprofit institutions serving  households,"5,059","6,962","10,474","17,013","30,033","47,907","75,861","80,127","87,934","90,065","97,762","102,328","110,044","105,588","123,807","138,229","158,041","179,082","198,342","205,512","206,372","210,268","239,185","248,780","282,144","276,017","275,350","274,999","292,870","304,851","313,562","327,910"
Health,"(R) 20,362","(R) 31,978","56,849","(R) 102,718","195,473","345,323","(R) 583,725","638,374","700,443","(R) 741,682","779,896","(R) 826,008","(R) 868,313","(R) 919,881","(R) 979,652","(R) 1,033,335","(R) 1,109,594","1,209,403","(R) 1,317,081","(R) 1,411,307","(R) 1,516,185","1,614,016","1,717,339","(R) 1,826,827","1,914,173","2,000,918","2,080,439","(R) 2,176,926","2,266,212","2,322,992","2,446,456","2,602,443"
Household operationa,"26,179","34,706","46,617","(R) 67,804","(R) 110,736","(R) 155,992","200,559","(R) 199,110","(R) 209,399","221,891","(R) 238,615","(R) 251,693","(R) 263,722","277,270","297,117","320,243","343,425","352,401","(R) 365,296","(R) 380,369","407,131","(R) 431,154","(R) 449,922","453,747","442,035","(R) 409,813","417,317","(R) 435,205","452,360","468,552","487,975","506,312"
"Housing, utilities, and fuels","60,525","80,999","113,786","(R) 184,844","327,662","(R) 513,936","(R) 709,298","(R) 747,524","783,255","827,304","876,082","(R) 926,674","976,690","1,023,056","1,077,040","1,135,488","1,214,463","(R) 1,302,992","(R) 1,347,873","(R) 1,411,556","(R) 1,488,440","1,605,961","1,706,098","(R) 1,783,811","1,869,894","1,905,264","1,935,142","1,989,006","2,021,768","2,080,791","2,170,575","2,253,892"
Financial services and insurance,"13,551","19,395","31,073","54,018","95,609","188,094","247,390","266,788","295,090","332,586","346,875","366,379","392,349","429,244","467,277","509,124","566,284","552,822","562,584","588,472","635,347","689,633","724,208","768,491","771,483","718,956","763,238","795,799","789,303","830,742","885,667","921,054"
Recreation,"(R) 19,712","28,891","(R) 47,016","77,053","(R) 127,439","207,163","(R) 314,744","(R) 326,271","(R) 346,840","378,423","(R) 413,997","(R) 449,769","(R) 481,537","(R) 509,503","544,345","(R) 589,944","(R) 633,685","(R) 646,980","(R) 669,336","(R) 704,292","758,713","804,574","(R) 854,113","(R) 893,840","(R) 899,642","861,781","888,288","(R) 922,796","968,157","1,003,037","1,041,847","1,087,027"
Education ,"(R) 3,361","5,465","(R) 9,913","15,886","(R) 25,444","(R) 41,171","(R) 65,957","70,561","76,442","(R) 81,087","86,364","92,304","99,626","107,120","(R) 115,245","123,931","(R) 134,290","143,615","(R) 149,528","159,516","168,997","180,507","(R) 193,073","205,998","218,374","229,051","244,931","256,286","262,459","269,168","278,590","288,267"
"Foreign travel, net","2,121","2,858","4,514","4,445","3,540","(R) 7,741","-7,673","-(R) 15,220","-(R) 20,034","-20,674","-17,417","-21,291","-(R) 24,236","-(R) 21,480","-(R) 15,645","-26,984","-26,424","-15,804","-11,366","-5,303","-(R) 3,121","-4,730","-(R) 1,463","-(R) 10,410","-(R) 18,138","-(R) 16,990","-(R) 27,297","-33,725","-31,775","-48,784","-52,030","-56,887"
