Table 3-19:  Average Passenger Fares (Chained 2009 dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Air carrier, domestic, scheduled service",139.59,138.90,139.28,136.07,123.74,112.95,118.58,119.77,115.08,114.78,113.67,115.77,125.57,122.03,120.55,121.08,121.83,121.71,123.29,126.49,124.48,(R) 118.01,(R) 118.68,(R) 117.16,(R) 112.28,(R) 105.41,(R) 105.99,(R) 106.01,(R) 100.89,(R) 104.35,99.99
"Class I bus, intercitya",25.14,26.36,29.05,26.55,32.13,23.24,33.12,34.19,32.56,33.90,31.46,32.97,36.79,33.38,35.17,38.85,41.80,41.61,40.12,U,U,U,U,U,U,U,U,U,U,U,U
"Transit, all modesb (unlinked)",1.46,1.44,1.32,1.40,1.08,1.21,1.23,1.25,1.22,1.27,1.38,1.39,1.35,1.28,1.31,1.31,1.34,1.28,1.23,1.22,1.21,1.19,1.40,1.16,1.17,1.17,1.17,1.20,1.18,1.20,1.21
Commuter railc,5.12,5.60,5.62,5.39,4.42,5.69,4.25,4.29,4.34,4.27,4.37,4.07,3.96,4.03,3.92,3.79,3.71,3.65,3.58,3.92,4.42,4.57,4.33,4.53,4.58,4.68,4.57,4.96,5.13,5.25,5.56
Intercity rail / Amtrakd,33.78,30.91,21.34,67.16,55.58,52.25,57.96,58.70,57.29,55.49,53.55,51.91,52.84,55.28,53.35,53.86,58.13,57.64,60.56,55.84,60.35,57.69,57.97,61.63,60.28,58.88,57.31,58.99,60.99,(R) 63.43,67.33
KEY: R = revised; U = data are not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Regular route Intercity service.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Prior to 1984, excludes commuter railroad, automated guideway, urban ferryboat, demand responsive, and most rural and smaller systems.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c This category is now deflated using the railway transportation instead of mass transit deflator and the Intercity rail deflator used in previous editions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d Amtrak began operations in 1971.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chained (2009) dollar series are calculated as the product of the chain-type quantity index and the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This table is deflated using data from the Department of Commerce, Bureau of Economic Analysis, National Income and Product Accounts tables, table 2.4.4U. Lines 203, 199, 201 and 197 are used respectively to deflate their corresponding rows.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This table (Chained 2009 dollars) is not comparable with the previous'  version (Chained 2005 dollars ). Chained 2005 dollars estimates for earlier years can be found in the 2013 edition of NTS, table 3-19.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air carrier, domestic, scheduled service:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
