Table 3-20:  Average Passenger Revenue per Passenger-Mile (Current cents),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,,
"Air carrier, domestic, scheduled service",6.1,6.1,6.0,7.7,11.5,12.2,13.4,13.2,12.9,13.8,13.2,13.5,13.8,14.0,14.1,14.0,14.6,13.2,12.0,12.7,12.2,12.3,13.1,13.1,13.8,12.1,13.0,13.9,(R) 13.8,14.2,,,,
Index (1990 = 100),45,45,45,57,86,91,100,99,96,103,98,101,103,104,105,104,108,99,89,94,91,92,98,97,103,90,97,104,(R) 103,106 ,,,,
Commuter rail,U,U,U,U,U,U,13.4,13.0,13.3,14.3,13.5,13.1,13.7,14.7,14.4,14.9,14.6,15.1,15.2,16.2,16.6,18.2,18.0,17.8,19.6,19.5,20.7,21.5,22.9,22.9,,,,
Index (1990 = 100),NA,NA,NA,NA,NA,NA,100,97,99,107,101,97,102,109,107,111,109,112,113,121,124,136,134,132,146,145,154,160,171,170,,,,
Intercity / Amtraka,3.0,3.1,4.0,6.4,8.0,11.3,14.1,14.1,14.1,14.0,13.7,14.6,16.6,17.3,17.5,18.4,23.2,24.9,26.8,25.0,26.0,27.2,29.7,30.7,31.8,30.8,31.0,33.0,33.9,35.4,,,,
Index (1990 = 100),21,22,28,45,57,80,100,100,100,99,97,103,118,123,124,130,165,176,190,177,184,192,210,217,225,218,220,234,240,251,,,,
Consumer Price Index (1990 = 100),23,24,30,41,63,82,100,104,107,111,113,117,120,123,125,127,132,136,138,141,145,149,154,159,165,164,167,172,(R) 176,178,,,,
KEY: NA = not applicable; R = Revised; U = data are unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Amtrak began operations in 1971.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bureau of Transportation Statistics rebased the consumer price index from 1982-84=100 to 1990=100. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air carrier, domestic, scheduled service:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
