"Table 3-36:  Transportation Expenditures by Mode and Level of Government from Own Funds, Fiscal Year (Chained 2009 $ millions)",,,,,,,,,,,,,,,,,,
,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"TOTAL, all modes","260,897","264,292","270,798","276,083","295,877","299,585","330,345","343,536","345,341","327,157","324,813","321,730","332,124","342,889","362,297","355,900","340,592","347,604"
Federal,"69,170","67,564","67,789","67,095","73,769","74,762","91,012","100,696","102,085","90,766","89,034","81,814","80,804","87,109","91,823","91,492","84,594","85,361"
State and local,"191,728","196,727","203,009","208,988","222,108","224,824","239,333","242,840","243,256","236,391","235,779","239,916","251,320","255,779","270,474","264,409","255,998","262,243"
"Highways, total","168,739","172,818","176,634","180,802","190,643","198,309","204,770","211,234","209,663","201,719","201,942","206,738","217,746","218,410","229,364","231,476","222,374","229,147"
Federal,"31,324","31,524","31,984","30,461","33,430","37,994","39,852","42,146","41,214","39,729","37,998","38,832","38,296","40,291","42,435","48,594","42,839","45,055"
State and local,"137,415","141,294","144,650","150,341","157,213","160,314","164,918","169,088","168,449","161,990","163,944","167,906","179,451","178,119","186,930","182,882","179,535","184,092"
"Air, total","32,656","32,518","32,980","34,031","39,233","32,561","49,129","54,251","45,879","47,508","47,922","47,226","45,080","48,236","49,634","44,734","42,113","41,763"
Federal,"19,601","19,040","17,748","18,548","21,226","14,640","28,459","33,134","24,513","25,939","27,556","27,712","26,012","27,019","26,884","21,149","20,622","19,787"
State and local,"13,055","13,477","15,232","15,483","18,007","17,921","20,671","21,117","21,366","21,569","20,366","19,514","19,068","21,218","22,750","23,586","21,491","21,976"
"Transit, total","46,485","46,402","48,269","48,738","54,215","56,641","60,953","63,195","60,751","62,074","61,025","53,760","54,490","61,415","66,002","63,079","59,449","60,394"
Federal,"8,889","8,449","9,433","9,755","11,774","14,388","15,228","15,284","14,704","14,319","14,049","5,964","6,677","9,908","11,273","10,390","9,417","9,080"
State and local,"37,595","37,954","38,835","38,983","42,442","42,254","45,725","47,911","46,048","47,755","46,976","47,796","47,814","51,507","54,729","52,688","50,033","51,314"
"Water, total","10,193","9,794","9,989","9,813","10,081","9,924","13,213","10,207","13,943","12,207","10,835","10,996","11,807","11,957","13,874","13,002","13,094","12,477"
Federal,"6,603","5,868","5,792","5,721","5,720","5,647","5,279","5,595","6,630","7,387","6,419","6,353","6,857","7,057","7,860","7,801","8,205","7,660"
State and local,"3,590","3,926","4,197","4,091","4,361","4,277","7,934","4,612","7,312","4,820","4,416","4,644","4,949","4,900","6,015","5,202","4,889","4,817"
"Rail, total","1,693","1,627","1,815","1,641",635,"1,069","1,021","1,752","1,556","1,843","1,688","1,653","1,563","1,485","1,837","2,596","2,279","2,107"
Federal,"1,653","1,586","1,757","1,588",587,"1,051",979,"1,696","1,528","1,819","1,648","1,631","1,558","1,484","1,837","2,596","2,279","2,107"
State and local,40,41,58,53,48,18,41,56,27,24,40,22,5,1,0,0,0,0
"Pipeline, total",68,102,94,102,100,105,81,114,155,85,97,100,99,96,117,122,123,103
Federal,52,85,76,83,80,87,62,90,132,73,76,79,79,73,82,93,93,80
State and local,16,17,18,19,20,18,19,25,24,12,22,21,20,23,35,29,30,23
"General support, total","1,065","1,031","1,016",956,970,976,"1,179","2,782","13,394","1,721","1,304","1,256","1,339","1,289","1,469",891,"1,160","1,613"
Federal ,"1,048","1,013",998,939,953,955,"1,153","2,751","13,364","1,501","1,289","1,243","1,325","1,277","1,453",870,"1,140","1,592"
State and local,17,18,18,18,17,22,26,31,30,220,16,13,14,12,16,21,20,21
NOTES,,,,,,,,,,,,,,,,,,
Numbers may not add to totals due to rounding. ,,,,,,,,,,,,,,,,,,
Federal expenditures from own funds include all amounts of money paid out by the federal government including not only direct spending but also grants to state and local governments.  State and local expenditures from own funds include outlays of the state and local governments from all sources of funds excluding federal grants. ,,,,,,,,,,,,,,,,,,
Local government outlays for highway are not included in 2009 due to lack of data. ,,,,,,,,,,,,,,,,,,
This edition is not comparable to the previous' edition.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,
"U.S. Department of Transportation, Bureau of Transportation Statistics, Government Transportation Financial Statistics 2014 available at http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/government_transportation_financial_statistics/2014/index.html as of August 2016. ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
