"Table 4-11M:  Light Duty Vehicle, Short Wheel Base and Motorcycle Fuel Consumption and Travel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,2014,,,,,,,,,,,,,,,,,,
Vehicles registered (thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Light duty vehicles, short wheel base","61,671","75,258","89,244","106,706","121,601","127,885","133,700","128,300","126,581","127,327","127,883","128,387","129,728","129,749","131,839","132,432","133,621","137,633","135,921","135,670","136,431","136,568","135,400","196,491","196,763","193,980","190,203","183,523","183,172","184,497","187,555",,,,,,,,,,,,,,,,,,
Motorcycles,574,"1,382","2,824","4,964","5,694","5,444","4,259","4,177","4,065","3,978","3,757","3,897","3,872","3,826","3,879","4,152","4,346","4,903","5,004","5,370","5,768","6,227","6,679","7,138","7,753","7,930","8,010","8,438","8,455","8,405","8,418",,,,,,,,,,,,,,,,,,
Vehicle-kilometers traveled (millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Light duty vehicles, short wheel basea","944,685","1,163,556","1,475,768","1,664,062","1,789,591","2,006,852","2,265,956","2,185,489","2,208,020","2,212,848","2,262,738","2,314,237","2,365,501","2,418,129","2,493,802","2,525,222","2,575,412","2,620,546","2,669,055","2,690,950","2,735,708","2,749,437","2,720,651","3,386,729","3,258,531","3,243,977","3,260,120","3,293,172","3,319,799","3,338,460","3,334,676",,,,,,,,,,,,,,,,,,
Motorcycles,U,U,"4,828","9,012","16,415","14,645","15,450","14,806","15,450","15,933","16,415","15,772","15,965","16,224","16,549","17,033","16,848","15,512","15,372","15,413","16,290","16,824","19,392","34,434","33,492","33,510","29,794","29,841","34,416","32,776","32,138",,,,,,,,,,,,,,,,,,
Fuel consumed (million liters),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Light duty vehicles, short wheel basea","155,849","188,222","256,723","280,650","264,911","270,725","263,344","243,466","247,702","253,804","256,931","257,681","262,030","264,571","271,396","277,406","276,582","278,450","285,690","285,627","285,427","293,059","283,940","339,085","323,991","324,249","328,530","334,474","335,388","335,429","338,040",,,,,,,,,,,,,,,,,,
Motorcycles,U,U,227,428,772,689,723,697,723,750,776,742,751,763,779,801,793,731,723,725,766,715,837,"1,798","1,853","1,826","1,615","1,614","1,859","1,770","1,736",,,,,,,,,,,,,,,,,,
Average kilometers traveled per vehicle (thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Light duty vehicles, short wheel basea",15.3,15.5,16.5,15.6,14.7,15.7,16.9,17.0,17.4,17.4,17.7,18.0,18.2,18.6,18.9,19.1,19.3,19.0,19.6,19.8,20.1,20.1,20.1,17.2,16.6,16.7,17.1,17.9,18.1,18.1,17.8,,,,,,,,,,,,,,,,,,
