Table 4-18:  Amtrak Fuel Consumption and Travel ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Number in use,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locomotives,355,419,291,318,316,336,360,338,313,299,332,345,329,378,401,372,442,276,258,319,270,278,274,282,287,485,418
Cars,"1,913","2,128","1,854","1,863","1,786","1,796","1,853","1,852","1,722","1,730","1,728","1,962","1,992","1,894","2,084","2,896","1,623","1,211","1,186","1,191","1,164","1,177","1,214","1,274","1,301","2,090","1,447"
Miles traveled (millions),,,,,,,,,,,,,,,,,,,,,,,,,,,
Train-miles,30,30,30,33,34,34,35,34,32,30,32,33,34,35,36,38,37,37,36,36,37,38,38,37,37,38,38
Car-miles,253,235,251,301,313,307,303,304,292,276,288,312,342,368,378,379,332,308,265,264,267,272,283,295,296,319,325
Train Energy Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric (million of kWhs),180,254,295,330,303,300,301,309,336,363,390,416,443,470,456,518,537,551,531,549,578,582,565,559,555,549,525
Diesel (million gallons),63,64,65,82,82,82,83,74,72,71,76,76,79,95,97,84,75,69,65,62,62,63,62,63,63,63,66
Average miles traveled per car (thousands),132,110,135,162,175,171,164,164,170,160,167,159,172,194,181,131,204,255,223,222,229,231,233,231,228,153,225
KEY:  kWh = kilowatt hour.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of locomotives and cars:,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975–80: National Passenger Railroad Corporation (Amtrak), State and Local Affairs Department, personal communication.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985–2000: Ibid., Amtrak Annual Report, Statistical Appendix (Washington, DC: Annual Issues).",,,,,,,,,,,,,,,,,,,,,,,,,,,
"2001–13: Association of American Railroads, Railroad Facts (Washington, DC: Annual Issues), p. 77 and similar pages in earlier editions.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Miles traveled:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Train-miles: ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975–2002: National Passenger Railroad Corporation (Amtrak), Amtrak Annual Report, Statistical Appendix (Washington, DC: Annual Issues).",,,,,,,,,,,,,,,,,,,,,,,,,,,
"2003–13: Association of American Railroads, Railroad Facts (Washington, DC: Annual Issues), p. 77 and similar pages in earlier editions.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Car-miles:,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975: Association of American Railroads, Yearbook of Railroad Facts 1975 (Washington, DC: 1976), p. 40.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980–85: National Passenger Railroad Corporation (Amtrak), State and Local Affairs Department and Public Affairs Department, personal communication. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990–2000: Ibid., Amtrak Corporate Reporting, Route Profitability System, personal communication, Aug. 22, 2001.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"2001–13: Association of American Railroads, Railroad Facts (Washington, DC: Annual Issues), p. 77 and similar pages in earlier editions.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Locomotive fuel consumed:,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-2000: National Passenger Railroad Corporation (Amtrak), State and Local Affairs Department, personal communication.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"2001-13: National Passenger Railroad Corporation (Amtrak), personal communications, Apr. 20, 2011, May 9, 2013, and Sept. 14, 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,,,
