Table 4-19:  U.S. Government Energy Consumption by Agency and Source (Trillion Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Petroleum,,,,,Electricity,Natural gas,Coal and otherd,Total,,,,,,,,,,,,,,,,,,,,,,,,
,Motor gasoline,Fuel oil,Jet fuel and aviation gas,Otherc,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FY 2003, total",45.7,189.8,517.9,6.6,760.3,196.1,139.7,40.2,"1,136.3",,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,2.2,0.4,0.0,0.7,3.3,2.6,1.4,0.3,7.7,,,,,,,,,,,,,,,,,,,,,,,,
Defense,16.5,166.5,509.9,4.2,697.1,101.1,76.6,27.6,902.3,,,,,,,,,,,,,,,,,,,,,,,,
Energy,0.9,2.0,Z,0.1,3.0,18.0,7.0,3.6,31.6,,,,,,,,,,,,,,,,,,,,,,,,
GSA,0.1,0.1,0.0,0.0,0.2,10.0,7.6,1.8,19.6,,,,,,,,,,,,,,,,,,,,,,,,
Health and Human Services,0.5,0.9,0.0,0.1,1.5,3.6,3.7,1.3,10.1,,,,,,,,,,,,,,,,,,,,,,,,
Interior,2.4,1.2,0.1,0.7,4.4,2.4,1.3,0.1,8.2,,,,,,,,,,,,,,,,,,,,,,,,
Justice,4.5,0.4,1.5,0.0,6.5,7.0,8.6,0.7,22.7,,,,,,,,,,,,,,,,,,,,,,,,
NASA,0.2,0.4,0.6,0.1,1.4,5.8,2.9,0.8,10.8,,,,,,,,,,,,,,,,,,,,,,,,
Postal Service,12.9,5.1,0.0,0.2,18.2,21.7,10.4,0.7,50.9,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,0.7,0.3,0.6,0.1,1.6,3.2,0.7,0.0,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Veterans Affairs,0.9,1.9,0.0,0.0,2.8,10.2,15.6,1.9,30.5,,,,,,,,,,,,,,,,,,,,,,,,
