Table 4-29:  Annual Wasted Fuel Per Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban area,Population group,Gallons wasted,,,,,,,,,,,,,,,,,,,,,,,,,,,Percent changea,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Short-term          
2009-2014",,"Long-term 
1982-2014",
,,(R) 1982,(R) 1985,(R) 1990,(R) 1991,(R) 1992,(R) 1993,(R) 1994,(R) 1995,(R) 1996,(R) 1997,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012,2013,2014,Percent,Rank,Percent,Rank
"Akron, OH",Medium,2,3,7,8,9,11,12,12,13,13,13,13,13,13,13,14,14,15,15,15,15,14,14,14,14,14,15,6.7,65,650.0,30
"Albany-Schenectady, NY",Medium,2,3,6,6,6,7,7,8,8,9,10,11,12,13,14,15,17,19,19,20,20,20,20,20,20,21,21,5.3,77,950.0,11
"Albuquerque, NM",Medium,4,5,7,8,9,10,11,12,13,15,16,17,18,18,18,18,18,19,19,19,19,19,18,19,19,19,19,0.0,88,375.0,68
"Allentown-Bethlehem, PA-NJ",Medium,3,4,6,6,7,8,10,11,13,14,14,15,15,15,15,15,15,15,15,15,15,14,15,15,15,15,15,6.7,65,400.0,63
"Anchorage, AK",Small,3,4,6,7,8,8,9,10,10,11,11,13,14,14,15,15,16,16,16,17,18,16,17,18,18,18,19,18.8,15,533.3,50
"Atlanta, GA",Very large,3,4,7,7,9,10,11,12,12,13,15,16,16,17,18,18,19,19,19,20,20,19,19,19,20,20,20,5.3,77,566.7,46
"Austin, TX",Large,2,3,4,4,5,5,6,6,7,8,9,10,11,12,13,14,15,16,17,18,18,18,19,20,21,22,22,23.5,9,"1,000.0",10
"Bakersfield, CA",Medium,0,0,1,1,1,1,1,1,2,2,2,2,2,3,3,4,5,5,6,6,7,6,7,7,7,7,9,50.0,1,NA,NA
"Baltimore, MD",Large,3,5,9,9,10,10,11,11,12,12,13,14,15,16,17,17,18,19,19,19,19,18,19,19,19,20,21,15.8,20,600.0,37
"Baton Rouge, LA",Medium,3,4,5,6,6,7,7,8,8,9,10,11,11,12,12,13,13,15,19,20,20,20,22,22,22,23,25,26.3,6,733.3,24
"Beaumont, TX",Small,2,2,3,3,4,4,5,6,6,7,8,8,9,10,11,12,13,14,14,14,13,13,14,14,14,15,15,14.3,27,650.0,30
"Birmingham, AL",Medium,2,4,4,5,5,6,7,8,9,10,11,12,12,13,13,14,14,14,15,15,16,15,15,15,16,16,16,6.7,65,700.0,25
"Boise, ID",Small,1,1,3,3,3,3,4,4,5,5,6,7,8,9,10,10,11,12,13,14,14,13,14,14,14,16,18,38.5,2,"1,700.0",2
"Boston, MA-NH-RI",Very large,10,12,16,16,16,17,18,18,19,21,23,23,24,25,26,26,26,27,27,28,27,26,28,28,29,29,30,14.8,26,200.0,93
"Boulder, CO",Small,2,3,5,6,6,7,8,8,9,9,10,11,12,12,14,14,15,15,16,17,17,16,17,17,17,18,19,18.8,15,850.0,14
"Bridgeport-Stamford, CT-NY",Medium,4,6,8,8,9,9,10,11,12,13,14,14,15,16,17,18,19,20,20,20,21,20,20,20,21,21,22,10.0,49,450.0,59
"Brownsville, TX",Small,0,1,1,1,1,1,2,2,2,3,3,3,5,5,6,7,8,9,9,10,11,10,11,11,11,11,11,11.1,46,NA,NA
"Buffalo, NY",Medium,5,6,9,9,9,10,11,11,12,13,15,17,18,19,20,20,20,20,20,20,20,20,20,20,21,21,21,5.0,79,320.0,80
"Cape Coral, FL",Medium,1,2,3,3,3,3,4,4,4,5,5,6,6,7,8,9,9,10,11,13,14,13,13,13,13,13,13,0.0,88,"1,200.0",5
"Charleston-North Charleston, SC",Medium,3,5,7,8,8,9,10,10,11,11,12,12,13,13,14,15,15,16,16,17,18,18,18,19,20,20,20,12.5,39,566.7,46
"Charlotte, NC-SC",Large,2,2,4,5,5,5,6,6,7,8,8,9,10,11,12,13,14,14,15,16,16,15,15,16,16,17,17,13.3,32,750.0,21
"Chicago, IL-IN",Very large,10,11,14,15,16,17,18,19,20,21,22,23,24,25,26,26,28,29,29,29,28,28,28,29,29,29,29,3.4,86,190.0,94
"Cincinnati, OH-KY-IN",Large,3,4,8,9,10,10,11,13,14,15,16,17,18,18,19,19,19,20,20,20,20,19,19,20,21,21,21,10.0,49,600.0,37
"Cleveland, OH",Large,3,4,10,11,13,15,16,18,19,19,19,20,19,19,19,19,20,20,20,20,21,20,21,21,21,22,22,10.0,49,633.3,34
"Colorado Springs, CO",Medium,1,2,5,5,6,7,7,8,9,10,11,11,12,12,13,13,14,14,14,15,15,15,16,16,16,16,17,14.3,27,"1,600.0",3
"Columbia, SC",Medium,2,3,4,4,5,5,6,6,7,7,8,9,10,10,11,12,13,14,15,17,18,17,18,18,18,18,19,13.3,32,850.0,14
"Columbus, OH",Large,4,5,7,8,9,9,10,11,11,12,12,13,14,15,15,16,17,17,17,18,18,17,18,18,19,20,20,17.6,19,400.0,63
"Corpus Christi, TX",Small,3,4,6,6,7,7,7,8,8,9,10,10,11,11,11,11,12,12,12,13,13,13,14,14,15,16,16,25.0,8,433.3,62
"Dallas-Fort Worth-Arlington, TX",Very large,6,7,9,10,10,11,11,12,13,13,14,15,16,16,17,18,19,20,21,22,20,19,20,21,22,22,22,14.3,27,266.7,89
"Dayton, OH",Medium,3,4,6,7,7,8,8,9,9,10,11,11,12,12,13,13,12,12,13,13,13,12,12,12,12,13,13,7.7,62,333.3,78
"Denver-Aurora, CO",Large,3,5,6,6,6,7,8,9,10,12,13,14,16,17,19,19,20,21,22,22,22,21,22,22,23,24,24,13.6,31,700.0,25
"Detroit, MI",Very large,12,14,18,18,19,20,21,21,22,23,23,24,24,25,26,26,26,26,26,26,25,22,23,23,24,24,25,11.5,45,108.3,97
"El Paso, TX-NM",Medium,2,3,6,7,7,8,8,9,9,10,11,12,12,13,13,14,15,15,15,15,15,15,15,16,16,16,16,6.7,65,700.0,25
"Eugene, OR",Small,3,4,7,8,9,9,10,10,11,12,13,14,15,16,16,17,18,18,18,19,20,18,18,18,19,19,19,5.6,72,533.3,50
"Fresno, CA",Medium,2,3,4,4,5,5,5,6,6,6,7,7,8,8,9,9,10,10,10,11,10,10,10,10,10,11,11,10.0,49,450.0,59
"Grand Rapids, MI",Medium,2,3,5,7,7,8,9,9,10,11,12,13,14,14,14,15,15,16,16,17,17,16,17,18,18,19,19,18.8,15,850.0,14
"Greensboro, NC",Small,1,1,3,4,4,5,6,7,7,7,8,9,9,10,11,12,12,13,13,13,14,13,13,14,14,14,14,7.7,62,"1,300.0",4
"Hartford, CT",Medium,3,4,7,9,10,10,11,12,12,12,13,14,15,16,16,17,18,18,19,20,22,21,21,21,21,21,21,0.0,88,600.0,37
"Honolulu, HI",Medium,6,7,11,11,13,13,14,15,15,16,16,17,17,18,18,19,20,22,23,23,24,23,24,25,25,25,26,13.0,37,333.3,78
"Houston, TX",Very large,9,10,10,10,10,11,11,12,13,13,14,15,16,17,18,20,20,22,23,23,23,23,23,24,27,28,29,26.1,7,222.2,91
"Indianapolis, IN",Large,5,6,8,8,9,10,10,11,12,13,13,13,14,15,16,16,17,18,19,20,22,21,22,22,22,23,23,10.5,48,360.0,72
"Indio-Cathedral City-Palm Springs, CA",Small,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,3,3,4,3,2,2,2,2,2,2,2,0.0,88,100.0,98
"Jackson, MS",Small,2,2,9,4,4,5,5,6,6,7,7,8,9,11,12,12,13,14,14,14,14,14,14,15,15,15,15,7.1,64,650.0,30
"Jacksonville, FL",Large,3,4,10,6,7,7,8,8,9,10,10,11,11,12,13,14,15,16,16,17,16,15,15,15,15,15,15,0.0,88,400.0,63
"Kansas City, MO-KS",Large,3,4,10,8,9,10,10,11,11,12,12,13,13,14,15,15,16,16,16,17,17,17,17,18,18,18,18,6.3,69,500.0,54
"Knoxville, TN",Medium,2,3,11,5,6,6,7,7,8,9,10,11,12,12,13,14,14,14,15,16,16,15,16,16,16,17,17,13.3,32,750.0,21
"Lancaster-Palmdale, CA",Small,1,2,12,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,5,5,4,5,5,5,5,5,5,0.0,88,400.0,63
"Laredo, TX",Small,0,0,13,1,1,1,1,2,2,3,3,4,4,4,4,5,5,5,6,8,9,8,9,9,9,10,10,33.3,3,NA,NA
"Las Vegas, NV",Large,1,2,13,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,20,21,22,21,20,20,20,21,21,0.0,88,"2,000.0",1
"Little Rock, AR",Small,1,2,13,3,3,3,4,4,4,5,5,6,7,8,8,8,9,10,11,12,13,13,13,13,13,13,13,0.0,88,"1,200.0",5
"Los Angeles-Long Beach-Santa Ana, CA",Very large,10,12,14,16,16,17,18,19,20,20,21,21,22,22,23,23,24,25,25,25,25,24,24,25,25,25,25,4.0,85,150.0,95
"Louisville, KY-IN",Large,5,6,15,9,10,10,11,12,12,13,13,14,15,16,17,17,18,18,19,19,20,19,20,20,20,21,22,15.8,20,340.0,75
"Madison, WI",Small,4,5,16,5,5,6,6,7,7,8,8,9,9,10,11,12,12,13,15,16,16,16,17,17,18,18,19,20.0,13,375.0,68
"McAllen, TX",Medium,1,1,16,2,3,3,3,3,4,4,4,5,6,6,7,7,8,9,10,11,12,11,12,12,13,13,13,20.0,13,"1,200.0",5
"Memphis, TN-MS-AR",Large,3,4,17,9,9,10,11,12,13,14,15,16,17,17,18,18,19,19,20,20,21,20,20,20,20,21,21,5.0,79,600.0,37
"Miami, FL",Very large,6,7,18,9,10,11,11,12,13,15,17,18,19,20,22,22,23,23,23,24,24,22,22,23,23,24,24,8.7,57,300.0,83
"Milwaukee, WI",Large,5,8,19,13,13,14,14,16,17,17,18,18,18,19,19,20,20,20,21,21,22,21,21,22,22,22,22,4.8,83,340.0,75
"Minneapolis-St. Paul, MN",Large,2,3,20,7,7,8,9,10,11,12,13,14,15,15,16,16,17,17,17,17,17,16,17,17,18,18,18,11.8,41,800.0,17
"Nashville-Davidson, TN",Large,3,4,22,6,6,6,7,8,9,10,11,12,13,15,16,17,18,19,20,20,20,19,20,21,22,22,22,15.0,25,633.3,34
"New Haven, CT",Medium,3,5,21,8,9,10,11,12,13,14,15,16,17,17,18,18,19,19,19,20,20,19,19,19,19,19,19,0.0,88,533.3,50
"New Orleans, LA",Medium,7,9,22,12,12,13,14,15,15,15,16,16,16,17,17,18,18,17,15,17,19,20,21,21,21,21,22,13.3,32,214.3,92
"New York-Newark, NY-NJ-CT",Very large,10,11,22,15,16,17,18,19,20,21,22,24,25,26,28,30,31,32,33,33,33,33,34,34,35,35,35,6.1,70,250.0,90
"Oklahoma City, OK",Large,3,4,22,6,6,8,8,9,10,11,11,13,14,15,16,16,17,17,18,18,19,19,19,20,21,21,23,22.2,12,666.7,29
"Omaha, NE-IA",Medium,2,3,23,5,6,6,7,7,8,8,9,10,11,11,12,12,13,13,14,14,15,15,15,15,16,16,17,14.3,27,750.0,21
"Orlando, FL",Large,2,3,23,7,8,8,9,9,10,11,12,13,14,15,16,18,18,19,20,20,21,19,20,20,20,20,21,10.0,49,950.0,11
"Oxnard-Ventura, CA",Small,1,1,2,2,2,2,3,3,3,4,4,5,5,5,6,6,7,7,8,8,8,7,7,8,8,8,8,8.0,61,700.0,25
"Pensacola, FL-AL",Small,2,3,5,5,6,7,7,8,9,10,11,12,12,13,14,15,16,17,18,18,18,17,17,17,17,18,18,5.6,72,800.0,17
"Philadelphia, PA-NJ-DE-MD",Very large,6,8,10,11,11,12,13,14,14,15,16,17,19,20,22,23,24,24,24,24,23,23,23,23,23,23,23,0.0,88,283.3,87
"Phoenix, AZ",Very large,5,6,8,8,9,9,10,10,11,12,13,15,16,17,18,19,20,22,23,24,24,22,23,23,24,24,25,13.0,37,400.0,63
"Pittsburgh, PA",Large,5,6,11,12,12,13,14,14,15,15,15,16,17,18,18,18,18,19,19,20,19,18,19,20,20,20,21,15.8,20,320.0,80
"Portland, OR-WA",Large,5,6,8,9,9,10,11,12,13,14,15,16,17,19,20,20,21,22,22,23,23,23,25,26,28,28,29,27.3,5,480.0,56
"Poughkeepsie-Newburgh, NY",Small,3,4,6,7,7,7,7,7,8,8,9,9,9,10,11,12,14,14,15,15,16,15,15,16,16,16,17,13.3,32,466.7,58
"Providence, RI-MA",Large,3,4,7,8,9,10,10,11,12,13,15,16,17,18,19,19,20,20,20,20,20,20,20,21,21,21,21,5.0,79,600.0,37
"Provo, UT",Medium,2,3,4,5,5,5,7,7,7,8,8,9,9,10,10,11,12,12,13,13,13,12,12,13,14,15,15,23.1,11,650.0,30
"Raleigh-Durham, NC",Medium,1,2,4,4,4,4,5,5,6,6,7,8,9,9,10,11,11,11,12,12,12,12,13,13,13,13,13,8.3,58,"1,200.0",5
"Richmond, VA",Large,2,3,4,5,5,5,6,6,6,6,7,7,7,8,9,10,11,12,12,13,13,13,13,13,14,14,14,8.3,58,600.0,37
"Riverside-San Bernardino, CA",Large,2,3,5,6,7,7,7,8,8,8,9,10,11,11,13,14,15,16,17,17,17,16,17,17,17,18,18,11.8,41,800.0,17
"Rochester, NY",Medium,5,6,9,10,10,10,11,12,13,13,13,14,14,15,16,17,19,20,20,21,19,20,20,20,20,20,20,0.0,88,300.0,83
"Sacramento, CA",Large,3,3,6,6,7,7,8,8,9,9,10,11,12,13,14,16,17,17,18,19,18,18,18,18,18,19,19,5.6,72,533.3,50
"Salem, OR",Small,2,3,8,8,9,9,10,10,10,11,12,13,14,16,18,19,20,21,22,22,22,21,21,21,21,21,21,0.0,88,950.0,11
"Salt Lake City, UT",Large,3,4,6,6,6,7,7,8,9,10,11,12,14,15,16,17,18,18,19,19,19,19,19,20,21,21,22,15.8,20,633.3,34
"San Antonio, TX",Large,3,4,5,6,6,7,8,9,10,11,12,12,13,14,14,15,15,16,17,17,17,16,17,18,19,19,20,23.5,9,566.7,46
"San Diego, CA",Very large,2,2,4,4,5,5,5,6,6,7,7,8,8,9,9,10,10,10,10,11,11,10,10,11,11,11,11,10.0,49,450.0,59
"San Francisco-Oakland, CA",Very large,14,17,21,21,22,23,24,25,26,27,27,28,29,29,29,30,31,31,32,32,32,30,31,31,32,33,33,9.4,55,135.7,96
"San Jose, CA",Large,4,6,9,10,10,11,11,12,12,13,14,15,16,17,18,19,19,20,21,21,22,21,23,25,26,27,28,33.3,3,600.0,37
"San Juan, PR",Large,2,4,7,8,8,9,11,12,12,12,13,14,16,17,19,21,22,22,22,22,21,22,23,23,24,24,24,9.1,56,"1,100.0",9
"Sarasota-Bradenton, FL",Medium,3,4,5,6,6,6,7,7,7,8,8,9,9,10,10,10,11,11,12,12,12,11,11,12,12,12,12,8.3,58,300.0,83
"Seattle, WA",Very large,6,8,11,12,13,13,14,14,15,16,17,18,19,20,21,23,24,24,25,25,25,25,26,26,27,28,28,12.0,40,366.7,71
"Spokane, WA",Small,5,6,8,10,10,11,12,13,13,14,15,16,17,17,18,20,21,21,22,22,22,22,22,22,22,23,23,4.5,84,360.0,72
"Springfield, MA-CT",Medium,5,7,9,10,11,11,12,13,13,14,15,15,16,16,16,17,17,18,18,18,19,18,18,18,19,19,19,5.6,72,280.0,88
"St. Louis, MO-IL",Large,5,6,9,9,10,11,12,13,14,14,15,16,16,17,18,18,19,20,20,21,21,20,20,20,20,20,21,5.0,79,320.0,80
"Stockton, CA",Small,1,1,3,3,3,3,3,4,4,4,4,4,5,5,5,6,6,7,8,8,7,7,7,7,7,7,7,0.0,88,600.0,37
"Tampa-St. Petersburg, FL",Large,4,5,7,8,9,9,9,10,10,10,11,11,12,13,14,14,16,17,18,18,18,17,17,17,18,18,18,5.6,72,350.0,74
"Toledo, OH-MI",Medium,5,6,9,10,10,11,12,13,13,14,14,15,15,15,16,16,17,17,18,18,19,18,19,19,20,20,20,11.1,46,300.0,83
"Tucson, AZ",Medium,4,5,8,8,9,10,10,11,11,12,13,14,15,15,15,16,17,18,19,21,22,20,21,21,22,22,23,15.8,20,475.0,57
"Tulsa, OK",Medium,3,5,7,8,9,10,10,10,11,12,13,13,13,14,14,15,16,16,17,18,19,18,18,19,19,19,20,11.8,41,566.7,46
"Virginia Beach, VA",Large,4,5,8,8,9,10,11,12,13,14,14,15,15,16,16,16,17,17,17,18,18,17,18,18,18,18,19,11.8,41,375.0,68
"Washington, DC-VA-MD",Very large,8,11,14,16,17,18,20,20,21,21,22,23,24,25,27,28,29,30,31,32,33,34,34,35,35,35,35,3.2,87,337.5,77
"Wichita, KS",Medium,3,4,7,8,8,8,9,9,10,10,10,11,11,12,12,13,14,15,16,17,17,15,16,17,17,17,18,18.8,15,500.0,54
"Winston-Salem, NC",Small,1,1,2,2,2,2,2,3,3,4,4,4,5,5,5,6,6,7,7,8,7,7,7,7,7,7,7,0.0,88,600.0,37
"Worcester, MA",Small,2,4,7,7,8,9,9,10,11,11,12,13,13,14,15,15,16,16,17,18,18,17,18,18,18,18,18,5.9,71,800.0,17
471 Urban area average,471 Areas,5,6,8,9,9,10,11,11,12,12,13,13,14,15,16,17,17,17,17,18,18,17,18,18,18,19,19,11.8,NA,280.0,NA
101 Urban area average,101 Areas,6,7,10,11,11,12,13,13,14,15,16,16,17,18,19,20,20,21,21,22,22,21,22,22,22,23,23,9.5,NA,283.3,NA
Very large urban area average,Very large,9,10,13,13,14,15,16,17,17,18,19,20,21,22,23,24,24,25,26,26,26,25,25,26,26,27,27,7.7,NA,200.0,NA
Large urban area average,Large,3,5,7,8,9,9,10,11,12,12,13,14,15,16,16,17,18,18,19,19,19,19,19,20,20,21,21,10.5,NA,600.0,NA
Medium urban area average,Medium,5,5,7,7,8,8,9,10,10,11,12,12,13,13,14,15,15,15,16,17,17,16,17,17,17,18,18,12.5,NA,260.0,NA
Small urban area average,Small,2,3,4,5,5,5,6,6,7,7,8,8,9,9,10,11,11,12,13,13,13,13,13,13,13,14,14,7.7,NA,600.0,NA
KEY: NA = not applicable; R = revised.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very large urban areas - over 3 million population.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large urban areas - over 1 million and less than 3 million population.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Medium urban areas - over 500,000 and less than 1 million population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Small urban areas - less than 500,000 population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Percent changes were calculated using the numbers in this table and were not obtained from the source. Ranks are based on the calculated percent changes with the highest number corresponding to a rank of 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Wasted"" fuel is the difference between the fuel consumed under estimated existing conditions and the fuel consumed under free-flow conditions. Previous editions of this table were calculated on the basis of total fuel consumed during congested trips. Calculations are made for peak period speeds and for free-flow speeds on both the freeway and principal arterial systems. For a more detailed description of the formulas used, see the source document.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The urban areas included are those containing over 500,000 people and several smaller places mostly chosen by previous sponsors of the Texas Transportation Institute study on mobility.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Methodology and data sources have been changed in 2015 and were applied retroactively to past years, these figures are not comparable to those in past editions of NTS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Texas Transportation Institute, Congestion Data for Your City, Excel spreadsheet of the base statistics for the 101 urban areas and population group summary statistics (College Station, TX: 2015), available at http://mobility.tamu.edu as of  Dec. 1, 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
