Table 4-43:  Estimated National Average Vehicle Emissions Rates per Vehicle by Vehicle Type using Gasoline and Diesel (Grams per mile),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,,,,,,,,,,
GASOLINE (assuming zero RFG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light-duty vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust HC,2.79,2.50,2.23,1.98,1.77,1.57,1.39,1.25,1.14,1.05,0.97,0.89,0.81,0.74,0.61,0.52,0.46,0.42,0.39,0.36,0.33,,,,,,,,,,
Nonexhaust HC,1.21,1.17,1.12,1.09,1.07,1.05,1.03,1.01,0.98,0.95,0.91,0.88,0.84,0.81,0.77,0.72,0.68,0.62,0.57,0.51,0.46,,,,,,,,,,
Total HC,4.00,3.67,3.35,3.07,2.84,2.62,2.41,2.26,2.12,2.00,1.88,1.77,1.65,1.54,1.37,1.25,1.13,1.04,0.95,0.87,0.79,,,,,,,,,,
Exhaust CO,42.89,39.15,35.54,32.23,29.32,26.60,24.18,22.38,20.86,19.54,18.53,17.80,16.98,16.14,13.79,12.57,10.87,10.28,9.68,9.20,8.73,,,,,,,,,,
Exhaust NOx,2.70,2.47,2.27,2.09,1.94,1.78,1.64,1.55,1.46,1.35,1.29,1.25,1.20,1.14,1.00,0.92,0.79,0.73,0.67,0.61,0.56,,,,,,,,,,
Light-duty trucks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust HC,3.68,3.33,3.00,2.71,2.45,2.21,1.96,1.80,1.65,1.54,1.45,1.35,1.24,1.13,0.96,0.78,0.69,0.64,0.55,0.51,0.48,,,,,,,,,,
Nonexhaust HC,1.37,1.30,1.21,1.17,1.13,1.11,1.08,1.05,1.02,1.00,0.98,0.95,0.90,0.84,0.80,0.76,0.71,0.66,0.62,0.58,0.53,,,,,,,,,,
Total HC,5.05,4.63,4.21,3.88,3.59,3.32,3.04,2.85,2.68,2.54,2.43,2.30,2.14,1.98,1.76,1.54,1.40,1.31,1.17,1.09,1.01,,,,,,,,,,
Exhaust CO,56.23,51.99,47.93,44.34,40.77,37.51,34.47,32.20,30.23,28.28,26.81,25.43,23.85,21.51,18.76,16.23,14.33,13.52,12.49,11.76,11.02,,,,,,,,,,
Exhaust NOx,2.62,2.42,2.26,2.11,1.98,1.84,1.73,1.65,1.59,1.55,1.54,1.53,1.50,1.45,1.32,1.21,1.09,1.02,0.94,0.88,0.81,,,,,,,,,,
Heavy-duty vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust HC,3.66,3.34,3.03,2.76,2.39,2.16,1.94,1.73,1.51,1.35,1.22,1.09,0.98,0.82,0.73,0.64,0.53,0.48,0.42,0.32,0.28,,,,,,,,,,
Nonexhaust HC,2.74,2.60,2.34,2.25,2.16,2.07,1.97,1.87,1.79,1.69,1.62,1.54,1.48,1.41,1.35,1.24,1.14,1.07,0.99,0.92,0.86,,,,,,,,,,
Total HC,6.40,5.94,5.37,5.00,4.55,4.24,3.91,3.60,3.29,3.04,2.84,2.63,2.46,2.24,2.08,1.88,1.67,1.54,1.41,1.24,1.14,,,,,,,,,,
Exhaust CO,85.61,78.64,72.12,65.92,60.01,54.16,48.52,43.26,38.82,34.54,31.08,27.59,24.73,20.60,18.46,16.73,14.51,13.55,12.38,9.96,9.42,,,,,,,,,,
Exhaust NOx,7.19,6.96,6.72,6.52,6.35,6.11,5.89,5.73,5.56,5.40,5.26,5.13,5.01,4.91,4.62,4.28,3.73,3.33,2.94,2.58,2.25,,,,,,,,,,
Motorcycles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhaust HC,2.01,1.88,1.82,1.75,1.72,1.69,1.63,1.63,1.62,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,,,,,,,,,,
Nonexhaust HC,0.74,0.73,0.72,0.72,0.71,0.71,0.70,0.69,0.70,0.70,0.70,0.70,0.70,0.70,0.69,0.69,0.69,0.68,0.68,0.68,0.68,,,,,,,,,,
Total HC,2.74,2.60,2.54,2.46,2.43,2.40,2.34,2.32,2.32,2.31,2.31,2.31,2.31,2.31,2.31,2.30,2.30,2.29,2.29,2.29,2.29,,,,,,,,,,
Exhaust CO,15.15,14.78,14.77,14.76,14.76,14.67,14.59,14.59,14.59,14.59,14.59,14.59,14.59,14.59,14.59,14.58,14.59,14.59,14.59,14.59,14.59,,,,,,,,,,
Exhaust NOx,1.26,1.28,1.28,1.28,1.28,1.26,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,,,,,,,,,,
DIESEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light-duty vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
