Table 4-45:  Estimated National Emissions of Carbon Monoxide (Million short tons) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,(R) 2012,(R) 2013,2014
TOTAL all sources,204.04,188.40,185.41,176.85,154.19,147.13,140.90,135.90,133.56,126.78,128.86,117.91,115.38,114.54,114.47,106.26,(R) 102.03,99.59,97.15,88.55,85.84,83.13,79.66,72.75,73.77,73.76,71.76,69.76,67.76
Highway vehicles,163.23,153.56,143.83,134.19,110.26,104.98,99.71,94.43,89.16,83.88,78.61,75.85,73.24,68.71,68.06,63.48,(R) 51.61,48.68,45.75,42.83,40.05,37.27,33.16,27.44,28.24,27.36,25.66,23.96,22.26
Off-Highway,11.37,14.33,16.69,19.03,21.45,21.93,22.42,22.90,23.39,23.87,24.36,23.67,23.69,23.32,24.18,24.68,(R) 22.62,22.38,22.14,21.90,20.37,18.84,17.88,15.92,15.35,14.95,14.65,14.34,14.04
Fuel combustion,4.63,4.48,7.30,8.49,5.51,5.86,6.15,5.59,5.52,5.93,4.34,4.33,4.33,5.54,4.78,4.83,5.47,5.36,5.24,5.13,4.88,4.63,4.38,4.45,4.52,4.60,4.60,4.60,4.60
Industrial processesa,9.84,7.54,6.95,5.28,4.77,4.62,4.55,4.65,4.61,4.61,3.64,3.80,3.81,2.55,2.63,2.76,2.24,2.17,2.10,2.03,1.93,1.84,1.74,1.82,1.89,1.97,1.97,1.97,1.97
Waste disposal and recycling,7.06,3.23,2.30,1.94,1.08,1.12,1.14,1.25,1.23,1.19,2.90,2.95,3.12,3.02,1.85,1.85,1.59,1.58,1.57,1.55,1.50,1.44,1.38,1.29,1.20,1.11,1.11,1.11,1.11
Miscellaneous,7.91,5.26,8.34,7.93,11.12,8.62,6.93,7.08,9.66,7.30,15.02,7.32,7.18,11.41,12.96,8.68,18.49,19.41,20.34,15.11,17.11,19.12,21.12,21.84,22.56,23.78,23.78,23.78,23.78
KEY: R = revised. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Industrial processes consists of chemical and allied product manufacturing, metals processing, petroleum and related industries, other industrial processes; and solvent utilization, storage, and transport.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details may not add up to totals due to rounding in the source.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Environmental Protection Agency, Clearinghouse for Inventories and Emissions Factors (CHIEF), Current Emission Trends Summaries, available at http://www.epa.gov/ttn/chief/trends/index.html as of Apr. 27, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
