Table 4-46:  Estimated National Emissions of Nitrogen Oxides (Million short tons) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,(R) 2012,(R) 2013,2014
TOTAL ,26.88,26.38,27.08,25.76,25.53,25.18,25.26,25.36,25.35,24.96,24.79,24.70,24.35,22.84,22.60,21.55,#REF!,#REF!,#REF!,#REF!,19.23,18.10,16.91,15.77,14.85,14.52,13.66,13.07,12.41
Highway vehicles,12.62,12.06,11.49,10.93,9.59,9.45,9.31,9.16,9.02,8.88,8.73,8.79,8.62,8.37,8.39,7.77,#REF!,#REF!,#REF!,#REF!,7.99,7.65,6.94,6.21,5.70,5.87,5.41,4.95,4.49
Off-Highway,2.65,2.97,3.35,3.58,3.78,3.85,3.92,3.98,4.05,4.11,4.18,4.18,4.16,4.08,4.17,4.16,#REF!,#REF!,#REF!,#REF!,3.90,3.52,3.48,3.39,3.32,3.08,2.94,2.81,2.67
Fuel combustion,10.06,10.49,11.32,10.05,10.89,10.78,10.93,11.11,11.02,10.83,10.51,10.55,10.38,9.20,8.82,8.45,#REF!,#REF!,#REF!,#REF!,5.95,5.56,5.13,4.75,4.33,3.90,3.64,3.65,3.59
Industrial processesa,0.78,0.54,0.56,0.80,0.80,0.72,0.76,0.74,0.77,0.77,0.80,0.84,0.85,0.78,0.81,0.85,#REF!,#REF!,#REF!,#REF!,0.99,0.99,1.00,1.06,1.12,1.18,1.18,1.18,1.18
Waste disposal and recycling,0.44,0.16,0.11,0.09,0.09,0.10,0.10,0.12,0.11,0.10,0.15,0.16,0.16,0.16,0.13,0.13,#REF!,#REF!,#REF!,#REF!,0.13,0.11,0.10,0.09,0.09,0.08,0.08,0.08,0.08
Miscellaneous,0.33,0.17,0.25,0.31,0.37,0.29,0.26,0.24,0.39,0.27,0.41,0.19,0.18,0.25,0.28,0.18,#REF!,#REF!,#REF!,#REF!,0.27,0.26,0.26,0.28,0.29,0.40,0.40,0.40,0.40
KEY: R = revised.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Industrial processes consists of chemical and allied product manufacturing, metals processing, petroleum and related industries, and other industrial processes; and solvent utilization, storage, and transport.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Details may not add up to totals due to rounding in the source.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Environmental Protection Agency, Clearinghouse for Inventories and Emissions Factors (CHIEF), Current Emission Trends Summaries, available at http://www.epa.gov/ttn/chief/trends/index.html as of Apr. 27, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
