Table 4-49:  Estimated National Emissions of Particulate Matter (PM-2.5)a (Million short tons),,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,(R) 2012,(R) 2013,2014
Total,7.56,7.32,7.20,7.15,7.54,6.93,6.72,6.26,6.26,7.21,7.29,7.00,(R) 5.81,5.89,5.97,5.59,5.74,5.88,6.01,5.99,5.96,6.10,6.08,6.06,6.03
Highway vehicles,0.32,0.31,0.29,0.28,0.26,0.25,0.23,0.22,0.20,0.18,0.17,0.16,(R) 0.33,0.32,0.32,0.31,0.30,0.28,0.25,0.22,0.20,0.20,0.19,0.18,0.17
Off-Highway,0.30,0.30,0.31,0.31,0.31,0.31,0.31,0.31,0.30,0.31,0.30,0.29,(R) 0.34,0.32,0.30,0.29,0.27,0.25,0.24,0.23,0.21,0.21,0.20,0.19,0.18
Fuel combustion,0.91,0.89,0.93,0.85,0.84,0.90,0.66,0.66,0.63,1.28,1.29,1.30,1.13,1.13,1.13,1.13,1.03,0.94,0.83,0.84,0.84,0.84,0.84,0.84,0.84
Industrial processesb,0.56,0.57,0.58,0.50,0.50,0.50,0.37,0.38,0.39,0.49,0.50,0.53,0.48,0.50,0.52,0.53,0.51,0.49,0.47,0.45,0.42,0.40,0.40,0.40,0.40
Waste disposal and recycling,0.23,0.24,0.24,0.29,0.27,0.25,0.43,0.44,0.46,0.44,0.33,0.33,0.27,0.27,0.27,0.27,0.25,0.23,0.21,0.19,0.18,0.16,0.16,0.16,0.16
Miscellaneous,5.23,5.00,4.85,4.93,5.36,4.73,4.72,4.24,4.28,4.51,4.69,4.39,3.26,3.35,3.44,3.07,3.38,3.70,4.01,4.06,4.11,4.29,4.29,4.29,4.29
KEY: R = revised. ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
a Particulate matter less than 2.5 microns in size. Data include PM without condensable.,,,,,,,,,,,,,,,,,,,,,,,,,
"b Industrial processes consists of chemical and allied product manufacturing, metals processing, petroleum and related industries, and other industrial processes; solvent utilization; and storage and transportation.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE,,,,,,,,,,,,,,,,,,,,,,,,,
Details may not add up to totals due to rounding in the source.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE ,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Environmental Protection Agency, Clearinghouse for Inventories and Emissions Factors (CHIEF), Current Emission Trends Summaries, available at http://www.epa.gov/ttn/chief/trends/index.html as of Apr. 27, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
