Table 4-55:  Leaking Underground Storage Tank Releases and Cleanups,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Total confirmed releases,"87,528","126,816","184,457","237,022","270,567","303,635","317,488","341,773","371,387","397,821","412,392","418,918","427,307","439,385","447,233","452,041","464,728","474,127","479,817","488,496","494,997","501,723","507,540","514,123","521,271","528,521"
Cleanups initiated,"51,770","79,506","129,074","171,082","209,797","238,671","252,615","292,446","314,965","346,300","367,603","379,243","384,029","403,558","412,657","421,924","435,631","446,940","455,096","463,060","470,460","473,314","481,614","489,575","498,173","505,468"
Cleanups not initiated,"35,758","47,310","55,383","65,940","60,770","64,964","64,873","49,327","56,422","51,521","44,789","39,675","43,278","35,827","34,576","30,117","29,097","27,187","24,721","25,436","24,537","28,409","25,926","24,548","23,098","23,053"
Cleanups completed,"16,905","26,666","55,444","87,065","107,448","131,272","152,683","178,297","203,247","228,925","249,759","268,833","284,602","303,120","317,405","332,799","350,813","365,361","377,019","388,331","401,874","413,740","424,637","436,406","447,323","456,660"
Releases not cleaned up,"70,623","100,150","129,013","149,957","163,119","172,363","164,805","163,476","168,140","168,896","162,633","150,085","142,705","136,265","129,828","119,242","113,915","108,766","102,798","100,165","93,123","87,983","82,903","77,717","73,948","71,861"
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,
"All data are cumulative from the start of the U.S. Environmental Protection Agency's Underground Storage Tank program, which began in 1984.",,,,,,,,,,,,,,,,,,,,,,,,,,
"Data represent fiscal year, October 1 through September 30.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990: U.S. Environmental Protection Agency, Office of Underground Storage Tanks, personal communications, Nov. 17 and 18, 1998.",,,,,,,,,,,,,,,,,,,,,,,,,,
"1991-2015: Ibid., UST Performance Measures, available at http://www.epa.gov/swerust1/cat/camarchv.htm as of April 28, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
