Table A:  Social and Economic Characteristics of the United States,,,,,,,,,,,,,,,,,,,,,,,,,
, 1980, 1985, 1990, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009,(R) 2010,(R) 2011,(R) 2012,2013,2014,,
TOTAL U.S. resident populationa (thousands),"227,225","237,924","249,464","262,803","265,229","267,784","270,248","272,691","282,162","284,969","287,625","290,108","292,805","295,517","298,380","301,231","304,094","306,772","309,347","311,722","314,112","316,498","318,857",,
Population by Age (thousands),,,,,,,,,,,,,,,,,,,,,,,,,
Under 18,"63,683","62,624","64,177","68,555","69,109","69,603","69,903","70,199","72,376","72,671","72,936","73,101","73,298","73,524","73,758","74,019","74,105","74,134","74,123","73,917","73,712","73,610","73,584",,
18-24 years,"30,103","28,902","26,835","25,112","24,843","24,980","25,476","26,011","27,315","27,993","28,481","28,917","29,302","29,442","29,603","29,808","30,194","30,530","30,767","31,094","31,397","31,534","31,464",,
25-34,"37,429","41,697","43,148","40,730","40,246","39,559","38,743","37,936","39,804","39,472","39,350","39,244","39,267","39,259","39,395","39,713","40,207","40,723","41,215","41,820","42,330","42,902","43,517",,
35-44,"25,805","31,691","37,777","42,555","43,365","44,014","44,498","44,813","45,169","45,052","44,641","44,154","43,800","43,506","43,244","42,796","42,192","41,488","40,986","40,672","40,575","40,539","40,513",,
45-54,"22,743","22,459","25,194","31,100","32,358","33,625","34,575","35,802","37,999","39,386","39,992","40,820","41,630","42,496","43,286","43,940","44,460","44,867","44,991","44,761","44,318","43,846","43,459",,
55-64,"21,754","22,135","21,093","21,132","21,353","21,816","22,666","23,389","24,429","25,105","26,703","28,009","29,305","30,641","31,930","33,128","34,157","35,406","36,786","38,090","38,615","39,343","40,078",,
65 and over,"25,707","28,416","31,241","33,619","33,957","34,185","34,385","34,540","35,070","35,290","35,522","35,864","36,203","36,650","37,164","37,826","38,778","39,623","40,479","41,367","43,165","44,723","46,243",,
Population by Sexa (thousands),,,,,,,,,,,,,,,,,,,,,,,,,
Male,"110,399","115,730","121,626","128,294","129,504","130,783","132,030","133,277","138,443","139,891","141,231","142,429","143,828","145,197","146,647","148,065","149,490","150,807","152,089","153,295","154,529","155,741","156,936",,
Female,"116,826","122,194","127,838","134,510","135,724","137,001","138,218","139,414","143,719","145,077","146,395","147,679","148,977","150,320","151,733","153,166","154,604","155,964","157,258","158,427","159,584","160,756","156,936",,
"Population in Metropolitan areasb,c (thousands) ","177,000",U,"198,000","210,000","212,000","214,000","216,417","218,607","233,791","236,676","239,295","241,702","244,265","246,815","249,394","252,181","254,813","257,355","263,042","265,421","267,864","270,278","272,668",,
Large (over 1 million),"119,000",U,"139,000","147,000","149,000","151,000","153,143","155,905","149,757","151,843","154,596","156,164","157,802","159,424","159,921","163,742","166,565","168,350","168,925","170,666","172,444","174,229","175,970",,
"Medium (250,000-999,999)","41,000",U,"41,000","44,000","44,000","43,000","43,366","42,680","56,190","57,034","56,643","56,979","58,123","58,780","61,057","60,481","60,034","61,063","65,755","66,250","66,746","67,239","67,741",,
"Small (less than 250,000)","17,000",U,"18,000","19,000","19,000","20,000","19,908","20,022","27,843","27,799","28,055","28,559","28,341","28,611","28,416","27,958","28,214","27,942","28,362","28,505","28,673","28,810","28,957",,
Population in Micropolitan areasb (thousands),NA,NA,NA,NA,NA,NA,NA,NA,"29,189","29,261","29,374","29,488","29,634","29,784","30,010","30,186","30,339","30,450","27,171","27,198","27,218","27,230","27,243",,
Population in Rural / Urband areas (thousands) ,,,,,,,,,,,,,,,,,,,,,,,,,
Rural,"59,495",U,"61,656",U,U,U,U,U,"59,061",U,U,U,U,U,U,U,U,U,U,U,U,U,U,,
Urban,"167,051",U,"187,053",U,U,U,U,U,"222,361",U,U,U,U,U,U,U,U,U,U,U,U,U,U,,
Population in Regionsa (thousands),,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,"49,183.0","49,869.0","50,875.6","51,443.9","51,520.3","51,591.3","51,685.7","51,830.0","53,667.5","53,930.0","54,167.7","54,364.5","54,514.3","54,598.2","54,710.0","54,879.4","55,060.2","55,283.7","55,381.7 ","55,635.7 ","55,832.0","56,028.2","56,152",,
South,"75,721.0","81,409.0","85,731.7","91,777.7","92,947.2","94,176.8","95,348.8","96,468.5","100,559.9","101,868.6","103,185.0","104,431.6","105,874.0","107,411.0","108,930.8","110,573.4","112,021.0","113,317.9","114,871.2 ","116,089.9 ","117,346.3","118,522.8","119,772",,
Midwest,"58,901.2","58,820.0","59,765.4","61,991.9","62,371.5","62,675.5","62,950.5","63,242.3","64,494.0","64,815.4","65,074.7","65,319.0","65,587.7","65,806.4","66,082.1","66,359.2","66,595.6","66,836.9","66,972.4 ","67,149.7 ","67,331.5","67,567.9","67,745",,
West,"43,419.4","47,827.0","53,091.6","57,589.7","58,389.6","59,340.0","60,263.0","61,150.1","63,450.6","64,467.5","65,376.4","66,211.3","67,069.7","67,937.5","68,870.3","69,767.9","70,698.0","71,568.1","72,121.7 ","72,846.4 ","73,602.3","74,378.6","75,188",,
Number of Immigrants admittede,"524,295","568,149","1,535,872","720,177","915,560","797,847","653,206","644,787","841,002","1,058,902","1,059,356","703,542","957,883","1,122,257","1,266,129","1,052,415","1,107,126","1,130,818","1,042,625","1,062,040","1,031,631","990,553",U,,
