Air Carrier Profile,,,,,,,,,,,,,,,,,
Financial,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Operating revenues (thousand dollars) 1,,,,,,,,,,,,,,,,,
Domestic total a,"2,178,339","7,180,161","26,440,297","58,201,660","66,672,151","71,424,865","77,396,919","82,599,270","86,856,624","91,351,103","98,899,810","86,573,051","79,336,448","88,870,097","100,902,509","110,269,243","120,279,816"
"Majors, all services","1,942,635","6,272,775","23,012,073","56,138,825","59,846,676","63,226,187","69,515,318","74,942,391","77,650,810","80,800,698","89,293,771","78,599,844","71,730,250","77,196,343","85,605,321","95,955,258","110,175,124"
"Nationals, all services","146,481","736,831","3,182,418","1,251,559","4,888,701","6,329,602","6,109,778","5,940,674","7,225,393","9,230,210","9,016,171","7,494,385","6,961,517","10,580,912","14,064,227","13,171,292","9,200,672"
"Large regionals, all services",N,N,"245,806","703,526","1,031,404","1,148,504","1,230,628","1,366,503","1,617,586","902,160","589,869","478,822","644,680","1,092,842","1,232,961","1,142,693","904,019"
International total,"705,938","2,109,497","6,442,144","17,824,538","22,364,429","23,432,883","25,046,819","27,318,034","26,611,331","27,958,958","31,348,410","28,706,979","27,837,150","28,897,918","33,719,280","39,535,274","44,388,011"
"Majors, all services","705,938","2,109,497","5,976,221","17,083,295","19,222,842","19,820,215","20,960,305","23,608,853","23,356,233","24,447,607","28,097,698","25,883,361","24,528,512","24,964,860","29,735,873","34,226,000","38,988,147"
"Nationals, all services",N,N,"465,923","380,294","2,568,643","2,819,653","3,751,539","3,338,903","2,668,243","3,026,884","2,801,690","2,503,678","2,959,809","3,408,860","3,399,904","4,803,265","5,160,564"
"Large regionals, all services",N,N,N,"357,761","572,944","793,015","334,975","370,278","586,855","484,468","449,022","319,940","348,828","524,198","583,502","506,009","239,299"
