Natural Gas Pipeline Profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINANCIAL ($ millions),1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,
Transmission pipeline companies 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total operating revenues ,"3,190","5,928","41,604","21,756","13,841","12,092","12,050","10,339","9,450","9,555","10,404","10,257","10,096","10,892","11,313","16,547","15,364","15,846","18,186","13,127",,,,,,,,,,,,
Total operating expensesa,"2,698","5,088","39,709","19,484","11,333","9,534","9,603","7,862","6,875","6,897","7,856","7,296","7,369","7,822","8,284","10,336","10,783","11,016","12,904","9,091",,,,,,,,,,,,
Operation and maintenance,"2,095","4,203","36,480","17,058","8,389","6,680","6,802","5,381","4,260","4,148","5,172","4,198","4,294","4,341","4,503","6,624","6,027","5,982","7,231","4,698",,,,,,,,,,,,
Operation expenses,"2,031","4,094","36,075","16,429","7,811","6,121","6,314","4,975","3,909","3,823","4,880","3,850","3,971","3,997","4,130","6,077","5,495","5,412","6,529","4,166",,,,,,,,,,,,
Maintenance expenses,64,109,405,629,578,558,488,406,351,325,292,347,322,344,373,548,532,570,702,532,,,,,,,,,,,,
"Taxes (federal, state, local)",319,376,"1,991","1,245","1,757","1,582","1,643","1,531","1,560","1,645","1,570","1,859","1,773","2,088","2,302","2,861","2,849","3,043","3,437","2,646",,,,,,,,,,,,
Federal taxesb,223,202,"1,327",768,"1,172","1,048","1,085","1,076","1,035","1,109","1,029","1,249","1,243","1,603","1,701","2,048","1,966","2,082","2,411","1,866",,,,,,,,,,,,
State and local taxes,96,174,664,477,585,534,558,455,525,536,541,610,530,485,601,813,883,961,"1,026",780,,,,,,,,,,,,
Distribution pipeline companies 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total operating revenues,N,N,"14,013","18,750","20,911","19,421","30,407","30,864","28,182","28,135","34,696","39,179","31,210","38,199","40,410","51,022","48,942","(R) 46,064","56,092","44,937",,,,,,,,,,,,
Total operating expensesa,N,N,"13,263","17,125","19,025","17,402","27,917","27,445","25,668","24,564","32,103","36,450","28,266","35,113","37,330","46,811","45,868","42,697","52,155","40,302",,,,,,,,,,,,
Operation and maintenance,N,N,"11,791","14,544","15,868","14,170","23,301","23,155","21,396","20,226","27,093","31,486","23,655","29,994","32,149","42,000","40,154","37,173","46,148","34,371",,,,,,,,,,,,
Operation expenses,N,N,"11,539","14,020","15,279","13,575","22,433","22,388","20,710","18,270","26,271","30,776","22,902","29,236","31,355","41,114","39,261","36,283","45,075","33,372",,,,,,,,,,,,
Maintenance expenses,N,N,252,524,589,596,868,767,687,"1,956",821,710,753,757,794,886,893,890,"1,073",999,,,,,,,,,,,,
