Rail Profile,,,,,,,,,,,,,,,,,,,,,,,
FINANCIAL,1960,1970d,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,,
"Class Ia,1",,,,,,,,,,,,,,,,,,,,,,,
"Operating revenues, total ($ millions) ","9,514","11,992","28,258","28,370","30,809","32,280","32,693","33,118","33,151","33,521","34,102","34,576","35,327","36,639","40,517","46,118","52,152","54,600","61,243","47,849",,,
Passenger,640,421,446,94,88,89,59,60,61,61,62,62,61,62,63,65,70,74,83,79,,,
Freight,"8,025","10,922","26,350","27,471","29,931","31,356","31,889","32,322","32,247","32,680","33,083","33,533","34,110","35,413","39,131","44,457","50,315","52,932","59,409","46,127",,,
Other,849,649,"1,462",805,790,835,745,736,843,780,957,981,"1,155","1,164","1,323","1,597","1,767","1,594","1,750","1,643",,,
Operating expenses ($ millions),"8,775","11,478","26,355","24,652","25,511","27,897","26,331","27,291","27,916","28,011","29,040","29,164","29,592","31,440","35,107","37,843","40,980","42,747","47,348","37,225",,,
Amtrak2,,,,,,,,,,,,,,,,,,,,,,,
Total revenue ($ millions),N,162,429,"1,308","1,413","1,490","1,550","1,669","2,244","2,011","2,111","2,109","2,228","1,994","1,865","1,886","2,042","2,153","2,453","2,353",,,
Total expenses ($ millions),N,301,"1,103","2,012","2,246","2,257","2,258","2,359","2,548","2,660","2,876","3,288","3,224","3,100","2,950","2,940","3,005","3,180","3,410","3,507",,,
INVENTORY,,,,,,,,,,,,,,,,,,,,,,,
"Class Ia, 1",,,,,,,,,,,,,,,,,,,,,,,
"Number of vehicles, total","1,994,517","1,811,258","1,738,921","1,231,096","1,210,917","1,237,739","1,259,842","1,290,103","1,335,928","1,389,092","1,400,824","1,333,881","1,320,176","1,299,751","1,309,935","1,335,024","1,370,239","1,409,852","1,416,975","1,387,478",,,
Class I freight cars,"1,658,292","1,423,921","1,168,114","658,902","590,930","583,486","570,865","568,493","575,604","579,140","560,154","499,860","477,751","467,063","473,773","474,839","475,415","460,172","450,297","416,180",,,
Other nonclass I freight cars,"307,194","360,260","542,713","553,359","601,482","635,441","669,708","701,926","740,063","789,696","820,642","814,276","821,919","811,917","814,147","837,406","871,092","925,537","942,675","947,253",,,
Number of locomotives,"29,031","27,077","28,094","18,835","18,505","18,812","19,269","19,684","20,261","20,256","20,028","19,745","20,506","20,771","22,015","22,779","23,732","24,143","24,003","24,045",,,
Number of companies,106,71,38,14,12,11,10,9,9,9,8,8,7,7,7,7,7,7,7,7,,,
Number of employees,"780,494","566,282","458,994","216,424","189,962","188,215","181,809","177,981","178,222","177,557","168,360","162,155","157,372","154,652","157,699","162,438","167,581","167,216","164,439","151,906",,,
Miles of road owned,"207,334","196,479","164,822","119,758","109,332","108,264","105,779","102,128","100,570","99,430","99,250","97,817","100,125","99,126","97,662","95,664","94,801","94,313","94,082","93,921",,,
Amtrak,,,,,,,,,,,,,,,,,,,,,,,
Number of passenger vehicles3,,,,,,,,,,,,,,,,,,,,,,,
Train-cars,N,"1,569","2,128","1,863","1,852","1,722","1,730","1,728","1,962","1,992","1,894","2,084","2,896","1,623","1,211","1,186","1,191","1,164","1,177","1,214",,,
Locomotives,N,185,419,318,338,313,299,332,345,329,378,401,372,442,276,258,319,270,278,274,,,
