Transit Profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINANCIAL,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Passenger operating revenues1, total ($ millions)","1,407","1,707","6,510","16,053","17,968","18,241","17,964","18,357","19,124","20,576","21,979","23,725","24,186","25,826","27,089","28,828","32,186","33,762","36,502","37,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Operating revenues, total","1,407","1,707","2,805","6,786","7,398","8,069","9,790","10,265","10,658","11,304","11,789","12,082","11,906","13,124","13,468","13,927","16,427","15,391","16,124","16,483",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Passenger fares, total","1,335","1,639","2,557","5,891","6,756","6,801","6,965","7,174","7,369","7,680","8,008","8,354","8,144","8,510","9,009","9,470","11,819","10,625","11,426","11,845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor bus,910,"1,194","1,791","2,967","3,250","3,287",U,U,U,U,U,U,"3,603","3,691","3,835","4,044","5,961","4,469","4,726","4,886",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy rail,270,369,717,"1,741","1,976","2,018",U,U,U,U,U,U,"2,492","2,654","2,903","3,007","3,218","3,346","3,639","3,801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light rail,74,47,31,83,135,127,U,U,U,U,U,U,226,229,233,249,293,309,368,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trolley bus,81,30,26,46,55,54,U,U,U,U,U,U,59,53,55,57,60,59,63,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand responsive,U ,U,U,41,171,146,U,U,U,U,U,U,184,176,180,193,209,207,216,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferryboata,U ,U,U,56,41,60,U,U,U,U,U,U,63,86,91,93,71,117,119,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commuter rail,U ,U,U,952,"1,083","1,078",U,U,U,U,U,U,"1,447","1,551","1,614","1,727","1,860","1,979","2,161","2,173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otherb,U ,U,3,6,46,31,U,U,U,U,U,U,69,69,98,101,148,141,133,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other operating revenue,72,68,248,895,642,"1,268","2,825","3,091","3,288","3,624","3,781","3,728","3,762","4,615","4,460","4,457","4,609","4,766","4,698","4,637",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
