Truck Profile,,,,,,,,,,,,,,,,,,
FINANCIAL,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"Operating revenues, totala  (based on SIC) ($ millions)",U,U,U,"127,314","155,713","161,806","172,743","183,153","197,490",U,U,U,U,U,U,U,U,U
Local trucking,U,U,U,"31,397","40,903","43,830","46,589","49,972","55,553",U,U,U,U,U,U,U,U,U
"Trucking, except local",U,U,U,"74,465","89,369","91,675","97,586","103,847","109,351",U,U,U,U,U,U,U,U,U
Local trucking with storage,U,U,U,"4,115","4,757","5,154","5,502","5,860","6,144",U,U,U,U,U,U,U,U,U
"Courier services, except by air",U,U,U,"17,337","20,684","21,147","23,066","23,474","26,442",U,U,U,U,U,U,U,U,U
"Operating expenses, totala  (based on SIC) ($ millions)",U,U,U,"118,968","145,216","151,628","162,825","170,998","179,907",U,U,U,U,U,U,U,U,U
Local trucking,U,U,U,"28,049","36,455","38,695","41,325","43,871","47,478",U,U,U,U,U,U,U,U,U
"Trucking, except local",U,U,U,"70,965","84,682","88,061","94,390","98,570","101,584",U,U,U,U,U,U,U,U,U
Local trucking with storage,U,U,U,"3,885","4,543","4,817","5,121","5,439","5,638",U,U,U,U,U,U,U,U,U
"Courier services, except by air",U,U,U,"16,069","19,536","20,055","21,989","23,118","25,207",U,U,U,U,U,U,U,U,U
"Operating revenues, totalb (based on NAICS) ($ millions)",U,U,U,U,U,U,U,U,"197,314","207,751","223,197","221,355","222,383","228,311","248,191","273,420","293,498","303,611"
Truck transportation,U,U,U,U,U,U,U,U,"148,121","155,871","165,421","162,871","164,218","168,486","185,945","206,512","221,871","228,907"
Couriers and messengers,U,U,U,U,U,U,U,U,"49,193","51,880","57,776","58,484","58,165","59,825","62,246","66,908","71,627","74,704"
"Truck highway-user taxes, total ($ millions)","2,830","5,632","9,888","19,356","23,836","25,117",U,"28,010","28,697","30,502","31,769","30,689","30,216","31,266","32,780","35,178","37,351","38,010"
State,"1,709","3,429","6,731","12,691","13,157","13,844",U,"15,750","15,611","16,266","16,476","17,686","16,566","14,312","17,923","18,632","19,573","20,188"
Federal,"1,121","2,203","3,157","6,665","10,679","11,273",U,"12,260","13,086","14,236","15,293","13,003","13,650","16,954","14,857","16,546","17,778","17,822"
INVENTORY,,,,,,,,,,,,,,,,,,
"Number of truck registrations, total","11,914,249","4,586,487","5,790,653","6,195,876","6,587,885","6,719,421","7,012,615","7,083,326","7,732,270","7,791,426","8,022,649","7,857,675","7,927,280","7,756,888","8,171,363","8,481,999","8,819,007","9,027,624"
Single-unit truck,U,"3,681,405","4,373,784","4,486,981","4,906,385","5,023,670","5,266,029","5,293,358","5,734,925","5,762,864","5,926,030","5,703,501","5,650,619","5,848,523","6,161,028","6,395,240","6,649,337","6,806,630"
Combination truck,U,"905,082","1,416,869","1,708,895","1,681,500","1,695,751","1,746,586","1,789,968","1,997,345","2,028,562","2,096,619","2,154,174","2,276,661","1,908,365","2,010,335","2,086,759","2,169,670","2,220,995"
Number of employees,,,,,,,,,,,,,,,,,,
"Trucking and courier services, except air  (based on SIC)",U,"998,500","1,182,000","1,273,900","1,384,200","1,440,000","1,482,100","1,514,200","1,568,800","1,613,700","1,630,500","1,619,800","1,590,000",U,U,U,U,U
Truck transportation (based on NAICS),U,U,U,"1,122,400","1,206,200","1,249,100","1,282,400","1,308,200","1,354,400","1,391,500","1,405,800","1,386,800","1,339,300","1,325,600","1,351,700","1,397,600","1,435,800","1,439,200"
Couriers and messengers (based on NAICS),U,U,U,"375,000","466,200","516,800","539,900","546,000","568,200","585,900","605,000","587,000","560,900","561,700","556,600","571,400","582,400","580,700"
Truck drivers and sales workersc (based on NAICS),U,U,U,U,U,U,U,U,U,U,U,U,"2,867,530","2,869,770","2,899,010","2,963,550","3,012,220","2,998,850"
Number of trucking and courier establishmentsa,U,"64,756","69,796","90,709","108,971","112,887","116,861","121,111","119,572","120,687","122,713","122,669","124,481","125,744","128,121","131,086","134,053","135,264"
PERFORMANCE,,,,,,,,,,,,,,,,,,
"Vehicle-miles,total rural and urban  (millions)","127,404","62,215","108,491","146,242","170,216","178,156","182,971","191,477","196,380","202,688","205,520","209,032","214,603","217,917","220,811","222,524","222,513","226,963"
"Rural highway, total","84,508","39,244","68,776","89,692","100,865","106,031","109,480","114,698","115,142","117,941","120,410","122,736","125,884","123,689","121,330","119,684","118,346","119,617"
Rural interstate,U,"10,069","25,111","35,789","40,034","43,351","45,721","49,336","49,896","51,049","52,484","53,225","54,503","52,925","51,296","51,378","50,204","49,819"
Rural other arterial,U,"17,625","24,789","31,331","35,040","37,056","37,875","39,193","39,724","40,691","41,649","41,838","42,436","41,342","40,690","39,762","39,277","40,037"
Other rural roads,U,"11,550","18,876","22,572","25,791","25,624","25,884","26,169","25,522","26,201","26,277","27,673","28,945","29,422","29,344","28,544","28,865","29,761"
"Urban highway, totald","42,896","22,971","39,715","56,550","69,351","72,125","73,491","76,779","81,238","84,747","85,110","86,296","88,719","94,227","99,481","102,840","104,167","107,346"
Urban interstate,U,"5,634","13,135","22,163","25,045","25,639","26,256","28,549","30,193","32,286","32,181","32,690","33,040","35,487","38,083","40,289","40,118","41,405"
Other urban streets,U,"17,337","26,580","34,387","44,306","46,486","47,235","48,230","51,045","52,461","52,929","53,606","55,679","58,740","61,398","62,551","64,049","65,941"
"Passenger-miles, totale(millions) ","127,405","62,215","108,491","146,242","170,216","178,156","182,971","191,477","196,380","202,688","205,520","209,032","214,603","217,917","220,811","222,524","222,513","226,963"
Single-unit truckf,"98,551","27,081","39,813","51,901","61,284","62,705","64,072","66,893","68,021","70,304","70,500","72,448","75,866","77,757","78,441","78,496","80,344","81,954"
Combination truck,"28,854","35,134","68,678","94,341","108,932","115,451","118,899","124,584","128,359","132,384","135,020","136,584","138,737","140,160","142,370","144,028","142,169","145,008"
Ton-miles  (millions),U,U,"629,675","848,779","987,923","1,034,041","1,061,952","1,110,554","1,139,777","1,176,388","1,192,825","1,213,208","1,245,542","1,264,773","1,281,573","1,291,515","1,294,492",U
"Fuel consumed, all trucks (million gallons) ","15,882","11,316","19,960","24,490","27,685","28,993","29,601","29,878","31,975","33,909","35,229","35,179","36,800","32,696","33,150","37,190","37,959","38,550"
Single-unit truck,U,"3,968","6,923","8,357","9,032","9,216","9,409","9,576","6,817","9,372","9,563","9,667","10,321","8,880","8,959","9,501","9,852","10,035"
Combination truck,U,"7,348","13,037","16,133","18,653","19,777","20,192","20,302","25,158","24,537","25,666","25,512","26,480","23,815","24,191","27,689","28,107","28,515"
"Average fuel consumption per vehicle, all trucks (gallons)","1,333","2,467","3,447","3,953","4,202","4,315","4,221","4,218","4,135","4,352","4,391","4,477","4,642","4,215","4,057","4,385","4,304","4,270"
Single-unit truck,U,"1,078","1,583","1,862","1,841","1,835","1,787","1,809","1,189","1,626","1,614","1,695","1,826","1,518","1,454","1,486","1,482","1,474"
Combination truck,U,"8,119","9,201","9,441","11,093","11,663","11,561","11,342","12,596","12,096","12,241","11,843","11,631","12,479","12,033","13,269","12,954","12,839"
"Average miles traveled per gallon of fuel consumed, all trucks",8.0,5.5,5.4,6.0,6.1,6.1,6.2,6.4,6.1,6.0,5.8,5.9,5.8,6.7,6.7,6.0,5.9,5.9
Single-unit truck,U,6.8,5.8,6.2,6.8,6.8,6.8,7.0,10.0,7.5,7.4,7.5,7.4,8.8,8.8,8.3,8.2,8.2
Combination truck,U,4.8,5.3,5.8,5.8,5.8,5.9,6.1,5.1,5.4,5.3,5.4,5.2,5.9,5.9,5.2,5.1,5.1
