,Â,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,TOTAL airportsb,15161,16319,17490,17581,17846,18317,18343,18224,18292,18345,18770,19098,19281,19356,19572,19581,19820,19854,19983,20341,19930,19750,19802,19782,19711,"(R) 19,457",19299
1,"Public use, total",4814,5858,5589,5551,5545,5538,5474,5415,5389,5357,5352,5324,5317,5294,5286,5286,5288,5270,5233,5221,5202,5178,5175,5172,5171,5155,5145
2,"Lighted runways, percent",66.2,68.1,71.4,71.9,72.3,72.8,73.5,74.3,74.5,74.6,74.8,76.1,75.9,76.2,76.1,76.2,76.3,76.8,77.2,U,U,U,U,U,U,U,U
3,"Paved runways, percent",72.3,66.7,70.7,71.5,71.6,72.2,72.9,73.3,73.7,74.0,74.2,74.2,74.3,74.6,74.5,74.5,74.5,74.8,75.3,U,U,U,U,U,U,U,U
4,"Private use, total",10347,10461,11901,12030,12301,12779,12869,12809,12903,12988,13418,13774,13964,14062,14286,14295,14532,14584,14757,14839,14451,14298,14353,14339,14269,14009,13863
5,"Lighted runways, percent",15.2,9.1,7.0,6.8,6.6,6.3,6.2,6.4,6.4,6.4,6.3,6.7,7.2,8.0,8.3,8.6,9.0,9.2,9.5,U,U,U,U,U,U,U,U
6,"Paved runways, percent",13.3,17.4,31.5,32.0,32.2,32.7,33.0,33.0,32.9,33.0,33.2,31.8,32.0,32.4,32.4,32.7,32.8,33.2,33.3,U,U,U,U,U,U,U,U
7,Military,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,281,277,274,274,271,271,289,286
8,TOTAL airports,15161,16319,17490,17581,17846,18317,18343,18224,18292,18345,18770,19098,19281,19356,19572,19581,19820,19854,19983,20341,19930,19750,19802,19782,19711,"(R) 19,457",19299
9,"Certificatedc, total",730,700,680,669,664,670,672,667,671,660,660,655,651,635,633,628,599,575,604,565,560,559,551,547,542,542,537
10,Civil,U,U,U,U,U,U,577,572,577,566,566,565,563,560,558,555,542,U,U,U,U,U,U,U,U,U,U
11,Military,U,U,U,U,U,U,95,95,94,94,94,90,88,75,75,73,57,U,U,U,U,U,U,U,U,U,U
12,"General aviation, total",14431,15619,16810,16912,17182,17647,17671,17557,17621,17685,18110,18443,18630,18721,18939,18953,19221,19279,19379,19776,19370,19191,19251,19235,19169,"(R) 18,915",18762
