,Year,Small buses,Medium buses,Large buses,Articulated buses,Total buses,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
0,Number,ADA Equipped,Percent,Number,ADA Equipped,Percent,Number,ADA Equipped,Percent,Number,ADA Equipped,Percent,Number,ADA Equipped,Percent,
1,1993,3964,3146,79.4,3542,1911,54.0,46413,23338,50.3,1807,693,38.4,55726,29088,52.2
2,1994,4738,3795,80.1,3693,2153,58.3,46979,24398,51.9,1613,719,44.6,57023,31065,54.5
3,1995,5372,4539,84.5,3879,2561,66.0,46355,27420,59.2,1716,861,50.2,57322,35381,61.7
4,1996,5998,5269,87.8,4233,3081,72.8,45587,29073,63.8,1551,893,57.6,57369,38316,66.8
5,1997,6853,6194,90.4,5136,4143,80.7,45502,29684,65.2,1484,911,61.4,58975,40932,69.4
6,1998,7206,6613,91.8,5938,5154,86.8,46163,33519,72.6,1566,1071,68.4,60870,46357,76.2
7,1999,9833,8902,90.5,1967,1503,76.4,49178,36014,73.2,1967,1503,76.4,67808,52388,77.3
8,2000,10531,9681,91.9,7674,6946,90.5,49693,37553,75.6,2078,1712,82.4,69976,55892,79.9
9,2001,11517,10617,92.2,8121,7387,91.0,50500,40484,80.2,2133,1712,80.3,72271,60200,83.3
10,(R) 2002,10810,10754,99.5,8693,8550,98.4,47867,40484,84.6,4339,4339,100.0,71709,64127,89.4
11,2003,10084,10002,99.2,9346,9127,97.7,46608,43780,93.9,2558,2466,96.4,68596,65375,95.3
12,2004,10248,10098,98.5,10031,10031,100.0,45919,44739,97.4,2591,2586,99.8,68789,67454,98.1
13,2005,11118,10846,97.6,10631,10499,98.8,45524,43479,95.5,2231,2225,99.7,69504,67049,96.5
14,2006,11537,11315,98.1,10993,10891,99.1,45403,44385,97.8,2294,2289,99.8,70227,68880,98.1
15,2007,13699,13471,98.3,11306,11207,99.1,46125,45023,97.6,2267,2267,100.0,73397,71968,98.1
16,2008,14326,14104,98.5,2340,2340,100.0,46460,45616,98.2,11537,11452,99.3,74663,73512,98.5
17,2009,14856,14613,98.4,12084,11974,99.1,44820,44162,98.5,3767,3767,100.0,75527,74516,98.7
18,2010,15170,14930,98.4,12082,11974,99.1,44057,43481,98.7,4158,4158,100.0,75467,74543,98.8
19,2011,15097,14835,98.3,12013,11879,98.9,42888,42354,98.8,4158,4158,100.0,74156,73226,98.7
