,Type of rail transit / agency,Primary city served,Number of stations,Percent of Stations Not ADA-Accessible,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
0,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,
1,Heavy rail,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
2,San Francisco Bay Area Rapid Transit District,"San Francisco, CA",36,39,39,39,39,39,39,43,43,43,43,43,43,43,43,44,44,44,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Los Angeles County Metropolitan Transportation Authority,"Los Angeles, CA",5,8,8,13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Washington Metropolitan Area Transit Authority,"Washington, DC",74,75,75,76,78,83,83,83,83,86,86,86,86,86,86,86,86,86,172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
5,Miami-Dade Transit,"Miami, FL",21,21,21,21,21,21,21,22,22,22,20,22,22,22,22,22,23,23,23,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Metropolitan Atlanta Rapid Transit Authority,"Atlanta, GA",36,36,36,36,36,38,38,38,38,38,38,38,38,38,38,38,38,38,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Chicago Transit Authority,"Chicago, IL",140,141,141,142,142,144,144,144,144,144,144,144,143,143,143,143,145,145,145,100.0,100.0,100.0,90.1,62.0,55.6,55.6,54.2,50.0,50.0,47.9,44.4,39.9,37.8,37.1,35.7,35.2,33.1,33.1
8,Massachusetts Bay Transportation Authority,"Boston, MA",53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,37.7,37.7,37.7,30.2,30.2,28.3,24.5,20.8,20.8,20.8,20.8,7.5,7.5,7.5,7.5,7.5,7.5,7.5,5.7
9,Maryland Transit Administration,"Baltimore, MD",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Metropolitan Transportation Authority New York City Transit,"New York, NY",468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,94.0,93.6,93.6,93.4,91.2,91.2,90.6,89.3,88.5,86.1,85.3,84.0,82.9,82.3,81.2,81.4,79.9,79.5,77.8
11,Port Authority Trans-Hudson Corporation,"Jersey City, NJ",13,13,13,13,13,13,11,13,13,13,13,13,13,13,13,13,13,13,13,53.8,53.8,53.8,53.8,53.8,53.8,54.5,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2
12,Staten Island Rapid Transit Operating Authority,"New York, NY",22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,22,22,22,22,90.9,90.9,90.9,90.9,90.9,87.0,82.6,82.6,82.6,78.3,78.3,78.3,78.3,78.3,78.3,81.8,81.8,81.8,81.8
13,The Greater Cleveland Regional Transit Authority,"Cleveland, OH",18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,77.8,66.7,66.7,61.1,55.6,55.6,50.0,50.0,44.4,44.4,33.3,27.8,27.8,27.8,27.8,16.7,16.7,16.7,16.7
14,Southeastern Pennsylvania Transportation Authority,"Philadelphia, PA",76,76,76,76,76,76,53,75,75,75,75,75,75,75,75,75,75,75,75,94.7,94.7,94.7,94.7,94.7,94.7,75.5,77.3,76.0,76.0,76.0,68.0,62.7,61.3,60.0,53.3,50.7,49.3,50.7
15,Port Authority Transit Corporation,"Philadelphia, PA",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,76.9,76.9,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,46.2,46.2
16,Commuter rail,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
17,Altamont Commuter Express,"San Jose, CA",U,U,U,U,U,U,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,North San Diego County Transit District,"San Diego, CA",U,U,U,U,U,U,8,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
