,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,Number of civilian aircraft (shipments),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Transporta,245,233,311,315,387,278,521,589,567,408,309,256,269,374,559,620,485,526,379,281,285,290,398,441,375,481,462,477,601,648
2,Helicopters,N,598,482,864,1366,384,603,571,324,258,308,292,278,346,363,361,493,415,318,517,805,947,898,1009,1084,570,339,435,486,596
3,General aviation,7588,11852,7283,14072,11881,2029,1144,1021,899,964,928,1077,1115,1549,2200,2504,2816,"(R) 2,631",2207,2137,2355,2857,3147,3279,3079,1585,1334,"(R) 1,465","(R) 1,518",1615
4,Highway,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
5,Passenger car (new retail sales),6641000,9332000,8399000,8624000,8979000,11043000,9300000,8175000,8214000,8518000,8990000,8635000,8526000,8272000,8141721,8698284,8846625,8422625,8103229,7610481,7545149,7719553,7761592,7562334,"(R) 6,769,134","(R) 5,401,565","(R) 5,635,739","(R) 6,089,708","(R) 7,244,439",7585341
6,Motorcycle (new retail sales)b,N,N,1125000,940000,1070000,710000,303000,280000,278000,293000,306000,309000,330000,356000,432000,546000,710000,850000,936000,1001000,1063000,1149000,1190000,1124000,879910,521876,439678,440899,459298,465783
7,"Truck (factory sales)c,d",1194475,1716564,1660446,2231630,1667283,3464327,3725205,3387503,4062002,4895224,5640275,5713469,5775730,6152817,6435185,7345059,7022478,6223586,6963720,7143429,7466739,7246737,6442831,6200712,4322861,3107426,4132193,4641596,4976954,5393954
8,Bus; includes school bus (factory sales)d,U,35241,31994,40530,34385,33533,32731,24058,22484,24549,22409,23918,27583,26882,27483,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
9,Recreational vehicle (shipments),N,192830,380300,339600,178500,351700,347300,293700,382700,420200,518800,475200,466800,438800,441300,473800,418300,321000,378700,377800,412100,419500,416800,353500,237000,165700,242300,252300,285780,321127
10,Bicyclee,N,N,N,N,9000000,11400000,10800000,11600000,11600000,13000000,12500000,12000000,10900000,11000000,11100000,11600000,11900000,11300000,13600000,12900000,13000000,14000000,12700000,12800000,13400000,10200000,13500000,11000000,13000000,11300000
11,Transit cars (deliveries),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
12,Motor busf,2806,3000,1424,5261,4572,5390,5728,5961,4668,6524,9740,9317,9328,10529,9970,11331,11916,15958,10600,11754,9373,10394,10944,15090,16019,13704,10264,10256,9861,U
13,Light rail,0,0,0,0,32,63,55,17,35,54,72,38,39,76,80,123,136,111,107,169,127,129,102,91,53,87,49,140,0,U
14,Heavy rail,416,580,308,127,130,441,10,6,163,260,55,72,10,34,120,122,204,751,828,470,76,50,462,394,555,69,404,0,25,U
15,Trolley bus,0,0,0,1,98,0,118,149,0,24,36,3,3,0,54,0,0,149,88,103,31,23,6,2,36,0,7,0,0,U
16,Commuter rail,214,666,302,2165,152,179,83,187,110,8,47,38,111,198,122,132,116,54,166,338,571,476,137,118,218,150,7,116,170,U
17,Class I rail (deliveries),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
18,Freight carg,57047,77822,66185,72392,85920,12080,32063,24678,25761,35239,48819,60853,57877,50396,75685,74223,55791,34260,17714,32184,46871,68612,74729,63156,59954,21682,16552,41814,"(R) 53,632",49954
19,Locomotive,389,1387,1029,772,1480,522,530,472,321,504,821,928,761,743,889,709,640,710,745,587,1121,827,922,902,819,460,259,473,658,665
20,Amtrak (deliveries),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
21,Passenger train carh,N,N,N,109,109,0,58,0,0,0,64,76,92,10,0,157,65,7,0,0,0,0,0,0,0,0,0,0,0,0
22,Locomotiveh,N,N,N,30,17,10,0,0,20,26,18,10,0,111,35,1,32,44,0,0,0,0,0,0,0,0,0,0,0,0
23,Water transport,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
24,Merchant vesseli,20,13,13,15,23,14,0,0,3,0,1,1,0,1,4,2,0,2,2,6,5,7,U,U,U,U,U,U,U,U
25,Recreational boatj,N,N,N,N,569700,636800,494700,448000,466750,498775,576200,663760,634750,610100,571400,582500,576800,880300,844100,837900,870100,864450,912130,841820,704820,572520,517745,527005,"(R) 546,395",532170
