,Â,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001e,2002e,2003e,2004e,2005e,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,TOTAL automobiles and trucks in fleets,U,U,U,U,U,15257,15570,15869,16879,15530,15196,13642,11985,12128,11884,12274,12538,12132,11211,10865,11550,11777,11744,11876,12424,12276
1,"Automobiles in fleets, total",U,U,U,U,U,9042,9124,9225,9550,7742,7346,6640,5600,5647,5514,5621,5662,5441,4882,4804,5291,5484,5413,5384,5603,5772
2,Automobiles in fleets of 15 or more (10 or more cars for 1999-2001 and 15 or more cars for 2002-15)a,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
3,Businessb,2889,2628,2492,1751,1722,1326,1295,1188,1159,3195,2950,2620,930,929,873,877,927,891,791,741,804,835,728,689,659,685
4,Governmentc,538,504,516,401,428,1214,1209,1218,1030,885,883,734,1360,1420,1200,1200,1237,1263,1299,1352,1330,1240,1290,1245,1325,1340
5,Utilities,551,544,548,386,382,376,376,377,359,320,317,U f,U f,U f,U f,U f,U f,U f,U f,U f,U f,U f,U f,U f,U f,U f
6,Police,249,250,264,264,266,269,274,280,289,302,306,312,317,317,402,412,414,420,432,417,424,408,416,430,441,441
7,Taxi (includes vans),141,141,140,140,141,139,130,181,190,135,136,142,148,148,156,162,169,172,175,159,155,148,155,159,155,135
8,Rental (includes vans and SUVs),990,1160,1448,1501,1473,1518,1590,1608,1602,1733,1581,1542,1555,1520,1570,1620,1595,1440,1289,1175,1553,1745,1850,1920,2040,2156
9,Automobiles in fleets of 4 to 14 (4 to 9 cars for 1999-2001 and 5 to 14 cars for 2002-15)a,U,U,U,U,U,4200,4250,4373,4921,1172,1173,1290,1290,1313,1313,1350,1320,1255,896,960,1025,1108,975,941,983,1015
10,"Trucks in fleets, total",U,U,U,U,U,6215,6446,6644,7329,7788,7850,7002,6385,6481,6370,6653,6876,6691,6329,6061,6259,6293,6331,6492,6822,6504
11,Trucks in fleets of 15 or more (10 or more trucks for 1999-2001 and 15 or more trucks for 2002-15)a,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
12,Businessd,U,U,1080,1378,1375,1205,1275,1332,1360,3016,3026,2820,2180,2181,2337,2370,2411,2306,2224,1999,2136,2237,2187,2136,2232,2340
13,Governmentc,U,U,297,632,646,2221,2215,2223,2010,2400,2408,2052,2070,2102,1615,1615,1673,1704,1701,1751,1684,1512,1560,1632,1727,1810
14,Utilities,U,U,593,493,487,480,482,483,459,499,498,U f,U f,U f,U f,U f,U f,U f,U f,U f,U f,U f,U f,U f,U f,U f
15,"Other (police, taxi, etc.)",U,U,7,7,7,7,7,7,8,8,8,9,9,9,26,37,49,46,59,55,58,62,67,75,77,77
16,Rental trucks (not including vans and SUVs),U,U,304,308,363,202,197,179,181,213,248,246,251,289,492,521,540,490,381,380,391,417,465,480,535,582
17,Trucks in fleets of 4 to 14 (4 to 9 trucks for 1999-2001 and 5 to 14 trucks from 2002-15)a,U,U,U,U,U,2100,2270,2420,3311,1652,1662,1875,1875,1900,1900,2110,2203,2145,1964,1875,1990,2065,2053,2169,2250,1694
