,Â,(R) 1990,(R) 1991,(R) 1992,(R) 1993,(R) 1994,(R) 1995,(R) 1996,(R) 1997,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,2010
0,"Total, vehicle sales and leases",52484,50904,51142,54049,58285,59838,59481,60177,60911,63159,64320,64434,63773,63644,62839,64626,62744,61562,52845,48545,51434
1,New vehicle sales and leases,14954,13614,14192,15992,18144,18080,18680,18940,20070,22420,22700,21810,20748,20072,20294,20488,20178,20143,16315,13053,14550
2,Passenger cars,10280,9320,9530,10220,11230,10730,10550,10510,10990,11410,11710,11060,10250,9860,10100,9942,10118,9943,8833,7193,7530
3,Light trucks,4674,4294,4662,5772,6914,7350,8130,8430,9080,11010,10990,10750,10498,10212,10194,10546,10060,10200,7482,5860,7020
4,New vehicle sales,13890,12360,12470,13510,14920,14700,14900,15100,15560,16960,17410,17250,16800,16670,16850,16990,16460,16230,13300,10550,11580
5,Passenger cars,9300,8200,8200,8500,9000,8500,8200,8200,8200,8750,9000,8550,8300,8050,8220,8020,8150,8060,7110,5850,5980
6,Light trucks,4590,4160,4270,5010,5920,6200,6700,6900,7360,8210,8410,8700,8500,8620,8630,8970,8310,8170,6190,4700,5600
7,New vehicle leases,1064,1254,1722,2482,3224,3380,3780,3840,4510,5460,5290,4560,3948,3402,3444,3498,3718,3913,3015,2503,2970
8,Passenger cars,980,1120,1330,1720,2230,2230,2350,2310,2790,2660,2710,2510,1950,1810,1880,1922,1968,1883,1723,1343,1550
9,Light trucks,84,134,392,762,994,1150,1430,1530,1720,2800,2580,2050,1998,1592,1564,1576,1750,2030,1292,1160,1420
10,Used vehicle salesa,37530,37290,36950,38057,40141,41758,40801,41237,40841,40739,41620,42624,43025,43572,42545,44138,42566,41419,36530,35492,36884
11,Value ($ in billions)b,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
12,"Total, new and used vehicle sales",447,437,486,524,582,611,627,642,651,698,736,737,721,738,765,776,786,774,643,575,635
13,New vehicle sales,227,208,240,267,291,292,298,306,316,348,380,369,371,382,407,421,445,435,351,274,311
14,Used vehicle sales,220,229,246,257,291,319,329,336,335,350,356,367,350,356,358,355,341,339,292,301,324
15,Average price (current $)b,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
16,New and used vehicle sales,8691,8813,9759,10078,10543,10818,11221,11385,11545,12098,12469,12321,12034,12253,12868,12695,13287,13451,12909,12518,13105
17,New vehicle sales,16350,16880,18655,19200,19335,19819,19727,20214,20276,20534,21850,21507,22005,22894,24082,24796,26854,26950,26477,26245,26850
18,Used vehicle sales,5857,6143,6656,6742,7245,7644,8073,8139,8211,8587,8547,8619,8130,8180,8410,8036,8009,8186,7986,8483,8786
