,Â,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,(R) 2012,(R) 2013,(R) 2014,2015
0,TOTAL productions,11306,14460,12615,12573,12172,13211,14125,15145,13144,14458,14456,15215,16571,15605,16115,15773,15709,15892,15104,15276,13898,9316,"(R) 11,116","(R) 12,018",13448,15198,15512,U
1,Car,9443,10791,8810,8524,8108,8456,8415,9396,7890,8334,7971,8376,9125,8405,8301,7921,7537,8027,7993,8082,7319,5636,"(R) 6,061","(R) 5,743",7392,8226,7639,U
2,Car SUV,0,88,65,224,243,473,332,220,287,361,454,488,617,743,603,575,639,813,751,919,924,608,915,1207,1265,1514,1566,U
3,Pickup,1437,2078,1835,1920,1840,2002,2669,2271,1955,2408,2415,2544,2612,2519,2380,2474,2505,2300,2188,2113,1794,989,1276,1479,1357,1577,1929,U
4,Van,242,855,1262,1034,1221,1441,1418,1662,1409,1265,1489,1463,1691,1232,1243,1232,953,1481,1166,847,790,368,559,521,661,571,672,U
5,Truck SUV,184,648,643,871,761,838,1291,1596,1603,2089,2127,2342,2526,2707,3588,3571,4075,3272,3006,3314,3072,"(R) 1,714",2305,3069,2771,3310,3706,U
6,"Market share, percent",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
7,Car,83.5,74.6,69.8,67.8,66.6,64.0,59.6,62.0,60.0,57.6,55.1,55.1,55.1,53.9,51.5,50.2,48.0,50.5,52.9,52.9,52.7,60.5,54.5,(R) 47.8,55.0,54.1,49.2,49.0
8,Car SUV,0.0,0.6,0.5,1.8,2.0,3.6,2.3,1.5,2.2,2.5,3.1,3.2,3.7,4.8,3.7,3.6,4.1,5.1,5.0,6.0,6.6,6.5,8.2,(R) 10.0,9.4,10.0,10.1,10.6
9,Pickup,12.7,14.4,14.5,15.3,15.1,15.2,18.9,15.0,14.9,16.7,16.7,16.7,15.8,16.1,14.8,15.7,15.9,14.5,14.5,13.8,12.9,10.6,11.5,12.3,10.1,10.4,12.4,13.4
10,Van,2.1,5.9,10.0,8.2,10.0,10.9,10.0,11.0,10.7,8.8,10.3,9.6,10.2,7.9,7.7,7.8,6.1,9.3,7.7,5.5,5.7,4.0,5.0,4.3,4.9,3.8,4.3,3.5
11,Truck SUV,1.6,4.5,5.1,6.9,6.2,6.3,9.1,10.5,12.2,14.5,14.7,15.4,15.2,17.3,22.3,22.6,25.9,20.6,19.9,21.7,22.1,18.4,(R) 20.7,(R) 25.5,20.6,21.8,23.9,23.6
12,"Fuel economy, mpg",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
13,Car,20.0,23.0,23.3,23.4,23.1,23.5,23.3,23.4,23.3,23.4,23.4,23.0,22.9,23.0,23.1,23.3,23.1,23.5,23.3,24.1,24.3,25.3,26.2,(R) 26.1,27.9,28.6,28.7,29.3
14,Car SUV,14.6,20.1,18.8,18.2,17.8,17.0,18.0,17.8,18.4,19.2,18.2,18.5,17.9,18.8,19.3,19.9,20.0,20.2,20.5,20.6,21.2,22.0,23.0,(R) 23.7,23.4,24.5,24.6,24.9
15,Pickup,16.5,18.2,17.4,18.2,17.5,17.6,17.4,16.9,17.1,16.8,17.0,16.3,16.7,16.0,15.8,16.1,15.7,15.8,16.1,16.2,16.5,16.9,16.9,17.2,17.2,17.4,18.0,18.9
16,Van,14.1,16.5,17.8,17.9,17.9,18.2,17.8,18.1,18.3,18.2,18.7,18.3,18.6,18.0,18.7,19.0,19.2,19.3,19.5,19.5,19.8,20.1,20.1,21.0,21.3,21.1,21.3,21.9
17,Truck SUV,13.2,16.5,16.4,16.7,16.2,16.3,16.0,16.0,16.2,16.1,16.2,16.1,16.0,16.4,16.3,16.4,16.5,16.7,17.2,17.7,18.2,19.3,19.7,19.8,20.0,20.9,21.7,21.7
