,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,World fleet,17317,18329,19980,22872,24867,25555.0,23596.0,23943.0,23753.0,24331.0,25092.0,25608.0,26858.0,27557.0,27828,28259,28318,25847,26782,27694,28988,30071,31507,33035,34750,34966,33586,34987,36000,36307,38496,40931,41674
1,U.S. fleet,2926,2376,1579,857,864,737.0,636.0,619.0,603.0,565.0,543.0,509.0,495.0,477.0,470,463,282,274,261,246,233,231,229,220,225,217,221,214,198,187,179,170,169
2,U.S. Percentage of the world fleet,16.9,13.0,7.9,3.7,3.5,2.9,2.7,2.6,2.5,2.3,2.2,2.0,1.8,1.7,1.7,1.6,1.0,1.1,1.0,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.7,0.6,0.6,0.5,0.5,0.4,0.4
3,"Freighters, total",2138,1747,1076,511,471,417.0,367.0,359.0,349.0,322.0,308.0,295.0,292.0,288.0,289,284,142,140,139,136,140,141,142,133,140,137,138,138,139,131,122,112,108
4,DWT (thousands),21877,18127,11733,7051,6885,7353.0,7265.0,7156.0,7211.0,7040.0,6866.0,6517.0,6419.0,6458.0,6732,6696,4406,4334,4247,4240,4323,4605,4432,4126,4435,4310,4584,4528,4528,4288,4140,3976,3754
5,General Cargo,N,N,N,356,259,209.0,166.0,165.0,182.0,169.0,152.0,142.0,146.0,142.0,140,137,22,23,20,18,22,17,20,20,19,19,18,20,22,22,21,16,17
6,DWT (thousands),N,N,N,4640,3329,2980.0,2605.0,2592.0,2973.0,2913.0,2677.0,2472.0,2467.0,2420.0,2400,2404,555,563,411,296,335,284,297,297,250,229,174,191,224,239,231,161,179
7,Container,N,N,N,109,121,104.0,92.0,92.0,83.0,87.0,86.0,81.0,83.0,85.0,91,89,81,77,79,78,75,81,73,70,78,76,80,79,80,75,69,67,63
8,DWT (thousands),N,N,N,1773,2289,2651.0,2856.0,2856.0,2722.0,2812.0,2802.0,2600.0,2639.0,2743.0,3096,3056,3004,2932,3019,3124,3104,3428,3106,2952,3306,3219,3596,3537,3554,3357,3257,3230,2998
9,Partial containerships,N,N,N,37,68,63.0,59.0,52.0,30.0,3.0,3.0,3.0,1.0,1.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10,DWT (thousands),N,N,N,510,940,904.0,836.0,741.0,456.0,57.0,57.0,57.0,17.0,17.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
11,Ro-Ro,N,N,N,9,23,41.0,50.0,50.0,54.0,63.0,67.0,69.0,62.0,60.0,58,58,39,40,40,40,43,43,49,43,43,42,40,39,37,34,32,29,28
12,DWT (thousands),N,N,N,128,327,818.0,968.0,967.0,1060.0,1258.0,1330.0,1388.0,1296.0,1278.0,1236,1236,847,839,817,820,884,893,1029,877,879,862,814,799,751,692,652,585,577
13,"Tankers, total",422,341,294,267,308,258.0,233.0,226.0,220.0,210.0,200.0,181.0,173.0,161.0,154,154,117,111,96,84,67,63,63,63,61,59,62,60,49,48,49,50,53
14,DWT (thousands),7815,7561,7739,9711,16152,15534.0,15641.0,14993.0,14180.0,13048.0,11945.0,11028.0,10378.0,9696.0,9289,9373,6854,6385,5379,4558,3655,3655,3984,4001,4028,3966,4104,4016,3326,3340,3386,3504,3768
15,Petroleum/chemical ships,N,N,N,N,N,244.0,219.0,212.0,206.0,196.0,186.0,167.0,159.0,148.0,145,146,117,111,96,84,67,63,63,63,61,59,62,60,49,48,49,50,53
16,DWT (thousands)b,N,N,N,N,N,14574.0,14681.0,14033.0,13279.0,12143.0,11040.0,10123.0,9473.0,8857.0,8737,8845,6854,6385,5379,4558,3655,3655,3984,4001,4028,3966,4104,4016,3326,3340,3386,3504,3768
17,Liquefied petroleum/natural gas ships,N,N,N,N,N,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,9,8,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
18,DWT (thousands),N,N,N,N,N,960.0,960.0,960.0,901.0,905.0,905.0,905.0,905.0,839.0,552,528,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
19,"ITB, total",309,227,171,60,65,37.0,10.0,10.0,11.0,12.0,13.0,13.0,15.0,14.0,12,11,12,12,12,12,12,12,12,12,12,9,9,4,2,2,2,2,2
20,DWT (thousands),2070,1488,1107,388,446,299.0,91.0,92.0,97.0,104.0,115.0,115.0,139.0,136.0,116,99,462,462,462,462,462,462,462,462,462,324,324,99,15,15,15,15,15
21,"Dry Bulk, total",57,61,38,19,20,25.0,26.0,24.0,23.0,21.0,22.0,20.0,15.0,14.0,15,14,11,11,14,14,14,15,12,12,12,12,12,12,8,6,6,6,6
22,DWT (thousands),805,1107,767,544,607,1152.0,1270.0,1014.0,991.0,949.0,1042.0,925.0,575.0,321.0,604,579,685,685,823,823,823,875,533,533,533,533,533,533,388,260,260,260,260
