,Â,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,RURAL,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Interstates miles reported,31737,29089,31502,31254,31312,31431,30498,32820,32888,32951,32907,31956,31341,30802,30512,30040,30076,29910,U,29349,30204,18950,28783
2,">220, percent",0.8,1.0,1.1,1.8,0.6,0.7,0.7,0.5,0.4,0.3,0.4,0.3,0.4,0.5,0.5,0.3,0.3,0.3,U,0.5,0.5,0.7,0.6
3,"171-220, percent",4.4,6.0,5.4,4.5,3.3,3.0,3.4,1.8,1.8,1.6,1.7,1.3,1.6,1.3,1.5,1.6,1.6,1.4,U,1.3,1.3,1.7,1.5
4,"95-170, percent",48.2,48.6,50.4,43.0,40.8,39.8,34.3,32.1,29.2,27.1,25.7,25.2,24.9,23.1,20.8,20.4,19.8,18.9,U,18.6,17.1,17.3,15.4
5,"60-94, percent",27.1,36.1,33.2,36.9,38.8,41.0,42.6,44.0,44.8,43.3,44.0,43.9,46.9,47.0,46.5,46.8,46.9,45.4,U,42.6,41.7,38.0,37.7
6,"<60, percent",19.5,8.3,9.9,13.9,16.6,15.7,19.0,21.5,23.9,27.7,28.2,29.3,26.2,28.1,30.7,30.9,31.4,34.0,U,37.0,39.4,42.3,44.8
7,Miles not reported,1280,3563,955,1326,1508,1382,2313,153,162,109,84,87,103,92,71,311,117,252,U,907,318,67,312
8,Other principal arterials miles reported,90522,78296,89506,89265,92103,92170,93333,97247,97297,97946,97854,96656,95390,94216,94500,94396,94367,92867,U,87830,89700,45197,87270
9,">220, percent",2.2,2.9,2.4,4.4,1.4,1.6,1.4,0.9,0.8,0.7,0.7,0.7,0.9,0.8,0.8,0.6,0.5,0.6,U,0.8,0.9,1.1,1.2
10,"171-220, percent",7.0,9.2,8.2,7.6,5.8,4.9,4.6,3.7,3.2,3.0,2.7,2.8,3.3,2.8,2.5,2.5,2.4,2.4,U,2.5,2.6,2.7,2.6
11,"95-170, percent",53.5,54.8,57.4,51.1,49.1,47.7,43.3,41.5,38.7,37.3,35.6,35.5,35.9,33.5,31.3,30.9,30.5,29.2,U,28.5,28.3,27.7,27.6
12,"60-94, percent",22.4,26.7,26.6,27.9,34.4,37.2,38.3,40.5,42.9,42.5,44.2,44.6,44.9,45.8,46.5,46.5,47.5,46.1,U,45.8,45.1,42.6,42.3
13,"<60, percent",14.8,6.4,5.4,9.0,9.3,8.6,12.3,13.5,14.4,16.5,16.7,16.4,14.9,17.1,18.9,19.5,19.1,21.7,U,22.5,23.1,25.8,26.3
14,Miles not reported,4276,17905,7489,8683,6028,6083,5524,1587,1619,1247,1009,386,552,946,430,377,579,1273,U,3450,1720,272,3003
15,Minor arterials miles reported,127818,127197,124877,121443,126381,126525,130591,135192,136096,134706,136955,134984,134884,134358,134914,134798,134386,134551,U,122863,129059,117712,123840
16,">220, percent",2.7,4.1,3.5,3.7,2.3,2.3,1.9,1.7,1.7,1.7,1.3,1.3,1.4,1.4,1.7,1.2,1.3,1.7,U,2.0,1.9,2.2,2.1
17,"171-220, percent",10.9,10.5,10.5,9.0,8.2,6.7,6.0,5.2,5.3,5.2,4.5,4.8,5.1,4.0,4.2,4.5,4.5,4.5,U,4.6,4.3,5.1,4.9
18,"95-170, percent",52.3,55.0,57.9,54.7,50.7,50.4,47.2,47.3,46.2,44.9,43.6,43.0,44.3,42.0,40.7,40.9,40.8,41.6,U,41.0,38.2,38.6,38.8
19,"60-94, percent",21.4,24.9,23.6,23.9,31.0,33.6,34.3,34.4,35.6,36.9,39.1,41.2,39.5,41.6,41.5,40.3,40.4,39.4,U,39.3,41.2,38.4,38.0
20,"<60, percent",12.7,5.5,4.5,8.7,7.7,7.0,10.6,11.4,11.2,11.3,11.6,9.7,9.6,11.0,11.8,13.0,13.1,12.8,U,13.1,14.3,15.8,16.2
21,Miles not reported,10819,10731,13294,15708,10978,10978,6664,1968,1436,2874,606,607,573,1049,455,497,616,883,U,12422,5818,3845,7481
22,Major collectors miles reported,N,N,N,N,N,N,N,225590,229294,235173,242753,249375,261683,269022,267431,273665,277721,278294,U,274449,283044,244708,264387
23,">220, percent",N,N,N,N,N,N,N,8.8,9.0,7.7,7.4,7.2,6.2,5.6,5.4,5.4,4.8,5.0,U,6.7,6.8,7.9,7.7
24,"171-220, percent",N,N,N,N,N,N,N,12.2,13.1,13.2,11.2,11.1,10.8,10.5,11.0,10.8,11.2,11.1,U,11.9,12.3,11.7,12.5
25,"95-170, percent",N,N,N,N,N,N,N,53.2,51.9,49.4,49.0,50.4,52.8,52.7,54.4,55.3,54.6,55.2,U,48.6,48.3,46.2,45.9
26,"60-94, percent",N,N,N,N,N,N,N,21.0,21.9,25.4,27.2,26.4,25.4,26.1,24.1,23.3,23.4,22.5,U,25.1,26.1,27.1,26.5
27,"<60, percent",N,N,N,N,N,N,N,4.9,4.1,4.3,5.1,4.9,4.8,5.0,5.2,5.2,6.0,6.1,U,7.7,6.5,7.0,7.3
28,Miles not reported,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U,N,N,N,N
29,URBAN,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
30,Interstates miles reported,11783,10738,12338,12307,12430,12477,12231,13109,13139,13256,13367,14331,14984,15544,15899,16035,16348,16278,U,15994,16383,10954,17699
31,">220, percent",2.8,2.5,2.8,1.8,1.4,2.0,2.3,1.5,1.4,1.6,1.7,1.7,1.8,1.5,1.1,1.6,1.4,1.1,U,1.5,1.4,1.5,1.6
32,"171-220, percent",8.5,8.2,10.2,8.6,7.3,7.1,7.0,5.8,5.1,5.8,6.0,5.9,5.3,4.5,4.0,4.3,4.0,4.0,U,3.7,3.6,3.6,3.7
33,"95-170, percent",54.5,54.5,54.1,50.7,53.0,51.4,47.3,45.7,43.1,41.8,40.9,37.9,37.2,35.4,34.7,34.0,32.5,32.1,U,29.4,27.3,25.4,24.8
34,"60-94, percent",20.1,28.3,26.7,27.5,30.7,32.9,32.0,34.9,37.1,35.9,36.0,36.6,38.2,42.0,41.4,41.3,42.9,42.0,U,40.7,39.8,38.9,38.6
35,"<60, percent",14.0,6.5,6.2,11.4,7.6,6.7,11.4,12.0,13.3,14.9,15.4,17.9,17.4,16.6,18.7,18.8,19.2,20.9,U,24.7,28.0,30.6,31.3
36,Miles not reported,683,2140,788,857,787,771,1040,230,226,156,123,131,140,157,139,271,193,317,U,711,526,91,868
37,Other freeways and expressway miles reported,8146,7011,7618,7804,8410,8480,8772,8860,8796,8959,9242,9786,10143,10443,10659,10832,11175,10942,U,10730,10896,6416,11070
38,">220, percent",3.7,3.8,5.3,4.8,3.4,3.3,3.2,2.6,2.8,3.1,2.7,2.4,2.1,1.9,1.5,1.6,1.4,1.4,U,2.2,2.2,2.2,2.5
39,"171-220, percent",9.5,9.4,12.7,9.8,8.7,8.7,8.7,8.1,8.1,7.1,7.6,8.3,7.6,6.0,5.0,5.5,5.1,5.1,U,5.6,5.3,5.0,5.7
40,"95-170, percent",59.5,60.6,58.1,54.7,54.7,58.5,54.3,53.6,50.7,50.5,48.6,45.7,45.5,44.7,43.0,42.3,42.5,41.6,U,39.0,36.1,35.1,33.4
41,"60-94, percent",18.1,22.7,20.9,20.4,26.3,25.2,27.1,29.0,31.6,31.5,33.3,35.0,37.4,39.6,40.1,40.5,40.6,40.4,U,39.1,39.4,39.6,38.6
42,"<60, percent",9.3,3.5,2.9,10.3,6.8,4.2,6.6,6.8,6.8,7.7,7.9,8.6,7.4,7.9,10.3,10.0,10.3,11.6,U,14.1,17.1,18.2,19.8
43,Miles not reported,319,1846,1377,1166,617,579,397,281,353,167,82,81,98,108,84,78,152,467,U,765,573,129,714
44,Other principal arterials miles reported,N,30337,38598,41444,44498,45009,44886,48045,47890,48931,50016,53431,56831,59743,61064,61259,62584,58901,U,58419,60235,23491,60483
45,">220, percent",N,9.2,12.5,12.4,11.8,12.1,12.9,12.5,13.2,12.9,13.3,12.7,12.2,11.8,11.1,11.4,11.6,11.4,U,13.0,12.7,12.0,13.5
46,"171-220, percent",N,13.3,16.3,14.7,14.1,14.6,18.5,18.1,16.8,16.4,16.4,16.4,15.5,15.7,14.5,15.4,15.2,15.0,U,15.1,13.9,13.8,12.6
47,"95-170, percent",N,55.0,50.8,47.2,48.9,49.5,45.3,45.2,45.1,45.7,46.1,46.7,46.8,47.2,44.9,45.8,45.8,45.1,U,42.7,42.2,40.6,39.1
48,"60-94, percent",N,19.3,16.6,15.9,17.5,17.8,17.6,18.8,19.4,19.5,19.4,19.5,20.0,20.1,21.4,21.7,21.8,22.3,U,22.3,23.3,24.6,25.1
49,"<60, percent",N,3.3,3.8,9.7,7.7,6.0,5.8,5.4,5.4,5.5,4.9,4.7,5.5,5.3,8.2,5.6,5.5,6.3,U,6.9,7.9,9.0,9.7
50,Miles not reported,N,22498,14492,11352,8485,8209,8246,5154,5426,4126,3422,3440,2863,2064,1765,2030,1975,5654,U,6563,4957,1425,6278
51,Minor arterials miles reported,N,N,N,N,N,N,N,45182,43830,47657,49021,54129,58473,58699,63020,64287,66134,66068,U,66929,64770,63204,71995
52,">220, percent",N,N,N,N,N,N,N,12.3,14.3,14.0,14.8,15.3,17.8,15.6,14.7,14.9,14.0,14.1,U,18.3,18.6,19.4,17.5
53,"171-220, percent",N,N,N,N,N,N,N,14.6,19.3,19.1,18.6,19.1,18.4,18.0,17.3,17.0,16.7,16.1,U,19.0,19.0,18.8,18.1
54,"95-170, percent",N,N,N,N,N,N,N,45.9,45.9,45.5,45.4,45.5,43.8,45.0,43.9,44.1,44.9,45.9,U,45.7,45.9,43.9,42.7
55,"60-94, percent",N,N,N,N,N,N,N,16.6,12.6,14.1,14.4,14.1,13.1,14.5,13.9,14.4,14.9,14.5,U,14.4,13.7,14.4,17.5
56,"<60, percent",N,N,N,N,N,N,N,10.7,7.8,7.2,6.8,6.0,7.0,6.9,10.1,9.6,9.5,9.3,U,2.6,2.8,3.6,4.2
57,Miles not reported,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U,N,N,N,N
58,Collectors miles reported,N,N,N,N,N,N,N,34819,29726,30468,32491,38349,43619,45210,53236,54673,57194,57177,U,65043,61706,59512,71581
59,">220, percent",N,N,N,N,N,N,N,20.1,28.8,28.1,29.3,28.9,31.9,28.4,26.7,26.9,24.8,23.9,U,31.3,30.9,32.1,28.2
60,"171-220, percent",N,N,N,N,N,N,N,17.8,23.5,21.9,22.2,22.7,21.5,21.3,20.5,20.0,20.3,20.9,U,22.4,21.3,21.6,21.3
61,"95-170, percent",N,N,N,N,N,N,N,38.2,34.1,36.8,36.0,36.0,34.0,37.0,37.7,38.2,39.7,40.0,U,37.3,38.6,37.3,39.0
62,"60-94, percent",N,N,N,N,N,N,N,12.6,5.7,5.7,5.3,5.6,6.1,7.9,6.4,6.3,7.2,7.2,U,7.9,8.0,7.9,10.2
63,"<60, percent",N,N,N,N,N,N,N,11.4,7.9,7.5,7.1,6.8,6.6,5.3,8.6,8.5,8.1,8.0,U,1.1,1.2,1.1,1.3
64,Miles not reported,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U,N,N,N,N
