,Â,1995,1997,2000,(R) 2002,(R) 2004,(R) 2006
0,Stations,Â,Â,Â,Â,Â,Â
1,Excellent,14.0,11.0,1.0,3.0,7.0,12.7
2,Good,47.0,46.0,33.0,22.0,28.0,12.2
3,Adequate,12.0,15.0,50.0,18.0,14.0,40.8
4,Substandard,12.0,13.0,16.0,26.0,51.0,31.3
5,Poor,15.0,15.0,0.0,30.0,0.0,3.0
6,Communication  Systems,Â,Â,Â,Â,Â,Â
7,Excellent,N,0.0,0.0,7.4,12.1,14.0
8,Good,N,61.0,62.0,68.6,62.7,30.5
9,Adequate,N,16.0,12.1,9.7,25.2,54.8
10,Substandard,N,12.0,14.0,6.0,0.0,0.6
11,Poor,N,10.0,11.9,8.3,0.0,0.0
12,Train  Control Systems,Â,Â,Â,Â,Â,Â
13,Excellent,N,9.0,7.2,5.5,0.3,2.2
14,Good,N,52.0,56.0,65.9,44.6,37.0
15,Adequate,N,16.0,16.9,11.1,29.0,41.0
16,Substandard,N,11.0,10.3,9.7,14.1,14.4
17,Poor,N,13.0,9.5,7.8,12.0,5.5
18,Traction  Power Systems,Â,Â,Â,Â,Â,Â
19,Excellent,N,25.0,20.7,37.0,7.6,7.0
20,Good,N,44.0,54.5,45.0,46.5,35.0
21,Adequate,N,10.0,10.6,10.8,44.5,46.5
22,Substandard,N,7.0,6.9,2.9,1.4,7.2
23,Poor,N,14.0,7.3,4.2,0.0,4.2
24,Revenue  Collection Systems,Â,Â,Â,Â,Â,Â
25,Excellent,N,27.0,29.5,33.5,25.8,28.9
26,Good,N,33.0,31.0,56.4,53.7,30.0
27,Adequate,N,18.0,17.6,2.4,9.5,10.7
28,Substandard,N,10.0,18.1,6.9,8.0,8.8
29,Poor,N,12.0,3.8,0.8,3.0,21.5
30,Elevated  structures,Â,Â,Â,Â,Â,Â
31,Excellent,1.0,0.0,2.0,5.1,3.1,4.6
32,Good,56.0,59.0,59.0,82.8,77.2,68.5
33,Adequate,16.0,12.0,16.0,2.5,4.1,11.7
34,Substandard,20.0,29.0,22.0,7.3,13.9,7.9
35,Poor,7.0,1.0,2.0,2.3,1.7,7.3
36,Underground  tunnels,Â,Â,Â,Â,Â,Â
37,Excellent,9.0,7.0,12.0,34.2,26.4,18.2
38,Good,59.0,47.0,46.0,36.7,48.2,41.1
39,Adequate,13.0,18.0,19.0,13.0,12.4,10.5
40,Substandard,11.0,19.0,11.0,8.6,5.6,15.4
41,Poor,7.0,9.0,12.0,7.5,7.4,14.8
