,Year builta,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Total,18835,18344,18004,18161,18505,18812,19269,19684,20261,20256,20028,19745,20506,20774,22015,22779,23732,24143,24003,24045,23893,24250,24707,25033,25916
1,Before 1970,5117,4353,4038,3766,3535,b,b,b,b,b,f,f,f,f,f,j,j,j,j,j,n,n,n,n,n
2,1970-74,3852,3617,3384,3248,3184,"c 6,048","c 5,783","c 5,529","c 5,565",c 5196,f,f,f,f,f,j,j,j,j,j,n,n,n,n,n
3,1975-79,4432,4375,4292,4352,4275,4254,4274,4219,4116,4000,"g 8,541","g 7,862","g 7,133","g 6,889","g 7,056",j,j,j,j,j,n,n,n,n,n
4,1980-84,2837,2826,2784,2730,2625,2754,2735,2728,2723,2581,2411,2153,1790,1655,1585,"k 8,705","k 8,237","k 7,907","k 7,297","k 7,054",n,n,n,n,n
5,1985-89,1989,1985,1970,1968,1971,1890,1866,1829,1830,1779,1775,1672,1807,1791,1799,1786,1735,1695,1604,1558,"o 8,420","o 8,304","o 8,145","o 7,901","o 7,737"
6,1990,608,605,604,604,599,"d 2,965","d 2,959","d 2,958","d 2,736","d 2,688","d 2,648","d 2,667","d 2,702","d 2,700","d 2,715","d 2,783","d 2,740","d 2,718","d 2,494","d 2,464","d 2,384","d 2,365","d 2,368","d 2,363","d 2,259"
7,1991,Â,583,595,595,594,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
8,1992,Â,Â,337,340,339,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
9,1993,Â,Â,Â,558,602,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
10,1994,Â,Â,Â,Â,781,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
11,1995,Â,Â,Â,Â,Â,901,945,983,953,951,973,"h 4,020","h 4,582","h 4,673","h 4,672","h 4,348","h 4,535","h 4,300","h 4,146","h 4,173","h 4,467","h 4,461","h 4,411","h 4,382","h 4,458"
12,1996,Â,Â,Â,Â,Â,Â,707,696,708,706,697,i,i,i,i,i,i,i,i,i,i,i,i,i,i
13,1997,Â,Â,Â,Â,Â,Â,Â,742,741,743,745,i,i,i,i,i,i,i,i,i,i,i,i,i,i
14,1998,Â,Â,Â,Â,Â,Â,Â,Â,889,890,890,i,i,i,i,i,i,i,i,i,i,i,i,i,i
15,1999,Â,Â,Â,Â,Â,Â,Â,Â,Â,722,713,i,i,i,i,i,i,i,i,i,i,i,i,i,i
16,2000,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,635,691,987,863,863,"l 4,350","l 4,673","l 4,618","l 4,777","l 4,650","l 4,265","l 4,268","l 4,262","l 4,258","l 4,267"
17,2001,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,680,810,891,891,m,m,m,m,m,m,m,m,m,m
18,2002,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,695,725,722,m,m,m,m,m,m,m,m,m,m
19,2003,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,587,591,m,m,m,m,m,m,m,m,m,m
20,2004,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,1121,m,m,m,m,m,m,m,m,m,m
21,2005,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,807,881,876,876,875,"p 4,098","p 4,091","p 4,087","p 4,039","p 4,028"
22,2006,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,931,1097,1145,1122,q,q,q,q,q
23,2007,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,932,907,911,q,q,q,q,q
24,2008,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,757,777,q,q,q,q,q
25,2009,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,461,q,q,q,q,q
26,2010,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,259,256,256,253,252
27,2011,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,503,498,495,495
28,2012,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,683,693,692
29,2013,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,649,688
30,2014,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,1040
