,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,Air,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,"Air carrier, domestic, all services",1381,1825,3328,2635,3663,4869,6378,6203,6429,6689,7046,7448,7736,7897,8095,8572,9112,8923,9033,9826,10625,10809,10631,10835,10374,9552,9617,9663,9586,9600,"(R) 9,571",9730
2,General aviationa,2847,4123,5161,6820,8375,7520,7319,7081,5576,5235,5404,6107,5671,6239,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
3,"Highway, total",1156737,1428793,1785928,2136668,2457943,2856307,3451016,3495576,3616439,3695662,3794170,3898951,4000585,4122648,4235024,4330835,4420747,4499098,4595495,4651360,4771364,4811021,4851160,4878121,4790257,4758450,4775352,4748211,4778839,4809173,4869321,5038066
4,"Light duty vehicle, short wheel-baseb,c,d",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3386729,3258531,3243977,3260120,3293172,3319799,3338460,3334676,U
5,"Passenger carsb,e",944704,1163066,1475286,1663981,1788940,2006527,2266384,2185787,2207326,2212380,2262881,2314710,2365501,2418129,2493802,2525222,2575412,2618991,2669055,2690770,2735708,2749437,2720651,N,N,N,N,N,N,N,N,N
6,"Motorcyclec,d",U,U,4794,9059,16438,14622,15381,14771,15381,15942,16480,15767,15965,16224,16549,17033,16848,15502,15372,15411,16290,16825,19392,34434,33492,33510,29794,29841,34416,32776,32138,U
7,"Light duty vehicle, long wheel-baseb,c,d",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,944071,974388,993824,1002157,972326,967589,970928,1027541,U
8,"Other 2-axle 4-tire vehiclesb,e",U,U,198410,322995,468214,629191,924682,1045098,1137586,1200168,1230559,1271428,1314094,1369132,1397353,1450054,1485519,1516991,1554681,1583627,1653060,1675410,1742099,N,N,N,N,N,N,N,N,N
9,"Truck, single-unit 2-axle 6-tire or mored",158602,207234,43583,55693,64073,73130,83527,85131,86702,91366,98627,100914,103114,107654,109469,113143,113459,116506,122094,125124,126239,126327,129301,193087,204153,193454,178216,167055,169955,171527,175904,U
10,"Truck, combination",46436,50960,56543,75195,110527,125630,151827,155535,160146,165949,175309,185800,191349,200499,206574,213051,217294,219730,223276,225514,229122,231790,228799,296440,295839,270530,282905,263597,263291,271071,273315,U
11,Busf,6994,7533,7313,9745,9751,7207,9215,9254,9299,9857,10314,10332,10562,11011,11277,12331,12215,11378,11016,10914,10945,11234,10917,23361,23856,23154,22160,22221,23788,24409,25748,U
12,"Transitg, total",3449,3232,3031,3502,3680,4491,5217,5321,5399,5528,5580,5713,4959,5151,5386,5632,5801,6012,6203,6300,6392,6525,6641,6820,7041,7201,7081,6971,6995,7103,7128,U
13,Motor busf,2537,2460,2268,2456,2699,2998,3428,3487,3505,3556,3479,3514,2917,2976,3064,3195,3284,3386,3470,3504,3491,3528,3563,3607,3656,3678,3586,3394,3334,3212,3238,U
14,Light railh,120,67,54,38,28,27,39,44,46,45,55,56,60,66,70,77,84,87,98,104,108,111,120,134,141,145,150,155,162,176,183,U
15,Heavy rail,629,636,655,681,619,725,864,848,846,840,856,865,874,897,910,930,958,979,999,1014,1034,1040,1049,1058,1085,1102,1072,1054,1057,1084,1088,U
16,Trolley bus,162,69,53,25,21,25,22,22,22,21,22,22,22,22,22,23,23,21,22,22,22,21,20,18,19,21,19,19,19,19,18,U
17,Commuter rail,N,N,N,278,288,294,342,346,352,360,371,383,389,403,417,428,436,446,456,460,474,488,506,523,543,543,551,546,554,571,590,U
18,Demand responsef,N,N,N,N,N,398,492,539,585,653,746,815,584,659,755,795,856,930,986,1030,1047,1100,1139,1211,1292,1363,1299,1295,1301,1315,1327,U
19,Ferry boati,N,N,N,N,U,U,4,4,4,4,3,4,3,3,4,4,4,4,4,5,5,5,4,6,5,5,5,5,5,5,5,U
20,"Otheri,j",N,N,N,24,25,24,26,31,39,48,47,55,109,124,145,181,156,160,167,162,210,232,240,263,300,344,399,505,564,720,678,U
21,Rail,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
22,"Class I freight, train-miles",651,677,687,648,690,559,611,603,628,653,710,738,754,764,764,789,811,804,804,830,861,881,905,875,844,702,766,794,805,811,834,U
23,"Class I freight, car-miles",45335,47212,48103,44508,47117,40105,42099,41244,42049,43264,45842,48897,51040,50952,52556,54478,55667,55109,55812,57220,59660,60692,62692,61454,59909,51684,57198,58981,58781,56734,59856,U
24,"Intercity/Amtrakk, train-miles",336,277,150,48,48,48,53,55,55,56,55,51,48,51,53,55,56,58,61,60,60,58,58,60,61,62,60,60,61,62,61,U
25,"Intercity/Amtrakk, car-miles",3554,2857,1110,407,378,404,484,504,494,488,489,470,444,463,502,550,592,608,609,534,496,426,425,429,437,455,474,477,514,523,523,U
26,Total train-milesl,987,954,837,696,738,607,664,658,683,709,764,789,803,816,817,844,867,862,865,891,920,939,963,935,904,764,826,854,865,873,895,U
