,Â,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,(R) 2007,2008,2009,2010,2011,2012,2013,2014
0,AIRCRAFT DEPARTURES,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Total performeda,4555516,5156848,5505659,6641681,6545000,6606609,7193841,7513232,8030530,8204674,8095888,8248269,8605486,8929559,8548932,8052756,8585736,9444234,9859941,9512017,10985488,10307025,9646132,9596396,9577700,9345013,9217652,8986825
2,Total scheduled,4530535,5204564,5591596,6758571,7024412,6703670,7058097,7359093,7920467,8064653,7907554,8094020,8432940,8688776,8340180,7981190,8479414,9193220,9722715,9429017,10669356,9975967,9324192,9241790,9160580,8836158,8765026,8631508
3,Large hubs,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
4,Performed,2437958,2887239,3439446,4167868,4114950,4078211,4480575,4756589,5162534,5257541,5266560,5416158,5645179,5851801,5177758,4918940,5336246,5591234,5842793,5660186,6095332,5742452,5478849,5493422,5833721,5858101,5833833,5751854
5,Scheduled,2409874,2905923,3487660,4237466,4312032,4144325,4443937,4713178,5147875,5243646,5219161,5405728,5570419,5720435,5092030,4867648,5326856,5486529,5806009,5654357,6238895,5866511,5588496,5592055,5901900,5843654,5855798,5809664
6,Medium hubs,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
7,Performed,902652,1048726,1185008,1394833,1256306,1301977,1310322,1471377,1439639,1425280,1430537,1429730,1499243,1574986,1893805,1791778,1703127,2046105,2184522,2076849,2304571,2208796,1886160,1824436,1577931,1355055,1380974,1290070
8,Scheduled,899543,1058438,1201540,1417762,1352515,1312257,1268316,1398144,1387833,1356162,1352944,1345197,1404482,1507991,1812161,1784913,1671068,2007421,2153826,2062423,2281580,2181478,1866885,1803246,1553606,1323519,1338064,1263716
9,Small hubs,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
10,Performed,640589,598559,514176,669450,689518,771529,841685,710569,738231,754914,695841,714920,746625,779518,864722,788758,884306,1088691,1091838,1095346,1161796,1057948,1074315,1057046,961892,955833,935700,930588
11,Scheduled,644133,608738,524048,679103,858429,783305,794279,685421,711947,722170,660685,674812,770092,759208,856112,809246,855679,1025145,1064124,1078363,1165276,1055628,1073434,1051455,950117,929548,918444,925268
12,Nonhubs,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
13,Performed,574317,622324,367029,409530,484226,454892,561259,574697,690126,766939,702950,687461,714439,723254,612647,553280,662057,718204,740788,679636,1423789,1297829,1206808,1221492,1204156,1176024,1067145,1014313
14,Scheduled,576985,631465,378348,424240,501436,463783,551565,562350,672812,742675,674764,668283,687947,701142,579877,519383,625811,674125,698756,633874,983605,872350,795377,795034,754957,739437,652720,632860
15,ENPLANED REVENUE PASSENGERSb,196782144,281408852,363341497,438544001,428319248,447625988,468313029,508458194,526055483,558183741,568615687,588335318,610628716,639753899,595364778,575058533,593132200,652413250,690135672,690765508,726419176,690249540,656995166,670370501,681353394,685102804,690161603,708401299
16,Large hubs,133975900,197679376,264507144,317595099,313375097,319582090,340048661,372731005,392601890,417339694,426246423,442402443,458665099,479570342,413634333,401696877,424621015,447500697,473367070,475207801,501735503,478700010,461019822,472909327,507724436,521568634,527624859,543279501
