,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Air,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,"Air carrier, certificated, domestic, all services",31099,53226,108442,119591,190766,275864,345873,338085,354764,362227,388410,403912,434652,450673,462754,487940,515598,486506,483525,505602,558194,583771,588471,607564,583292,551741,564695,575613,580501,589692,607772
2,"Highway, total",1272078,1555237,2042002,2404954,2653510,3012953,3561209,3600322,3697719,3768066,3837512,3868070,3968386,4089366,4200634,4304270,4550574,4589049,4689938,4740739,4867748,4901211,4955063,4981088,4900171,4241346,4244833,4230460,4274877,4306653,4371706
3,"Light duty vehicle, short wheel basea,b,c",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3324977,3199116,2800603,2814540,2843075,2866062,2882173,2878905
4,"Passenger carsa,d",1144673,1394803,1750897,1954166,2011989,2094621,2281391,2200260,2208226,2213281,2249742,2286887,2337068,2389065,2463828,2494870,3107729,3139120,3216786,3240359,3290560,3312355,3235752,N,N,N,N,N,N,N,N
5,"Motorcycleb,c",U,U,3277,6192,12257,11812,12424,11656,11946,12184,12390,10777,10912,11089,11311,11642,15463,14123,14187,14457,19019,17492,24329,27173,26430,22428,19941,19927,23034,21937,21510
6,"Light duty vehicle, long wheel basea,b,c",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1017007,1049667,824994,831912,807148,803216,805988,852983
7,"Other 2-axle 4-tire vehiclesa,d",U,U,225613,363267,520774,688091,999754,1116958,1201667,1252860,1269292,1256146,1298299,1352675,1380557,1432625,851762,888135,900693,915962,987258,1007637,1096712,N,N,N,N,N,N,N,N
8,"Truck, single-unit 2-axle 6-tire or morec",98551,128769,27081,34606,39813,45441,51901,52898,53874,56772,61284,62705,64072,66893,68021,70304,100486,103470,107317,112723,111238,109735,123318,119979,126855,120207,110738,103803,105605,106582,109301
9,"Truck, combination",28854,31665,35134,46724,68678,78063,94341,96645,99510,103116,108932,115451,118899,124584,128359,132384,161238,168969,168217,173539,172960,175128,177321,184199,183826,168100,175789,163791,163602,168436,169830
10,Buse,U,U,U,U,U,94925,121398,121906,122496,129852,135871,136104,139136,145060,148558,162445,313897,275231,282739,283699,286714,278864,297631,307753,314278,305014,291914,292716,313357,321539,339177
11,"Transitf, total",U,U,U,U,39854,39581,41143,40703,40241,39384,39585,39808,38984,40180,41605,43279,45100,46508,46096,45677,46546,47125,49504,51873,53712,53898,52627,54328,55169,56467,57012
12,Motor buse,U,U,U,U,21790,21161,20981,21090,20336,20247,18832,18818,16802,17509,17874,18684,18807,19583,19679,19179,18921,19425,20390,20388,21198,21100,20570,"(R) 20,559","(R) 21,142","(R) 21,257","(R) 21,429"
13,Light railg,U,U,U,U,381,350,571,662,701,705,833,860,955,1024,1115,1190,1339,1427,1432,1476,1576,1700,1866,1930,2081,2196,2173,2363,2489,2565,2675
14,Heavy rail,U,U,U,U,10558,10427,11475,10528,10737,10231,10668,10559,11530,12056,12284,12902,13844,14178,13663,13606,14354,14418,14721,16138,16850,16805,16407,17317,17516,18005,18339
15,Trolley bus,U,U,U,U,219,306,193,195,199,188,187,187,184,189,182,186,192,187,188,176,173,173,164,156,161,168,159,160,162,156,158
16,Commuter rail,4197,4128,4592,4513,6516,6534,7082,7344,7320,6940,7996,8244,8350,8037,8702,8764,9400,9544,9500,9555,9715,9470,10359,11137,11032,11129,10774,11314,11121,11736,11600
17,Demand responsee,U,U,U,U,U,364,431,454,495,562,577,607,391,531,513,559,588,626,651,689,704,738,753,778,844,881,841,846,851,852,864
18,Ferry boath,U,U,U,U,U,U,286,282,271,260,260,260,255,254,280,295,298,295,301,367,357,359,360,381,390,365,389,389,402,402,414
19,"Otherh,i",U,U,U,U,390,439,124,148,182,251,232,273,516,579,654,699,632,668,683,629,745,842,891,966,1156,1254,1315,"(R) 1,379","(R) 1,486","(R) 1,495","(R) 1,534"
20,Rail,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
21,Intercity/Amtrakj,17064,13260,6179,3931,4503,4825,6057,6273,6091,6199,5921,5545,5050,5166,5304,5330,5574,5571,5338,5680,5511,5381,5410,5784,6179,5914,6420,6568,6752,6810,6675
22,Commuter rail,4197,4128,4592,4513,6516,6534,7082,7344,7320,6940,7996,8244,8350,8037,8702,8764,9400,9544,9500,9555,9715,9470,10359,11137,11032,11129,10774,11314,11121,11736,11600
23,Transit- Light railg,U,U,U,U,381,350,571,662,701,705,833,860,955,1024,1115,1190,1339,1427,1432,1476,1576,1700,1866,1930,2081,2196,2173,2363,2489,2565,2675
24,Transit- Heavy rail,U,U,U,U,10558,10427,11475,10528,10737,10231,10668,10559,11530,12056,12284,12902,13844,14178,13663,13606,14354,14418,14721,16138,16850,16805,16407,17317,17516,18005,18339
