,Â,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,TOTAL departing passengers,12053,19256,22487,42183,40820,44800,46936,49046,52582,56499,60168,62578,66454,71546,65154,62612,62848,70521,74986,77318,80272,80426,75727,79879,83121,86661,90815,95525,101560
1,United States carriers,5912,9369,10696,21599,21286,23507,24982,25687,27049,28780,29773,30902,32398,35031,32458,31911,32416,37300,40504,42397,44620,44936,41913,44565,45844,46956,48453,50030,51567
2,Foreign carriers,6141,9886,11791,20584,19534,21293,21953,23359,25534,27719,30396,31676,34056,36515,32696,30701,30433,33221,34482,34921,35652,35490,33814,35314,37277,39705,42363,45496,49993
3,Selected countries of debarkationa,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
4,Canada,N,N,N,6686,6104,6455,6514,6415,6983,7690,8073,8440,8649,9076,8538,8481,8526,9663,10296,10758,11002,11050,10263,11110,11577,12120,12628,13444,13777
5,Mexico,1525,2886,2671,4919,5141,5482,5494,5696,5568,6345,6890,7168,7696,8370,7655,7380,7810,9047,9872,9907,10095,9933,8632,9119,9282,9608,10441,11125,12860
6,United Kingdom,1446,2840,3322,5205,4725,5473,5801,5882,6288,6865,7542,8394,8929,9485,8414,8278,8240,8928,9089,9352,9249,8960,8126,7893,8387,8460,8587,8732,9159
7,Japan,1183,1602,2255,5290,4994,5411,5314,5743,6547,7065,7395,7014,7222,7569,6518,6280,5592,6486,6703,6344,5979,5594,5075,5320,5034,5707,5797,5573,5452
8,Germany,649,1178,1539,2337,2268,2634,2775,2808,2975,3066,3287,3386,3607,3847,3402,3316,3471,3914,4229,4398,4797,4837,4585,4728,4765,4878,5063,5091,5074
9,China/Taiwan,41,90,187,352,478,586,749,972,1088,1143,1208,1248,1324,1514,1476,1518,1177,1569,1902,2075,2241,2162,1919,2228,2500,2770,3135,3593,4173
10,France,470,635,894,1756,1609,1861,1804,1924,1928,2078,2182,2328,2537,3143,2978,2794,2713,2968,3171,3145,3127,3172,2986,2981,3145,3108,3248,3304,3506
11,Dominican Republic,322,443,528,826,783,917,1020,1055,1055,1104,1173,1232,1402,1553,1475,1427,1685,1838,1992,2129,2121,2054,2136,2273,2287,2517,2679,3019,3264
12,South Korea,60,186,333,755,808,965,1060,1272,1408,1586,1626,1109,1193,1395,1230,1228,1170,1349,1430,1524,1664,1749,1697,1936,2120,2238,2443,2615,2783
13,Brazil,206,291,322,588,626,688,771,900,1078,1215,1354,1373,1226,1294,1132,991,946,1006,1124,1170,1212,1330,1467,1743,2012,2227,2474,2666,2691
14,Netherlands,304,409,562,866,938,1026,1242,1388,1468,1740,1957,2126,2307,2384,2109,2069,2035,2200,2314,2269,2374,2471,2167,2165,2241,2232,2330,2322,2395
15,Jamaica,416,382,607,963,926,952,1017,1003,1078,1072,1160,1168,1187,1277,1221,1228,1251,1299,1344,1517,1442,1454,1410,1481,1543,1548,1525,1591,1679
16,Colombia,171,299,294,277,286,315,345,397,436,458,552,565,566,615,620,576,597,648,731,779,846,919,1023,1158,1112,1232,1388,1461,1572
17,Italy,409,495,660,693,651,859,863,937,934,958,1037,1026,1168,1485,1230,1021,968,1230,1304,1348,1464,1405,1313,1353,1327,1263,1267,1456,1553
18,Hong Kong,59,152,238,319,343,418,469,503,581,645,658,669,664,751,721,691,527,752,938,1015,1076,1026,1014,1134,1174,1233,1220,1392,1488
19,Spain,260,273,397,568,499,622,596,606,636,660,682,762,862,949,832,781,792,872,856,859,1004,1125,1196,1350,1487,1398,1300,1353,1479
20,Panama,100,142,209,222,236,208,224,238,241,238,266,294,323,368,374,365,380,403,440,488,562,647,723,766,843,1034,1186,1361,1420
21,Australia,103,245,232,447,473,469,473,440,496,552,536,554,629,794,695,659,635,719,791,834,846,783,968,1091,1178,1239,1336,1335,1419
22,The Bahamas,704,1006,1151,956,909,688,789,729,823,879,811,1075,1182,1283,1220,1227,1460,1483,1557,1578,1517,1397,1263,1290,1213,1318,1237,1286,1264
23,Ireland,163,212,233,344,268,290,314,380,399,463,464,541,741,835,809,688,794,844,928,1014,1095,1089,977,863,873,890,1023,1102,1230
24,Switzerland,224,306,434,617,533,541,594,658,710,765,799,905,979,1054,919,725,700,709,716,723,812,822,814,921,966,1025,1033,1010,1043
25,Israel,105,186,255,214,225,280,319,341,402,462,442,456,494,528,394,345,361,470,526,621,679,645,670,744,721,699,711,690,704
26,Belgium,134,231,249,398,323,340,382,357,370,402,523,631,706,741,593,270,274,349,374,361,433,555,531,556,569,543,549,580,600
27,Haiti,81,124,169,235,207,168,183,127,301,294,274,292,295,273,294,330,347,276,272,286,371,398,404,403,482,524,503,548,563
28,Denmark,188,254,254,329,245,269,270,253,216,217,245,208,202,220,230,312,316,345,314,352,384,375,319,331,303,263,307,394,433
29,Cayman Islands,26,112,161,144,254,263,308,333,346,358,351,365,351,365,347,307,298,282,204,308,341,364,322,332,352,350,378,400,411
30,Philippines,81,160,165,191,224,252,257,256,258,270,283,202,245,317,304,327,295,358,368,369,398,421,384,427,406,394,396,393,391
31,Venezuela,198,518,245,404,465,544,642,654,760,674,702,789,872,784,715,563,486,629,661,600,645,641,567,532,592,642,716,471,374
32,Bermuda,372,467,389,484,428,404,439,439,404,419,413,402,400,378,327,331,308,336,337,367,379,342,321,306,303,294,303,284,283
33,Barbados,74,126,204,279,244,200,198,220,262,246,269,223,203,219,221,229,234,252,257,260,237,227,201,220,226,215,204,197,227
34,Greece,123,190,210,129,85,145,157,201,210,220,191,180,170,188,133,109,99,123,127,152,198,213,177,157,138,88,63,76,104
35,Netherlands Antilles,184,282,395,350,352,328,347,380,333,284,336,352,359,346,366,366,395,394,413,443,458,479,456,373,0,0,0,0,0
