,"Truck Container  2002  Total U.S.-Canadian border  6,820,052  Total top 5 gateways  4,544,669  Detroit, MI  1,668,496  Buffalo-Niagara, NY  1,208,096  Port Huron, MI  907,291  Blaine, WA  409,786  Champlain-Rouses Point, NY  351,000",Truck Container,2002,Total U.S.-Canadian border,"6,820,052",Total top 5 gateways,"4,544,669","Detroit, MI","1,668,496","Buffalo-Niagara, NY","1,208,096","Port Huron, MI","907,291","Blaine, WA","409,786","Champlain-Rouses Point, NY","351,000","Truck Container  2003  Total U.S.-Canadian border  6,606,307  Total top 5 gateways  4,397,004  Detroit, MI  1,588,769  Buffalo-Niagara, NY  1,162,950  Port Huron, MI  927,740  Champlain-Rouse Pt., NY  378,783  Blaine, WA  338,762",Truck Container.1,2003,Total U.S.-Canadian border.1,"6,606,307",Total top 5 gateways.1,"4,397,004","Detroit, MI.1","1,588,769","Buffalo-Niagara, NY.1","1,162,950","Port Huron, MI.1","927,740","Champlain-Rouse Pt., NY","378,783","Blaine, WA.1","338,762","Truck Container  2004  Total U.S.-Canadian border  6,775,388  Total top 5 gateways  4,520,932  Detroit, MI  1,638,062  Buffalo-Niagara, NY  1,175,884  Port Huron, MI  947,907  Champlain-Rouse Pt., NY  381,434  Blaine, WA  377,645",Truck Container.2,2004,Total U.S.-Canadian border.2,"6,775,388",Total top 5 gateways.2,"4,520,932","Detroit, MI.2","1,638,062","Buffalo-Niagara, NY.2","1,175,884","Port Huron, MI.2","947,907","Champlain-Rouse Pt., NY.1","381,434","Blaine, WA.2","377,645","Truck Container  2005  Total U.S.-Canadian border  6,775,444  Total top 5 gateways  4,472,799  Detroit, MI  1,678,177  Buffalo-Niagara, NY  1,142,274  Port Huron, MI  924,776  Champlain-Rouse Pt., NY  374,524  Blaine, WA  353,048",Truck Container.3,2005,Total U.S.-Canadian border.3,"6,775,444",Total top 5 gateways.3,"4,472,799","Detroit, MI.3","1,678,177","Buffalo-Niagara, NY.3","1,142,274","Port Huron, MI.3","924,776","Champlain-Rouse Pt., NY.2","374,524","Blaine, WA.3","353,048","Truck Container  2006  Total U.S.-Canadian border  6,669,623  Total top 5 gateways  4,412,181  Detroit, MI  1,715,969  Buffalo-Niagara, NY  1,118,120  Port Huron, MI  833,711  Champlain-Rouse Pt., NY  391,541  Blaine, WA  352,840",Truck Container.4,2006,Total U.S.-Canadian border.4,"6,669,623",Total top 5 gateways.4,"4,412,181","Detroit, MI.4","1,715,969","Buffalo-Niagara, NY.4","1,118,120","Port Huron, MI.4","833,711","Champlain-Rouse Pt., NY.3","391,541","Blaine, WA.4","352,840","Truck Container  2007  Total U.S.-Canadian border  6,365,752  Total top 5 gateways  4,306,192  Detroit, MI  1,725,426  Buffalo-Niagara, NY  1,088,469  Port Huron, MI  770,282  Champlain-Rouse Pt., NY  366,059  Blaine, WA  355,956",Truck Container.5,2007,Total U.S.-Canadian border.5,"6,365,752",Total top 5 gateways.5,"4,306,192","Detroit, MI.5","1,725,426","Buffalo-Niagara, NY.5","1,088,469","Port Huron, MI.5","770,282","Champlain-Rouse Pt., NY.4","366,059","Blaine, WA.5","355,956","Truck Container  2008  Total U.S.-Canadian border  5,782,214  Total top 5 gateways  3,827,225  Detroit, MI  1,482,250  Buffalo-Niagara, NY  981,329  Port Huron, MI  732,493  Champlain-Rouse Pt., NY  356,844  Blaine, WA  274,309",Truck Container.6,2008,Total U.S.-Canadian border.6,"5,782,214",Total top 5 gateways.6,"3,827,225","Detroit, MI.6","1,482,250","Buffalo-Niagara, NY.6","981,329","Port Huron, MI.6","732,493","Champlain-Rouse Pt., NY.5","356,844","Blaine, WA.6","274,309"
0,Truck Container,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Total U.S.-Canadian border,6820052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Total top 5 gateways,4544669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Detroit, MI",1668496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Buffalo-Niagara, NY",1208096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Port Huron, MI",907291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Blaine, WA",409786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Champlain-Rouses Point, NY",351000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Truck Container,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
