,"Truck  2002  Total U.S.-Canadian border  6,915,973  Total top 5 gateways  4,567,704  Detroit, MI  1,670,565  Buffalo-Niagara, NY  1,208,095  Port Huron, MI  907,729  Blaine, WA  410,256  Champlain-Rouses Point, NY  371,059",Truck,2002,Total U.S.-Canadian border,"6,915,973",Total top 5 gateways,"4,567,704","Detroit, MI","1,670,565","Buffalo-Niagara, NY","1,208,095","Port Huron, MI","907,729","Blaine, WA","410,256","Champlain-Rouses Point, NY","371,059","Truck  2003  Total U.S.-Canadian border  6,735,737  Total top 5 gateways  4,478,405  Detroit, MI  1,634,319  Buffalo-Niagara, NY  1,162,961  Port Huron, MI  928,074  Champlain-Rouse Pt., NY  387,962  Blaine, WA  365,089",Truck.1,2003,Total U.S.-Canadian border.1,"6,735,737",Total top 5 gateways.1,"4,478,405","Detroit, MI.1","1,634,319","Buffalo-Niagara, NY.1","1,162,961","Port Huron, MI.1","928,074","Champlain-Rouse Pt., NY","387,962","Blaine, WA.1","365,089","Truck  2004  Total U.S.-Canadian border  6,903,882  Total top 5 gateways  4,591,686  Detroit, MI  1,701,452  Buffalo-Niagara, NY  1,175,254  Port Huron, MI  945,962  Champlain-Rouse Pt., NY  397,317  Blaine, WA  371,701",Truck.2,2004,Total U.S.-Canadian border.2,"6,903,882",Total top 5 gateways.2,"4,591,686","Detroit, MI.2","1,701,452","Buffalo-Niagara, NY.2","1,175,254","Port Huron, MI.2","945,962","Champlain-Rouse Pt., NY.1","397,317","Blaine, WA.2","371,701","Truck  2005  Total U.S.-Canadian border  6,783,944  Total top 5 gateways  4,553,263  Detroit, MI  1,745,318  Buffalo-Niagara, NY  1,142,411  Port Huron, MI  922,401  Champlain-Rouse Pt., NY  388,869  Blaine, WA  354,264",Truck.3,2005,Total U.S.-Canadian border.3,"6,783,944",Total top 5 gateways.3,"4,553,263","Detroit, MI.3","1,745,318","Buffalo-Niagara, NY.3","1,142,411","Port Huron, MI.3","922,401","Champlain-Rouse Pt., NY.2","388,869","Blaine, WA.3","354,264","Truck  2006  Total U.S.-Canadian border  6,649,249  Total top 5 gateways  4,499,055  Detroit, MI  1,770,008  Buffalo-Niagara, NY  1,117,789  Port Huron, MI  835,927  Champlain-Rouse Pt., NY  409,372  Blaine, WA  365,959",Truck.4,2006,Total U.S.-Canadian border.4,"6,649,249",Total top 5 gateways.4,"4,499,055","Detroit, MI.4","1,770,008","Buffalo-Niagara, NY.4","1,117,789","Port Huron, MI.4","835,927","Champlain-Rouse Pt., NY.3","409,372","Blaine, WA.4","365,959","Truck  2007  Total U.S.-Canadian border  6,477,761  Total top 5 gateways  4,375,717  Detroit, MI  1,773,465  Buffalo-Niagara, NY  1,088,438  Port Huron, MI  770,282  Champlain-Rouse Pt., NY  387,033  Blaine, WA  356,499",Truck.5,2007,Total U.S.-Canadian border.5,"6,477,761",Total top 5 gateways.5,"4,375,717","Detroit, MI.5","1,773,465","Buffalo-Niagara, NY.5","1,088,438","Port Huron, MI.5","770,282","Champlain-Rouse Pt., NY.4","387,033","Blaine, WA.5","356,499","Truck  2008  Total U.S.-Canadian border  5,894,551  Total top 5 gateways  3,920,345  Detroit, MI  1,510,487  Buffalo-Niagara, NY  981,329  Port Huron, MI  732,422  Champlain-Rouse Pt., NY  364,912  Blaine, WA  331,195",Truck.6,2008,Total U.S.-Canadian border.6,"5,894,551",Total top 5 gateways.6,"3,920,345","Detroit, MI.6","1,510,487","Buffalo-Niagara, NY.6","981,329","Port Huron, MI.6","732,422","Champlain-Rouse Pt., NY.5","364,912","Blaine, WA.6","331,195"
0,Truck,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Total U.S.-Canadian border,6915973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Total top 5 gateways,4567704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Detroit, MI",1670565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Buffalo-Niagara, NY",1208095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Port Huron, MI",907729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Blaine, WA",410256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Champlain-Rouses Point, NY",371059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Truck,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Total U.S.-Canadian border,6735737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Total top 5 gateways,4478405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Detroit, MI",1634319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Buffalo-Niagara, NY",1162961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Port Huron, MI",928074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Champlain-Rouse Pt., NY",387962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Blaine, WA",365089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Truck,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Total U.S.-Canadian border,6903882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Total top 5 gateways,4591686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Detroit, MI",1701452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Buffalo-Niagara, NY",1175254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Port Huron, MI",945962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Champlain-Rouse Pt., NY",397317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Blaine, WA",371701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Truck,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Total U.S.-Canadian border,6783944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Total top 5 gateways,4553263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Detroit, MI",1745318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Buffalo-Niagara, NY",1142411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Port Huron, MI",922401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Champlain-Rouse Pt., NY",388869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Blaine, WA",354264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Truck,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Total U.S.-Canadian border,6649249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Total top 5 gateways,4499055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Detroit, MI",1770008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Buffalo-Niagara, NY",1117789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
