,"Truck Container  2002  Total U.S.-Mexican border  4,434,441  Total top 5 gateways  3,556,930  Laredo, TX  1,437,580  Otay Mesa/San Ysidro, CA  726,318  El Paso, TX  714,931  Hidalgo, TX  386,985  Calexico East, CA  291,116",Truck Container,2002,Total U.S.-Mexican border,"4,434,441",Total top 5 gateways,"3,556,930","Laredo, TX","1,437,580","Otay Mesa/San Ysidro, CA","726,318","El Paso, TX","714,931","Hidalgo, TX","386,985","Calexico East, CA","291,116","Truck Container  2003  Total U.S.-Mexican border  4,293,226  Total top 5 gateways  3,444,994  Laredo, TX  1,345,099  Otay Mesa/San Ysidro, CA  711,526  El Paso, TX  665,422  Hidalgo, TX  405,238  Calexico East, CA  317,709",Truck Container.1,2003,Total U.S.-Mexican border.1,"4,293,226",Total top 5 gateways.1,"3,444,994","Laredo, TX.1","1,345,099","Otay Mesa/San Ysidro, CA.1","711,526","El Paso, TX.1","665,422","Hidalgo, TX.1","405,238","Calexico East, CA.1","317,709","Truck Container  2004  Total U.S.-Mexican border  4,512,900  Total top 5 gateways  3,621,641  Laredo, TX  1,387,648  Otay Mesa/San Ysidro, CA  726,166  El Paso, TX  717,245  Hidalgo, TX  453,222  Calexico East, CA  337,360",Truck Container.2,2004,Total U.S.-Mexican border.2,"4,512,900",Total top 5 gateways.2,"3,621,641","Laredo, TX.2","1,387,648","Otay Mesa/San Ysidro, CA.2","726,166","El Paso, TX.2","717,245","Hidalgo, TX.2","453,222","Calexico East, CA.2","337,360","Truck Container  2005  Total U.S.-Mexican border  4,677,562  Total top 5 gateways  3,740,341  Laredo, TX  1,455,504  Otay Mesa/San Ysidro, CA  744,278  El Paso, TX  734,851  Hidalgo, TX  494,572  Calexico East, CA  311,136",Truck Container.3,2005,Total U.S.-Mexican border.3,"4,677,562",Total top 5 gateways.3,"3,740,341","Laredo, TX.3","1,455,504","Otay Mesa/San Ysidro, CA.3","744,278","El Paso, TX.3","734,851","Hidalgo, TX.3","494,572","Calexico East, CA.3","311,136","Truck Container  2006  Total U.S.-Mexican border  4,740,407  Total top 5 gateways  3,777,395  Laredo, TX  1,518,819  El Paso, TX  757,795  Otay Mesa/San Ysidro, CA  748,146  Hidalgo, TX  462,859  Nogales, AZ  289,776",Truck Container.4,2006,Total U.S.-Mexican border.4,"4,740,407",Total top 5 gateways.4,"3,777,395","Laredo, TX.4","1,518,819","El Paso, TX.4","757,795","Otay Mesa/San Ysidro, CA.4","748,146","Hidalgo, TX.4","462,859","Nogales, AZ","289,776","Truck Container  2007  Total U.S.-Mexican border  4,852,936  Total top 5 gateways  3,881,283  Laredo, TX  1,563,860  El Paso, TX  759,319  Otay Mesa/San Ysidro, CA  735,305  Hidalgo, TX  496,413  Calexico East, CA  326,386",Truck Container.5,2007,Total U.S.-Mexican border.5,"4,852,936",Total top 5 gateways.5,"3,881,283","Laredo, TX.5","1,563,860","El Paso, TX.5","759,319","Otay Mesa/San Ysidro, CA.5","735,305","Hidalgo, TX.5","496,413","Calexico East, CA.4","326,386","Truck Container  2008  Total U.S.-Mexican border  4,844,250  Total top 5 gateways  3,882,764  Laredo, TX  1,555,414  Otay Mesa/San Ysidro, CA  774,195  El Paso, TX  752,574  Hidalgo, TX  477,014  Calexico East, CA  323,567",Truck Container.6,2008,Total U.S.-Mexican border.6,"4,844,250",Total top 5 gateways.6,"3,882,764","Laredo, TX.6","1,555,414","Otay Mesa/San Ysidro, CA.6","774,195","El Paso, TX.6","752,574","Hidalgo, TX.6","477,014","Calexico East, CA.5","323,567"
0,Truck Container,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Total U.S.-Mexican border,4434441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Total top 5 gateways,3556930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Laredo, TX",1437580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Otay Mesa/San Ysidro, CA",726318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"El Paso, TX",714931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Hidalgo, TX",386985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Calexico East, CA",291116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Truck Container,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Total U.S.-Mexican border,4293226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Total top 5 gateways,3444994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Laredo, TX",1345099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Otay Mesa/San Ysidro, CA",711526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"El Paso, TX",665422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Hidalgo, TX",405238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Calexico East, CA",317709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Truck Container,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Total U.S.-Mexican border,4512900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Total top 5 gateways,3621641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Laredo, TX",1387648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Otay Mesa/San Ysidro, CA",726166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"El Paso, TX",717245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Hidalgo, TX",453222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Calexico East, CA",337360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Truck Container,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Total U.S.-Mexican border,4677562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Total top 5 gateways,3740341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Laredo, TX",1455504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Otay Mesa/San Ysidro, CA",744278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
