,"Truck  2002  Total U.S.-Mexican border  4,426,593  Total top 5 gateways  3,544,815  Laredo, TX  1,441,653  Otay Mesa, CA  731,291  El Paso, TX  705,199  Hidalgo, TX  390,282  Calexico East, CA  276,390",Truck,2002,Total U.S.-Mexican border,"4,426,593",Total top 5 gateways,"3,544,815","Laredo, TX","1,441,653","Otay Mesa, CA","731,291","El Paso, TX","705,199","Hidalgo, TX","390,282","Calexico East, CA","276,390","Truck  2003  Total U.S.-Mexican border  4,238,045  Total top 5 gateways  3,378,199  Laredo, TX  1,354,229  Otay Mesa, CA  697,152  El Paso, TX  659,614  Hidalgo, TX  406,064  Calexico East, CA  261,140",Truck.1,2003,Total U.S.-Mexican border.1,"4,238,045",Total top 5 gateways.1,"3,378,199","Laredo, TX.1","1,354,229","Otay Mesa, CA.1","697,152","El Paso, TX.1","659,614","Hidalgo, TX.1","406,064","Calexico East, CA.1","261,140","Truck  2004  Total U.S.-Mexican border  4,503,688  Total top 5 gateways  3,604,137  Laredo, TX  1,391,850  Otay Mesa, CA  726,164  El Paso, TX  719,545  Hidalgo, TX  454,351  Calexico East, CA  312,227",Truck.2,2004,Total U.S.-Mexican border.2,"4,503,688",Total top 5 gateways.2,"3,604,137","Laredo, TX.2","1,391,850","Otay Mesa, CA.2","726,164","El Paso, TX.2","719,545","Hidalgo, TX.2","454,351","Calexico East, CA.2","312,227","Truck  2005  Total U.S.-Mexican border  4,675,897  Total top 5 gateways  3,737,803  Laredo, TX  1,455,607  El Paso, TX  740,654  Otay Mesa, CA  730,253  Hidalgo, TX  491,077  Calexico East, CA  320,212",Truck.3,2005,Total U.S.-Mexican border.3,"4,675,897",Total top 5 gateways.3,"3,737,803","Laredo, TX.3","1,455,607","El Paso, TX.3","740,654","Otay Mesa, CA.3","730,253","Hidalgo, TX.3","491,077","Calexico East, CA.3","320,212","Truck  2006  Total U.S.-Mexican border  4,759,679  Total top 5 gateways  3,778,528  Laredo, TX  1,518,989  Otay Mesa, CA  749,472  El Paso, TX  744,951  Hidalgo, TX  457,825  Calexico East, CA  307,291",Truck.4,2006,Total U.S.-Mexican border.4,"4,759,679",Total top 5 gateways.4,"3,778,528","Laredo, TX.4","1,518,989","Otay Mesa, CA.4","749,472","El Paso, TX.4","744,951","Hidalgo, TX.4","457,825","Calexico East, CA.4","307,291","Truck  2007  Total U.S.-Mexican border  4,882,500  Total top 5 gateways  3,895,641  Laredo, TX  1,563,836  El Paso, TX  782,936  Otay Mesa, CA  738,765  Hidalgo, TX  486,756  Calexico East, CA  323,348",Truck.5,2007,Total U.S.-Mexican border.5,"4,882,500",Total top 5 gateways.5,"3,895,641","Laredo, TX.5","1,563,836","El Paso, TX.5","782,936","Otay Mesa, CA.5","738,765","Hidalgo, TX.5","486,756","Calexico East, CA.5","323,348","Truck  2008  Total U.S.-Mexican border  4,866,252  Total top 5 gateways  3,893,000  Laredo, TX  1,555,197  Otay Mesa, CA  776,972  El Paso, TX  758,856  Hidalgo, TX  476,000  Calexico East, CA  325,975",Truck.6,2008,Total U.S.-Mexican border.6,"4,866,252",Total top 5 gateways.6,"3,893,000","Laredo, TX.6","1,555,197","Otay Mesa, CA.6","776,972","El Paso, TX.6","758,856","Hidalgo, TX.6","476,000","Calexico East, CA.6","325,975"
0,Truck,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Total U.S.-Mexican border,4426593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Total top 5 gateways,3544815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Laredo, TX",1441653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Otay Mesa, CA",731291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"El Paso, TX",705199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Hidalgo, TX",390282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Calexico East, CA",276390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Truck,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Total U.S.-Mexican border,4238045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Total top 5 gateways,3378199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Laredo, TX",1354229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
