,Â,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,"Exports to Canada, total",124701.3,129884.1,139109.7,133970.3,137745.4,146374.1,154847.4,145661.6,146435.3,154870.8,171878.1,192907.5,209283.2,226058.3,235681.5,184652.8,224808.9,254449.7,266120.4
1,Truck,89151.1,97423.4,102743.0,111173.8,114806.1,123140.0,129825.3,117694.5,118259.1,124235.0,135897.5,151221.7,164318.1,174342.7,178593.0,142544.6,173588.0,195126.4,202541.7
2,Rail,13593.9,15271.9,15678.7,13255.6,12279.6,11754.6,12946.5,12972.7,13974.1,14776.5,16596.6,19321.9,22477.8,25496.8,29437.5,19972.6,26116.2,29569.1,33068.4
3,Pipeline,133.8,121.3,162.2,180.6,93.4,113.9,161.6,221.3,174.3,759.6,1584.2,2393.9,2180.0,3334.5,4313.2,2631.8,3150.6,6210.7,6071.0
4,Othera,21753.2,17010.5,20467.5,9336.1,10559.5,11360.0,11913.4,14772.0,14026.7,15099.2,17776.7,19933.1,20263.4,22833.8,23294.4,19456.1,21901.4,23488.2,24382.4
5,Mailb,69.3,57.0,58.3,24.1,6.8,5.6,0.6,1.1,1.2,0.4,23.1,36.9,43.8,50.5,43.3,47.8,52.8,55.3,56.9
6,"Exports to Mexico, total",46503.3,42662.2,51753.4,64169.5,70164.4,76129.0,97158.9,88926.4,85157.8,85614.8,97303.7,104276.5,116749.2,118758.5,129587.4,110377.9,138928.9,163021.0,180319.8
7,Truck,39066.5,35914.2,44091.8,55592.6,60432.1,66923.8,82389.2,74223.1,70924.7,70550.8,79349.2,83341.2,92991.6,93047.2,100263.9,89416.6,111110.2,127719.5,140846.4
8,Rail,4192.0,4694.4,5119.2,5648.0,6188.8,5710.6,10495.8,10389.4,10143.0,11264.9,13632.9,15747.7,17271.2,19340.0,21965.2,15290.9,19632.0,24861.5,27610.6
9,Pipeline,0.4,1.0,2.3,68.3,73.4,144.2,301.8,296.1,567.9,155.3,87.2,543.3,707.0,787.4,1250.5,787.8,2038.5,3492.3,3420.7
10,Othera,3238.9,2025.8,2540.1,2860.5,3470.0,3349.6,3972.0,4017.7,3521.5,3643.3,4216.4,4622.8,5779.1,5581.0,6107.2,4881.8,6147.6,6946.1,8441.8
11,Mailc,5.5,26.8,0.0,0.1,0.1,0.7,0.0,0.1,0.6,0.4,18.1,21.6,0.3,2.9,0.6,0.8,0.6,1.5,0.4
12,"Imports from Canada, total",123504.9,143669.5,156206.6,155682.6,162105.7,183723.5,210270.5,200853.4,194820.7,207448.4,236734.9,265402.1,278889.2,284773.1,301127.7,201088.8,246252.1,282581.7,290095.7
13,Truck,79456.4,88964.9,98400.8,99814.8,108856.7,118901.4,127816.3,117129.9,117985.3,116714.1,132762.1,143695.6,149884.0,150404.1,141352.5,105078.9,123238.0,135528.2,138948.3
14,Rail,30322.8,39996.9,39811.0,38293.0,37374.1,46255.4,49699.2,47197.9,46966.8,49980.9,57947.2,60606.3,63258.4,65962.2,63756.9,41058.2,56996.0,65118.5,69913.6
15,Pipeline,9728.6,10606.6,12796.2,13879.5,11120.1,12055.5,23117.1,25908.5,21832.3,31451.3,36828.3,48766.5,53865.2,55015.6,82018.5,45630.3,57562.2,70742.7,67732.8
16,Othera,3991.6,3888.2,4968.4,3572.5,4575.1,6386.9,9571.0,10523.8,7992.7,9236.6,8994.4,12184.4,11736.0,12957.4,13555.1,9098.4,7288.4,7039.0,6636.0
17,Mail,5.5,5.2,6.9,0.4,1.7,13.1,4.1,7.2,0.4,0.3,0.2,0.1,0.2,0.4,0.1,0.1,0.2,0.7,0.3
18,FTZd,0.0,207.6,223.4,122.4,177.9,111.2,62.8,86.1,43.3,65.3,202.6,149.3,145.5,433.5,444.6,222.9,1167.3,4152.6,6864.7
19,"Imports from Mexico, total",43616.2,54048.9,63312.2,72155.0,81720.3,95023.4,113436.5,111870.3,114380.8,114842.5,127646.0,135400.5,155205.1,167713.2,163478.0,140575.8,181339.4,204080.3,223598.7
20,Truck,35013.9,43014.3,48350.0,56716.5,65883.7,76448.0,88668.7,86377.2,90593.6,92535.0,104943.8,112267.6,126463.6,137037.0,134224.2,117787.4,148948.2,167483.3,182402.9
21,Rail,7769.0,9137.9,12297.7,12646.9,12029.7,14693.4,21056.1,22056.8,20790.7,19701.7,20183.4,20782.2,25863.5,27060.0,25264.8,19302.5,28484.2,32303.2,36911.6
22,Pipeline,187.9,27.4,8.1,3.6,2.4,1.5,11.5,1.6,0.6,0.2,0.3,0.0,55.4,168.6,193.2,155.3,181.6,281.3,214.5
23,Othera,643.5,768.9,639.2,668.2,917.8,1255.8,1573.9,1539.7,1548.9,1600.1,1838.7,1990.2,2399.2,2696.4,2716.9,2175.0,1863.5,1892.1,1782.7
24,Mail,1.9,1.3,1.5,0.2,0.2,0.2,0.6,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.2
25,FTZd,0.0,1099.2,2015.6,2119.6,2886.7,2624.4,2125.7,1894.9,1446.8,1005.4,679.8,360.4,423.3,751.1,1078.9,1155.5,1862.0,2120.4,2286.8
