,Â,1975,1980,1985,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
0,Ton-miles,Percent,Ton-miles,Percent,Ton-miles,Percent,Ton-miles,Percent,Ton-miles,Percent,Ton-miles,Percent,Ton-miles,Percent,Ton-miles,Percent,Ton-miles,Percent,Ton-miles,Percent,Ton-miles,Percent,Ton-miles,Percent,Ton-miles,Percent,Ton-miles,Percent,Ton-miles,Percent,Ton-miles,Percent,Ton-miles,Percent,Ton-miles,Percent,Ton-miles,Percent,
1,"Crude oil, total",331.5,100.0,753.0,100.0,786.2,100.0,628.2,100.0,586.0,100.0,543.2,100.0,486.9,100.0,454.1,100.0,423.0,100.0,376.0,100.0,376.6,100.0,384.0,100.0,380.4,100.0,374.1,100.0,376.3,100.0,366.0,100.0,335.5,100.0,(R) 372.0,100.0,336.0,100.0
2,Pipelinesa,288.0,86.9,362.6,48.2,334.4,42.5,334.8,53.3,335.9,57.3,338.3,62.3,337.4,69.3,334.1,73.6,321.1,75.9,283.4,75.4,277.0,73.6,286.6,74.6,284.5,74.8,283.7,75.8,293.5,78.0,300.5,82.1,266.6,79.5,(R) 306.3,(R) 82.3,268.2,79.8
3,Water carriersb,40.6,12.2,387.4,51.4,449.2,57.1,291.2,46.4,247.7,42.3,202.4,37.3,147.3,30.3,117.9,26.0,100.0,23.6,91.0,24.2,98.1,26.0,95.7,24.9,94.1,24.7,88.7,23.7,81.1,21.6,63.8,17.4,66.9,19.9,63.2,(R) 17.0,65.1,19.4
4,Motor carriersc,1.4,0.4,2.5,0.3,1.8,0.2,1.5,0.2,1.7,0.3,1.7,0.3,1.7,0.3,1.6,0.4,1.4,0.3,1.2,0.3,1.1,0.3,1.2,0.3,1.3,0.3,1.2,0.3,1.4,0.4,1.4,0.4,1.6,0.5,1.7,(R) 0.5,1.7,0.5
5,Railroads,1.5,0.5,0.5,0.1,0.8,0.1,0.7,0.1,0.8,0.1,0.8,0.1,0.5,0.1,0.5,0.1,0.5,0.1,0.4,0.1,0.4,0.1,0.5,0.1,0.5,0.1,0.5,0.1,0.4,0.1,0.4,0.1,0.4,0.1,0.7,0.2,1.0,0.3
6,"Refined petroleum products, total",515.2,100.0,492.3,100.0,409.3,100.0,448.6,100.0,458.9,100.0,479.0,100.0,469.6,100.0,475.7,100.0,489.9,100.0,497.3,100.0,493.2,100.0,480.6,100.0,502.9,100.0,528.4,100.0,529.7,100.0,489.4,100.0,499.9,100.0,(R) 485.9,100.0,474.1,100.0
7,Pipelinesa,219.0,42.5,225.6,45.8,229.9,56.2,249.3,55.6,265.2,57.8,280.9,58.6,279.1,59.4,285.7,60.1,296.6,60.5,293.9,59.1,299.1,60.6,299.6,62.3,305.7,60.8,315.9,59.8,314.0,59.3,280.9,57.4,291.1,58.2,(R) 299.4,61.6,300.2,63.3
8,Water carriers,257.4,50.0,230.4,46.8,141.2,34.5,157.8,35.2,153.2,33.4,154.1,32.2,148.3,31.6,147.1,30.9,147.5,30.1,153.4,30.8,145.9,29.6,131.9,27.4,146.0,29.0,158.2,29.9,159.4,30.1,149.3,30.5,149.1,29.8,130.8,26.9,121.7,25.7
9,Motor carriersc,26.2,5.1,24.3,(R) 4.9,26.9,6.6,28.2,6.3,24.6,5.4,28.0,5.8,26.0,5.5,26.7,5.6,27.6,5.6,30.1,6.1,29.7,6.0,29.4,6.1,31.9,6.3,33.2,6.3,33.4,6.3,33.8,6.9,33.5,6.7,33.4,6.9,32.2,6.8
